date,step,hybrid,latitude,longitude,valid_time,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2012-01-01 00:00:00,0 days,60.0,50.57,12.99,2012-01-01 00:00:00,4.955472e-13,8.809125e-13,0.0,1.1522965e-10,3.725968e-10,6.4816255e-09,7.3390405e-09,9.728344e-12,8.303498e-10,1.9778924e-10,2.0049619e-10
2012-01-01 03:00:00,0 days,60.0,50.57,12.99,2012-01-01 03:00:00,8.95475e-13,1.5053264e-12,0.0,1.3403419e-10,3.6174072e-10,7.214223e-09,7.833251e-09,1.1491188e-11,9.807117e-10,3.6084358e-10,3.335543e-10
2012-01-01 06:00:00,0 days,60.0,50.57,12.99,2012-01-01 06:00:00,1.0045964e-12,1.5361925e-12,0.0,1.6642487e-10,3.606616e-10,8.453045e-09,7.682354e-09,1.4986559e-11,1.2789991e-09,5.850223e-10,5.3755633e-10
2012-01-01 09:00:00,0 days,60.0,50.57,12.99,2012-01-01 09:00:00,6.3642223e-13,8.8160447e-13,0.0,1.5786969e-10,3.4350506e-10,7.647118e-09,6.685311e-09,1.3263264e-11,1.1311769e-09,6.9647765e-10,8.087447e-10
2012-01-01 12:00:00,0 days,60.0,50.57,12.99,2012-01-01 12:00:00,2.6005337e-13,4.0159434e-13,2.1054098e-13,7.553468e-11,2.0050743e-10,3.6393901e-09,3.3272565e-09,7.933063e-12,6.7268885e-10,3.5735012e-10,6.579516e-10
2012-01-01 15:00:00,0 days,60.0,50.57,12.99,2012-01-01 15:00:00,2.8000893e-13,4.747527e-13,1.8509273e-13,6.122529e-11,1.8024542e-10,2.8649523e-09,2.6722358e-09,8.11564e-12,6.8605915e-10,3.1544029e-10,7.06778e-10
2012-01-01 18:00:00,0 days,60.0,50.57,12.99,2012-01-01 18:00:00,1.3934416e-13,2.339517e-13,1.5596778e-13,6.8812324e-11,1.9851418e-10,3.2237102e-09,2.8983866e-09,6.311931e-12,5.334255e-10,3.3095232e-10,6.9912365e-10
2012-01-01 21:00:00,0 days,60.0,50.57,12.99,2012-01-01 21:00:00,5.166627e-14,9.429883e-14,1.4631672e-13,6.911129e-11,1.7444311e-10,3.3503125e-09,2.8366305e-09,4.4803475e-12,3.7896675e-10,3.108193e-10,5.1268334e-10
2012-01-02 00:00:00,0 days,60.0,50.57,12.99,2012-01-02 00:00:00,8.61843e-14,1.723686e-13,3.1210733e-13,4.42017e-11,1.1283285e-10,2.8816753e-09,2.5214728e-09,6.912357e-12,5.8430216e-10,6.165262e-10,1.6926208e-10
2012-01-02 03:00:00,0 days,60.0,50.57,12.99,2012-01-02 03:00:00,8.700405e-13,1.740081e-12,3.3398193e-12,5.0092444e-11,1.01859306e-10,3.2400211e-09,2.6073472e-09,4.9118078e-11,4.1417034e-09,1.1433253e-09,2.1228166e-10
2012-01-02 06:00:00,0 days,60.0,50.57,12.99,2012-01-02 06:00:00,3.2209996e-12,6.669558e-12,7.209446e-12,5.961677e-11,1.1890024e-10,3.8695522e-09,3.0441014e-09,5.0860604e-11,4.274952e-09,6.090063e-10,2.6434926e-10
2012-01-02 09:00:00,0 days,60.0,50.57,12.99,2012-01-02 09:00:00,9.0048455e-12,1.9057448e-11,1.1508617e-11,7.396731e-11,1.5431321e-10,4.33518e-09,3.3224263e-09,4.2465583e-11,3.5592713e-09,4.0539866e-10,4.2305276e-10
2012-01-02 12:00:00,0 days,60.0,50.57,12.99,2012-01-02 12:00:00,8.736793e-12,1.8442137e-11,6.141637e-12,6.237549e-11,1.7039482e-10,3.2864855e-09,2.7696903e-09,2.0558555e-11,1.7185965e-09,8.7538476e-11,5.266787e-10
2012-01-02 15:00:00,0 days,60.0,50.57,12.99,2012-01-02 15:00:00,9.475056e-12,1.9867098e-11,5.251367e-12,6.647184e-11,1.7836449e-10,3.1190026e-09,2.58213e-09,2.389972e-11,1.9982087e-09,1.5721727e-10,6.208919e-10
2012-01-02 18:00:00,0 days,60.0,50.57,12.99,2012-01-02 18:00:00,1.7857487e-12,3.6038557e-12,6.62719e-13,5.8629476e-11,1.8346644e-10,2.7898335e-09,2.6907407e-09,1.9527848e-11,1.6594784e-09,4.9919835e-10,4.4072412e-10
2012-01-02 21:00:00,0 days,60.0,50.57,12.99,2012-01-02 21:00:00,4.360154e-14,8.720308e-14,1.2597909e-13,6.1203737e-11,1.8373397e-10,3.181433e-09,3.148577e-09,5.183646e-11,4.428988e-09,1.7027508e-09,2.84626e-10
2012-01-03 00:00:00,0 days,60.0,50.57,12.99,2012-01-03 00:00:00,1.5246284e-13,3.0492568e-13,2.2737368e-13,9.759261e-11,2.387509e-10,5.9368404e-09,5.179756e-09,7.896683e-11,6.7470936e-09,3.7496255e-09,3.2966402e-10
2012-01-03 03:00:00,0 days,60.0,50.57,12.99,2012-01-03 03:00:00,2.2737368e-13,4.5474735e-13,2.2737368e-13,1.06741144e-10,2.0066313e-10,6.037104e-09,4.6550275e-09,1.0835652e-10,9.259836e-09,7.3932784e-09,3.7553133e-10
2012-01-03 06:00:00,0 days,60.0,50.57,12.99,2012-01-03 06:00:00,1.7012883e-13,3.4025766e-13,9.297824e-14,1.11107096e-10,1.9926703e-10,6.257335e-09,4.606499e-09,1.1371092e-10,9.718404e-09,8.83863e-09,3.643927e-10
2012-01-03 09:00:00,0 days,60.0,50.57,12.99,2012-01-03 09:00:00,1.8701132e-13,3.3411154e-13,3.2629884e-14,1.1204222e-10,1.9893034e-10,5.838069e-09,4.0549737e-09,1.4860596e-10,1.2701092e-08,8.237931e-09,4.431919e-10
2012-01-03 12:00:00,0 days,60.0,50.57,12.99,2012-01-03 12:00:00,1.1657441e-13,1.9569342e-13,0.0,7.437659e-11,1.3590734e-10,3.665478e-09,2.4539972e-09,1.8587805e-10,1.588722e-08,7.1475617e-09,4.2165188e-10
2012-01-03 15:00:00,0 days,60.0,50.57,12.99,2012-01-03 15:00:00,3.0791287e-13,5.665723e-13,4.7338495e-13,5.787445e-11,1.3760196e-10,2.8203608e-09,2.1303794e-09,1.8062085e-10,1.5433297e-08,4.7969526e-09,3.7646114e-10
2012-01-03 18:00:00,0 days,60.0,50.57,12.99,2012-01-03 18:00:00,1.4876711e-12,3.106061e-12,3.2010158e-12,5.870921e-11,1.282304e-10,2.558625e-09,1.9208048e-09,2.115129e-10,1.805056e-08,3.3844254e-09,4.001353e-10
2012-01-03 21:00:00,0 days,60.0,50.57,12.99,2012-01-03 21:00:00,4.427984e-12,8.965114e-12,7.86685e-12,6.401694e-11,1.09580324e-10,2.7910083e-09,1.8849993e-09,3.526447e-10,3.004137e-08,8.594848e-09,5.478275e-10
2012-01-04 00:00:00,0 days,60.0,50.57,12.99,2012-01-04 00:00:00,2.533292e-12,5.066584e-12,3.4413028e-12,4.553793e-11,9.124234e-11,2.5233635e-09,2.0248656e-09,1.7245111e-10,1.468762e-08,4.3985096e-09,3.3334815e-10
2012-01-04 03:00:00,0 days,60.0,50.57,12.99,2012-01-04 03:00:00,1.4455926e-12,3.0848935e-12,1.5761121e-12,4.630671e-11,9.924693e-11,3.07039e-09,2.612384e-09,1.6601212e-10,1.4162853e-08,5.2589266e-09,2.6487246e-10
2012-01-04 06:00:00,0 days,60.0,50.57,12.99,2012-01-04 06:00:00,1.1361265e-12,2.4150647e-12,8.8066327e-13,5.588138e-11,1.1855575e-10,3.5435301e-09,2.917926e-09,2.1079605e-10,1.7994225e-08,7.746915e-09,2.8763625e-10
2012-01-04 09:00:00,0 days,60.0,50.57,12.99,2012-01-04 09:00:00,3.6640916e-13,7.980781e-13,1.1368684e-13,5.3559067e-11,1.2534447e-10,3.2276395e-09,2.694791e-09,4.33684e-10,3.7059067e-08,1.851842e-08,3.1792613e-10
2012-01-04 12:00:00,0 days,60.0,50.57,12.99,2012-01-04 12:00:00,1.11748894e-13,1.9086788e-13,1.806741e-14,5.6583467e-11,1.4320975e-10,3.2038021e-09,2.575058e-09,3.7707093e-10,3.222599e-08,1.4631771e-08,3.991366e-10
2012-01-04 15:00:00,0 days,60.0,50.57,12.99,2012-01-04 15:00:00,0.0,0.0,0.0,4.9980093e-11,1.2980785e-10,2.591666e-09,2.0731066e-09,3.0098662e-10,2.5723907e-08,1.1221742e-08,3.0855118e-10
2012-01-04 18:00:00,0 days,60.0,50.57,12.99,2012-01-04 18:00:00,1.2106767e-14,2.4213535e-14,3.877601e-14,6.9874564e-11,1.4918194e-10,3.512301e-09,2.4282807e-09,3.875604e-10,3.3122046e-08,1.2386575e-08,3.7880668e-10
2012-01-04 21:00:00,0 days,60.0,50.57,12.99,2012-01-04 21:00:00,2.4213535e-14,4.842707e-14,9.685414e-14,7.3161956e-11,1.3024809e-10,3.6092942e-09,2.3392825e-09,4.690516e-10,4.0083883e-08,1.1030117e-08,3.5441594e-10
2012-01-05 00:00:00,0 days,60.0,50.57,12.99,2012-01-05 00:00:00,3.7018546e-13,7.403709e-13,3.1020808e-13,6.0687004e-11,1.098667e-10,3.2138128e-09,2.3232185e-09,4.0088086e-10,3.4253528e-08,7.733954e-09,2.3969088e-10
2012-01-05 03:00:00,0 days,60.0,50.57,12.99,2012-01-05 03:00:00,5.1299725e-13,1.0259945e-12,4.5474735e-13,3.7202026e-11,8.552163e-11,2.3972535e-09,2.1831073e-09,3.1624794e-10,2.7018528e-08,5.0533453e-09,1.3182297e-10
2012-01-05 06:00:00,0 days,60.0,50.57,12.99,2012-01-05 06:00:00,3.1297108e-13,6.2594217e-13,1.58238e-13,2.5432436e-11,8.5012844e-11,1.8318586e-09,2.23248e-09,2.0917515e-10,1.7868139e-08,3.3918433e-09,8.527737e-11
2012-01-05 09:00:00,0 days,60.0,50.57,12.99,2012-01-05 09:00:00,7.183776e-14,1.1104565e-13,1.806741e-14,1.8040803e-11,1.0496475e-10,1.1394026e-09,2.3992175e-09,1.2605164e-10,1.0770754e-08,3.198158e-09,9.732784e-11
2012-01-05 12:00:00,0 days,60.0,50.57,12.99,2012-01-05 12:00:00,1.2106767e-14,2.842171e-14,2.4213535e-14,2.975712e-11,1.0766394e-10,1.6729118e-09,1.8497395e-09,1.164708e-10,9.953531e-09,4.8539848e-09,2.3806482e-10
2012-01-05 15:00:00,0 days,60.0,50.57,12.99,2012-01-05 15:00:00,1.0834355e-13,2.1976016e-13,1.598437e-13,5.249816e-11,1.750456e-10,2.631609e-09,2.7694096e-09,4.5438986e-10,3.88309e-08,1.95545e-08,3.6278158e-10
2012-01-05 18:00:00,0 days,60.0,50.57,12.99,2012-01-05 18:00:00,1.3420994e-13,2.8473486e-13,1.789466e-13,5.3218034e-11,1.15306306e-10,2.3462816e-09,1.7365809e-09,1.0995449e-09,9.396956e-08,4.956062e-08,3.8223508e-10
2012-01-05 21:00:00,0 days,60.0,50.57,12.99,2012-01-05 21:00:00,8.94733e-14,1.789466e-13,1.3051954e-13,4.5545144e-11,9.6275966e-11,2.211194e-09,1.6704358e-09,9.369765e-10,8.007367e-08,3.7520593e-08,3.2067385e-10
2012-01-06 00:00:00,0 days,60.0,50.57,12.99,2012-01-06 00:00:00,5.684342e-14,1.1368684e-13,0.0,3.0265658e-11,7.042568e-11,1.9180972e-09,1.5962218e-09,1.0599499e-09,9.0593275e-08,4.657675e-08,1.8000819e-10
