date,step,hybrid,latitude,longitude,valid_time,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2012-01-01 00:00:00,0 days,60.0,82.492,-62.508,2012-01-01 00:00:00,0.0,0.0,0.0,4.3553767e-14,7.0166685e-14,9.917231e-13,2.2222007e-12,7.152796e-14,6.1084237e-12,3.292878e-12,1.210347e-12
2012-01-01 03:00:00,0 days,60.0,82.492,-62.508,2012-01-01 03:00:00,2.4688922e-15,0.0,0.0,1.5353423e-14,1.6973634e-15,6.0487856e-14,2.2652098e-13,1.398396e-16,1.1727238e-14,0.0,4.6353454e-13
2012-01-01 06:00:00,0 days,60.0,82.492,-62.508,2012-01-01 06:00:00,2.1602807e-15,9.258345e-16,0.0,2.954955e-14,2.3145827e-15,1.2776516e-13,5.3266365e-13,3.1343358e-16,2.654059e-14,0.0,3.5397743e-13
2012-01-01 09:00:00,0 days,60.0,82.492,-62.508,2012-01-01 09:00:00,7.560982e-15,3.3947268e-15,0.0,2.0136902e-14,5.7478944e-15,1.00915966e-13,5.181589e-13,3.0378945e-16,2.1911418e-14,1.7282245e-14,2.4442034e-13
2012-01-01 12:00:00,0 days,60.0,82.492,-62.508,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 15:00:00,0 days,60.0,82.492,-62.508,2012-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0 days,60.0,82.492,-62.508,2012-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0 days,60.0,82.492,-62.508,2012-01-01 21:00:00,0.0,0.0,0.0,4.724194e-15,1.4172582e-14,7.5587106e-14,2.0786498e-13,1.0334073e-15,7.558884e-14,5.480061e-13,2.0786498e-13
2012-01-02 00:00:00,0 days,60.0,82.492,-62.508,2012-01-02 00:00:00,0.0,0.0,0.0,1.4230447e-14,0.0,3.2247975e-13,0.0,1.4763174e-15,1.1338066e-13,0.0,4.4120239e-13
2012-01-02 03:00:00,0 days,60.0,82.492,-62.508,2012-01-02 03:00:00,0.0,0.0,0.0,5.3935473e-14,0.0,1.21387e-12,0.0,5.908848e-15,4.72726e-13,7.620433e-14,1.1112464e-12
2012-01-02 06:00:00,0 days,60.0,82.492,-62.508,2012-01-02 06:00:00,0.0,0.0,0.0,5.151449e-13,0.0,1.1590018e-11,9.448388e-15,7.8930027e-14,6.65389e-12,7.306741e-13,1.1885087e-11
2012-01-02 09:00:00,0 days,60.0,82.492,-62.508,2012-01-02 09:00:00,6.561657e-14,1.3123315e-13,0.0,1.1658799e-12,0.0,2.587315e-11,5.611014e-14,1.5298412e-13,1.307471e-11,1.8499937e-12,2.619487e-11
2012-01-02 12:00:00,0 days,60.0,82.492,-62.508,2012-01-02 12:00:00,7.715288e-17,1.5430577e-16,0.0,3.5956444e-14,0.0,7.5867595e-13,0.0,6.372077e-14,5.43095e-12,2.6778915e-13,3.0753408e-12
2012-01-02 15:00:00,0 days,60.0,82.492,-62.508,2012-01-02 15:00:00,0.0,0.0,0.0,5.2146753e-14,0.0,1.1505135e-12,0.0,1.04755946e-13,8.876443e-12,6.317558e-13,5.6137265e-12
2012-01-02 18:00:00,0 days,60.0,82.492,-62.508,2012-01-02 18:00:00,0.0,0.0,0.0,4.7732323e-14,0.0,1.0464281e-12,0.0,1.04438925e-13,8.893019e-12,8.057623e-13,7.2384715e-12
2012-01-02 21:00:00,0 days,60.0,82.492,-62.508,2012-01-02 21:00:00,0.0,0.0,0.0,5.3533716e-14,0.0,1.0828316e-12,2.8113096e-14,1.0095372e-13,8.577027e-12,2.128275e-12,8.562108e-12
2012-01-03 00:00:00,0 days,60.0,82.492,-62.508,2012-01-03 00:00:00,0.0,0.0,0.0,8.293935e-16,7.715288e-17,1.8825304e-14,3.0861154e-15,9.836992e-16,8.332511e-14,4.6291733e-14,7.915886e-14
2012-01-03 03:00:00,0 days,60.0,82.492,-62.508,2012-01-03 03:00:00,0.0,0.0,0.0,4.2940847e-14,4.1155043e-13,1.538001e-12,1.9218314e-11,1.3447857e-13,1.1462495e-11,6.5650757e-12,3.3835382e-12
2012-01-03 06:00:00,0 days,60.0,82.492,-62.508,2012-01-03 06:00:00,0.0,0.0,0.0,9.8015305e-14,1.1656794e-12,3.605038e-12,5.450226e-11,4.1363291e-13,3.52468e-11,1.0535442e-11,1.8107793e-12
2012-01-03 09:00:00,0 days,60.0,82.492,-62.508,2012-01-03 09:00:00,0.0,0.0,0.0,8.117095e-14,1.0791231e-12,2.185309e-12,4.6133094e-11,4.715204e-13,4.041308e-11,3.2085258e-11,3.335857e-12
2012-01-03 12:00:00,0 days,60.0,82.492,-62.508,2012-01-03 12:00:00,0.0,0.0,0.0,1.3997496e-13,0.0,2.7458673e-12,0.0,1.6527837e-13,1.467908e-11,2.2397637e-13,5.4017252e-11
2012-01-03 15:00:00,0 days,60.0,82.492,-62.508,2012-01-03 15:00:00,0.0,0.0,0.0,4.360244e-14,1.1665434e-15,9.364843e-13,0.0,9.121524e-14,7.952225e-12,5.2206802e-12,4.444469e-11
2012-01-03 18:00:00,0 days,60.0,82.492,-62.508,2012-01-03 18:00:00,0.0,0.0,0.0,4.447372e-14,0.0,7.6780574e-13,0.0,6.3181936e-14,5.4663383e-12,1.3554554e-11,8.12069e-11
2012-01-03 21:00:00,0 days,60.0,82.492,-62.508,2012-01-03 21:00:00,0.0,0.0,0.0,2.578001e-14,8.1803105e-15,4.1248016e-13,0.0,4.909637e-14,3.5537196e-12,3.0481152e-11,7.736884e-11
2012-01-04 00:00:00,0 days,60.0,82.492,-62.508,2012-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3019549e-15,1.5183688e-13,0.0,8.761481e-13
2012-01-04 03:00:00,0 days,60.0,82.492,-62.508,2012-01-04 03:00:00,0.0,0.0,0.0,3.8576443e-16,0.0,8.6411235e-15,0.0,7.1655735e-15,6.129025e-13,1.7282247e-14,1.6665021e-14
2012-01-04 06:00:00,0 days,60.0,82.492,-62.508,2012-01-04 06:00:00,0.0,0.0,0.0,1.1572932e-16,0.0,2.4688922e-15,0.0,4.4362906e-16,3.826783e-14,2.036836e-14,5.5550077e-15
2012-01-04 09:00:00,0 days,60.0,82.492,-62.508,2012-01-04 09:00:00,0.0,0.0,0.0,5.786466e-17,3.857644e-17,1.5430576e-15,9.258345e-16,1.0608521e-16,8.641123e-15,2.2837253e-14,2.4688922e-15
2012-01-04 12:00:00,0 days,60.0,82.492,-62.508,2012-01-04 12:00:00,0.0,0.0,0.0,2.8771928e-13,2.494256e-14,6.824798e-12,3.7220864e-13,1.3034321e-12,1.1413499e-10,1.9540577e-10,1.7877494e-10
2012-01-04 15:00:00,0 days,60.0,82.492,-62.508,2012-01-04 15:00:00,0.0,0.0,0.0,2.751112e-13,1.2770643e-14,5.0144073e-12,3.6986462e-13,1.3360022e-13,1.0637555e-11,2.618469e-10,1.9038511e-10
2012-01-04 18:00:00,0 days,60.0,82.492,-62.508,2012-01-04 18:00:00,0.0,0.0,0.0,1.4677768e-13,9.21977e-15,2.37664e-12,3.2527654e-13,6.7405296e-14,5.0191544e-12,2.4824987e-10,1.722307e-10
2012-01-04 21:00:00,0 days,60.0,82.492,-62.508,2012-01-04 21:00:00,0.0,0.0,0.0,4.050526e-15,2.0754125e-14,1.0369347e-13,6.53022e-13,5.3287986e-15,4.4929658e-13,4.1552284e-10,3.2191215e-11
2012-01-05 00:00:00,0 days,60.0,82.492,-62.508,2012-01-05 00:00:00,0.0,0.0,0.0,1.6009223e-15,1.5430577e-15,4.073672e-14,4.1353944e-14,2.893233e-17,2.4688922e-15,1.6047798e-14,2.3741484e-12
2012-01-05 03:00:00,0 days,60.0,82.492,-62.508,2012-01-05 03:00:00,0.0,0.0,0.0,1.6202104e-14,1.5739187e-14,4.1785997e-13,2.6448008e-12,1.9863818e-13,1.6932284e-11,1.1862933e-10,2.3003149e-12
2012-01-05 06:00:00,0 days,60.0,82.492,-62.508,2012-01-05 06:00:00,0.0,0.0,0.0,6.1607176e-13,4.72503e-13,1.6775395e-11,1.8010465e-11,1.3296278e-12,1.13371285e-10,3.1791006e-10,5.9163447e-12
2012-01-05 09:00:00,0 days,60.0,82.492,-62.508,2012-01-05 09:00:00,0.0,0.0,0.0,7.961974e-12,4.1441724e-12,1.8374943e-10,1.2270115e-10,1.5241456e-12,1.3001854e-10,8.294712e-11,1.14210544e-10
2012-01-05 12:00:00,0 days,60.0,82.492,-62.508,2012-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 15:00:00,0 days,60.0,82.492,-62.508,2012-01-05 15:00:00,0.0,0.0,0.0,4.7242077e-15,5.905251e-16,9.44841e-14,0.0,9.153133e-15,7.936672e-13,1.3227787e-13,4.591704e-13
2012-01-05 18:00:00,0 days,60.0,82.492,-62.508,2012-01-05 18:00:00,0.0,0.0,0.0,1.7406584e-13,1.8751737e-14,3.5445713e-12,1.500139e-13,2.9978956e-14,2.520567e-12,2.2900909e-12,9.5432984e-12
2012-01-05 21:00:00,0 days,60.0,82.492,-62.508,2012-01-05 21:00:00,0.0,0.0,0.0,7.1608014e-13,2.3621005e-15,1.3969957e-11,7.638105e-13,2.829801e-14,2.918092e-12,4.9892035e-11,3.6894203e-11
2012-01-06 00:00:00,0 days,60.0,82.492,-62.508,2012-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5430577e-16
2012-01-06 03:00:00,0 days,60.0,82.492,-62.508,2012-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1722306e-16,1.1572932e-14
2012-01-06 06:00:00,0 days,60.0,82.492,-62.508,2012-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38875185e-14
2012-01-06 09:00:00,0 days,60.0,82.492,-62.508,2012-01-06 09:00:00,0.0,0.0,0.0,3.857644e-17,0.0,6.1722306e-16,0.0,0.0,0.0,6.1722306e-16,1.5430577e-14
2012-01-06 12:00:00,0 days,60.0,82.492,-62.508,2012-01-06 12:00:00,0.0,3.0861153e-16,0.0,4.2434085e-16,1.928822e-17,7.406676e-15,4.6291727e-16,4.8220553e-17,4.3205613e-15,1.950425e-13,1.2653073e-14
2012-01-06 15:00:00,0 days,60.0,82.492,-62.508,2012-01-06 15:00:00,0.0,3.0861153e-16,0.0,5.931128e-16,1.928822e-17,1.0801403e-14,9.258345e-16,4.8220553e-17,3.703338e-15,3.7033385e-14,1.018418e-14
2012-01-06 18:00:00,0 days,60.0,82.492,-62.508,2012-01-06 18:00:00,0.0,3.0861153e-16,0.0,9.065463e-16,7.715288e-17,1.635641e-14,1.2344461e-15,4.3398494e-17,3.703338e-15,2.839226e-14,1.2961684e-14
2012-01-06 21:00:00,0 days,60.0,82.492,-62.508,2012-01-06 21:00:00,3.0861153e-16,6.1722296e-16,0.0,2.623198e-15,7.715287e-17,4.6908956e-14,3.0861154e-15,4.8220553e-17,4.3205613e-15,6.295675e-14,3.6879076e-14
2012-01-07 00:00:00,0 days,60.0,82.492,-62.508,2012-01-07 00:00:00,0.0,0.0,0.0,0.0,4.6661736e-15,0.0,5.6226193e-14,2.7327793e-14,2.356858e-12,5.986629e-13,0.0
2012-01-07 03:00:00,0 days,60.0,82.492,-62.508,2012-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 06:00:00,0 days,60.0,82.492,-62.508,2012-01-07 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 09:00:00,0 days,60.0,82.492,-62.508,2012-01-07 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 12:00:00,0 days,60.0,82.492,-62.508,2012-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 15:00:00,0 days,60.0,82.492,-62.508,2012-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 18:00:00,0 days,60.0,82.492,-62.508,2012-01-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 21:00:00,0 days,60.0,82.492,-62.508,2012-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-08 00:00:00,0 days,60.0,82.492,-62.508,2012-01-08 00:00:00,0.0,0.0,0.0,1.5648511e-13,0.0,6.3894914e-12,2.7630445e-11,1.3548907e-13,1.1637114e-11,6.3628556e-12,1.4720869e-12
2012-01-08 03:00:00,0 days,60.0,82.492,-62.508,2012-01-08 03:00:00,0.0,0.0,0.0,4.49368e-14,1.0194309e-12,1.7293643e-12,3.5433618e-11,3.8633586e-14,3.6328518e-12,1.3997245e-12,1.8461903e-12
