date,step,hybrid,latitude,longitude,valid_time,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2016-08-01 00:00:00,0 days,60.0,32.01,35.87,2016-08-01 00:00:00,1.6053728e-10,2.5469746e-10,9.48366e-11,4.4092074e-10,9.509915e-10,2.8110085e-08,2.2180004e-08,1.6265672e-12,1.2304469e-10,4.2644353e-11,7.234104e-09
2016-08-01 03:00:00,0 days,60.0,32.01,35.87,2016-08-01 03:00:00,1.2811921e-10,1.369695e-10,1.02155305e-10,5.3985194e-10,1.2408543e-09,3.882366e-08,3.115962e-08,6.906585e-13,5.2681602e-11,3.496408e-11,6.997468e-09
2016-08-01 06:00:00,0 days,60.0,32.01,35.87,2016-08-01 06:00:00,4.2662335e-10,9.709848e-10,4.9834465e-09,4.6426768e-10,5.9399924e-10,2.2604876e-08,1.29656375e-08,1.4302641e-11,1.1386402e-09,6.437148e-11,2.051705e-08
2016-08-01 09:00:00,0 days,60.0,32.01,35.87,2016-08-01 09:00:00,1.8749104e-09,4.4822976e-09,1.1712406e-08,4.3833553e-10,3.1667172e-10,1.6321385e-08,6.3895813e-09,2.2343105e-11,1.765962e-09,4.950916e-11,1.8548782e-08
2016-08-01 12:00:00,0 days,60.0,32.01,35.87,2016-08-01 12:00:00,2.8351477e-09,6.7306907e-09,1.6556033e-08,6.3212424e-10,3.3975917e-10,2.1801704e-08,6.8714456e-09,2.7533868e-11,2.1600686e-09,4.8529805e-11,2.2408969e-08
2016-08-01 15:00:00,0 days,60.0,32.01,35.87,2016-08-01 15:00:00,2.2610793e-09,5.3337152e-09,1.1904332e-08,5.7669913e-10,3.746003e-10,2.0913983e-08,7.50501e-09,2.2298087e-11,1.7393691e-09,5.75536e-11,2.23738e-08
2016-08-01 18:00:00,0 days,60.0,32.01,35.87,2016-08-01 18:00:00,1.2814884e-09,2.7823603e-09,2.1795006e-09,5.599709e-10,7.127883e-10,2.3559965e-08,1.2173588e-08,8.2709325e-12,6.216224e-10,5.2117595e-11,1.9127619e-08
2016-08-01 21:00:00,0 days,60.0,32.01,35.87,2016-08-01 21:00:00,5.2689025e-10,8.933217e-10,4.241731e-10,5.7726746e-10,1.0063876e-09,2.8573233e-08,1.8636115e-08,3.3676863e-12,2.526304e-10,4.1127095e-11,1.3524364e-08
2016-08-02 00:00:00,0 days,60.0,32.01,35.87,2016-08-02 00:00:00,2.9070713e-10,5.034246e-10,3.0253203e-10,4.8190374e-10,8.311175e-10,2.7553211e-08,1.8753955e-08,2.3027845e-12,1.746685e-10,3.640052e-11,9.500617e-09
2016-08-02 03:00:00,0 days,60.0,32.01,35.87,2016-08-02 03:00:00,2.6292057e-10,3.7631656e-10,2.2023507e-10,5.3080984e-10,9.689334e-10,3.3946836e-08,2.4078082e-08,1.441172e-12,1.1062978e-10,1.893481e-11,8.973647e-09
2016-08-02 06:00:00,0 days,60.0,32.01,35.87,2016-08-02 06:00:00,7.951677e-10,1.8498761e-09,6.271348e-09,4.3092652e-10,4.7913207e-10,2.101472e-08,1.0975371e-08,1.589413e-11,1.2729346e-09,1.7434987e-11,1.7977726e-08
2016-08-02 09:00:00,0 days,60.0,32.01,35.87,2016-08-02 09:00:00,1.9837354e-09,4.7226583e-09,1.0989357e-08,3.0652247e-10,2.7666705e-10,1.3371708e-08,6.0491243e-09,1.6767214e-11,1.3301152e-09,1.8331989e-11,1.5485806e-08
2016-08-02 12:00:00,0 days,60.0,32.01,35.87,2016-08-02 12:00:00,2.5455387e-09,6.060235e-09,1.36870275e-08,3.1165867e-10,2.4184227e-10,1.272414e-08,5.0577684e-09,1.9916385e-11,1.5757184e-09,2.9683634e-11,1.6626622e-08
2016-08-02 15:00:00,0 days,60.0,32.01,35.87,2016-08-02 15:00:00,1.955939e-09,4.6383146e-09,1.0184832e-08,3.1490677e-10,2.5168226e-10,1.2442506e-08,4.8675814e-09,1.9997568e-11,1.5886864e-09,5.37659e-11,1.6013482e-08
2016-08-02 18:00:00,0 days,60.0,32.01,35.87,2016-08-02 18:00:00,9.022588e-10,1.9794681e-09,2.652583e-09,3.4668515e-10,4.492088e-10,1.46277745e-08,7.531609e-09,1.2093445e-11,9.36438e-10,5.984282e-11,1.44901815e-08
2016-08-02 21:00:00,0 days,60.0,32.01,35.87,2016-08-02 21:00:00,4.4586254e-10,8.8763374e-10,6.165281e-10,4.0703615e-10,7.138927e-10,2.0136735e-08,1.3174102e-08,4.055066e-12,3.0339217e-10,3.418467e-11,1.0801429e-08
2016-08-03 00:00:00,0 days,60.0,32.01,35.87,2016-08-03 00:00:00,2.92492e-12,3.9978806e-12,2.5695524e-12,2.0972166e-10,6.3868766e-10,1.8237099e-08,1.6362584e-08,1.3142766e-13,9.787192e-12,1.5408847e-12,2.0189148e-09
2016-08-03 03:00:00,0 days,60.0,32.01,35.87,2016-08-03 03:00:00,2.0276448e-12,2.335613e-12,6.1078e-12,3.1368558e-10,8.845372e-10,2.7579592e-08,2.3722748e-08,6.816034e-14,5.1065983e-12,1.3973139e-12,4.525903e-09
2016-08-03 06:00:00,0 days,60.0,32.01,35.87,2016-08-03 06:00:00,1.1352922e-10,2.7336586e-10,9.776433e-10,1.369389e-10,2.7640767e-10,8.877285e-09,6.4884915e-09,2.7336857e-12,2.1884734e-10,5.608773e-12,9.970599e-09
2016-08-03 09:00:00,0 days,60.0,32.01,35.87,2016-08-03 09:00:00,4.270705e-10,9.842052e-10,1.5698188e-09,1.8142923e-10,1.0747295e-10,5.9403e-09,2.1239595e-09,1.4077076e-11,1.1301193e-09,8.069665e-12,6.2075225e-09
2016-08-03 12:00:00,0 days,60.0,32.01,35.87,2016-08-03 12:00:00,7.945851e-10,1.8103304e-09,2.4878064e-09,3.082572e-10,1.8220622e-10,1.0160101e-08,3.6387053e-09,2.1729951e-11,1.7382586e-09,2.8543473e-11,1.2016323e-08
2016-08-03 15:00:00,0 days,60.0,32.01,35.87,2016-08-03 15:00:00,5.4437843e-10,1.1975763e-09,2.3734117e-09,3.0054825e-10,2.215618e-10,1.0642616e-08,4.2701513e-09,1.9747586e-11,1.5811341e-09,1.0323273e-10,1.4352539e-08
2016-08-03 18:00:00,0 days,60.0,32.01,35.87,2016-08-03 18:00:00,1.6507665e-10,3.591288e-10,1.2326936e-09,3.1495204e-10,4.3205184e-10,1.3071843e-08,7.306831e-09,1.1636513e-11,9.106791e-10,1.3730568e-10,1.5624693e-08
2016-08-03 21:00:00,0 days,60.0,32.01,35.87,2016-08-03 21:00:00,1.178705e-10,2.3094267e-10,4.4147772e-10,3.813488e-10,6.982823e-10,1.8721988e-08,1.2709021e-08,4.9998495e-12,3.830601e-10,8.916097e-11,1.2605052e-08
2016-08-04 00:00:00,0 days,60.0,32.01,35.87,2016-08-04 00:00:00,9.617612e-11,1.5837337e-10,2.490294e-10,4.5848841e-10,8.968166e-10,2.7287072e-08,2.0047835e-08,2.0702608e-12,1.571125e-10,3.882999e-11,9.2759045e-09
2016-08-04 03:00:00,0 days,60.0,32.01,35.87,2016-08-04 03:00:00,7.7981115e-11,1.0767159e-10,1.9363655e-10,4.8178705e-10,9.652007e-10,3.1721736e-08,2.3662736e-08,1.0776541e-12,8.22324e-11,1.20788535e-11,8.22849e-09
2016-08-04 06:00:00,0 days,60.0,32.01,35.87,2016-08-04 06:00:00,1.7965501e-10,4.05202e-10,2.1290567e-09,2.9975827e-10,3.026384e-10,1.3287184e-08,6.799751e-09,1.4077403e-11,1.1336273e-09,1.01305795e-11,1.48048915e-08
2016-08-04 09:00:00,0 days,60.0,32.01,35.87,2016-08-04 09:00:00,4.684697e-10,1.0782747e-09,2.685383e-09,3.18077e-10,1.4765958e-10,9.6480335e-09,2.974264e-09,1.8765982e-11,1.5051046e-09,1.2459335e-11,1.072115e-08
2016-08-04 12:00:00,0 days,60.0,32.01,35.87,2016-08-04 12:00:00,4.6051166e-10,1.0227451e-09,1.8116944e-09,2.6178382e-10,1.2593843e-10,7.5580635e-09,2.1704525e-09,2.2071383e-11,1.7813361e-09,4.440605e-11,9.486798e-09
2016-08-04 15:00:00,0 days,60.0,32.01,35.87,2016-08-04 15:00:00,3.305252e-10,7.432897e-10,1.2070778e-09,2.7585412e-10,1.6805984e-10,8.025983e-09,2.6729885e-09,2.3435101e-11,1.8893465e-09,9.729683e-11,1.1183603e-08
2016-08-04 18:00:00,0 days,60.0,32.01,35.87,2016-08-04 18:00:00,2.0973243e-10,4.3144857e-10,3.3478348e-10,3.3389536e-10,4.4766424e-10,1.1628261e-08,6.6301222e-09,1.0905745e-11,8.4894225e-10,8.553434e-11,1.2506355e-08
2016-08-04 21:00:00,0 days,60.0,32.01,35.87,2016-08-04 21:00:00,1.8054157e-10,3.091612e-10,8.233564e-11,4.494952e-10,8.320572e-10,2.001363e-08,1.44469166e-08,3.0578034e-12,2.3052468e-10,4.5731297e-11,1.0260513e-08
2016-08-05 00:00:00,0 days,60.0,32.01,35.87,2016-08-05 00:00:00,1.992754e-10,2.7086783e-10,7.187626e-11,6.487799e-10,1.230557e-09,3.337224e-08,2.4708878e-08,1.7000357e-12,1.2976659e-10,1.9872645e-11,9.416456e-09
2016-08-05 03:00:00,0 days,60.0,32.01,35.87,2016-08-05 03:00:00,1.7850298e-10,1.8642528e-10,6.2529655e-11,6.9874107e-10,1.3836867e-09,3.954176e-08,2.9709097e-08,7.7500734e-13,5.951551e-11,6.2146044e-12,8.150041e-09
2016-08-05 06:00:00,0 days,60.0,32.01,35.87,2016-08-05 06:00:00,2.4953675e-10,4.979054e-10,7.215474e-10,5.03644e-10,3.8118617e-10,1.7180266e-08,7.58739e-09,1.8737189e-11,1.5084052e-09,7.488144e-12,1.7772011e-08
2016-08-05 09:00:00,0 days,60.0,32.01,35.87,2016-08-05 09:00:00,3.4893818e-10,7.345786e-10,9.679365e-10,4.825801e-10,1.7766745e-10,1.3148829e-08,3.2728795e-09,1.9320694e-11,1.5455728e-09,6.316712e-12,1.1173262e-08
2016-08-05 12:00:00,0 days,60.0,32.01,35.87,2016-08-05 12:00:00,3.2862646e-10,6.9425504e-10,8.099243e-10,4.1488468e-10,1.5708257e-10,1.0889545e-08,2.5132365e-09,2.1971544e-11,1.7588009e-09,1.4160355e-11,1.0856651e-08
2016-08-05 15:00:00,0 days,60.0,32.01,35.87,2016-08-05 15:00:00,3.2394035e-10,6.722812e-10,7.7960666e-10,4.557433e-10,2.1163417e-10,1.1942099e-08,3.1681346e-09,2.6007318e-11,2.0765305e-09,7.666408e-11,1.3519987e-08
