date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2007-05-01,60,44.2,-79.8,5.6662203e-11,8.874824e-11,3.8000502e-11,4.125298e-10,5.0570986e-10,1.666589e-08,1.06245315e-08,3.7530676e-11,3.1628513e-09,1.2310317e-11,2.6449318e-09
2007-05-02,60,44.2,-79.8,7.865905e-11,1.3324812e-10,8.904884e-11,3.7096837e-10,4.472889e-10,1.28187185e-08,7.697141e-09,2.0337393e-11,1.706867e-09,9.352661e-12,2.833697e-09
2007-05-03,60,44.2,-79.8,1.4507479e-11,2.7749686e-11,1.5797468e-11,1.3374132e-10,2.808738e-10,5.6595333e-09,4.3898245e-09,5.2040156e-12,4.3550513e-10,1.1439283e-12,9.546355e-10
2007-05-04,60,44.2,-79.8,4.128273e-12,7.149201e-12,2.6342247e-12,2.6351324e-10,6.165102e-10,1.27953115e-08,1.0299807e-08,1.702849e-11,1.4422469e-09,3.2494402e-12,1.2622114e-09
2007-05-05,60,44.2,-79.8,1.5757463e-11,2.3413573e-11,8.173336e-12,4.0980902e-10,7.5634304e-10,1.8021185e-08,1.3271323e-08,2.078395e-11,1.7510429e-09,2.8004422e-12,1.6929158e-09
2007-05-06,60,44.2,-79.8,2.7653758e-12,4.769371e-12,9.326558e-13,9.57716e-11,1.785824e-10,4.3576907e-09,3.2024658e-09,5.394514e-12,4.502033e-10,1.2795471e-13,3.466548e-10
2007-05-07,60,44.2,-79.8,8.3774063e-13,1.2658286e-12,1.4716621e-12,3.5957437e-10,8.945335e-10,1.9213168e-08,1.5806048e-08,7.0385614e-13,5.8083004e-11,3.2382885e-12,1.7380928e-09
2007-05-08,60,44.2,-79.8,1.3307752e-12,2.6358562e-12,4.0119292e-12,1.5759294e-10,3.793768e-10,7.631157e-09,5.962857e-09,3.859398e-13,3.1130123e-11,6.314959e-12,2.9839353e-09
2007-05-09,60,44.2,-79.8,1.690572e-11,2.4354303e-11,2.8530747e-11,4.0019804e-10,9.061307e-10,2.1673962e-08,1.6755937e-08,1.255959e-12,1.01236894e-10,9.201238e-12,4.0811434e-09
2007-05-10,60,44.2,-79.8,1.02501466e-10,2.0169394e-10,3.1627734e-10,6.994695e-10,9.875049e-10,2.5056936e-08,1.5392038e-08,9.8423995e-12,7.872888e-10,2.3266165e-11,8.530839e-09
