date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2013-02-01,60,21.802,39.729,7.788422e-09,1.7422986e-08,3.796768e-08,1.1332769e-10,1.1772715e-10,5.56e-09,3.2349383e-09,6.260109e-11,5.2485154e-09,1.4140575e-09,4.227593e-09
2013-02-02,60,21.802,39.729,5.6128653e-09,1.2909124e-08,3.6243875e-08,5.266103e-11,8.2229515e-11,3.272377e-09,2.2945235e-09,2.6528769e-11,2.2191393e-09,4.2690537e-10,2.5325413e-09
2013-02-03,60,21.802,39.729,1.0723537e-08,2.535982e-08,6.645043e-08,6.340047e-11,1.4316005e-10,4.285511e-09,3.4184715e-09,4.125514e-12,3.427234e-10,4.245472e-11,3.5879684e-09
2013-02-04,60,21.802,39.729,2.0477083e-08,4.5657327e-08,9.0651355e-08,9.046807e-11,1.63061e-10,5.0172577e-09,3.5392402e-09,3.6638236e-12,2.9626168e-10,3.4071378e-11,5.224544e-09
2013-02-05,60,21.802,39.729,1.6556305e-08,3.4615592e-08,5.2834846e-08,9.0851264e-11,1.4797887e-10,5.6258527e-09,3.89402e-09,2.60791e-12,2.0830199e-10,1.3662003e-11,5.9935297e-09
2013-02-06,60,21.802,39.729,1.613112e-08,3.1318994e-08,4.525908e-08,1.5319096e-10,1.928704e-10,8.273293e-09,5.0930113e-09,3.808093e-11,3.0559237e-09,3.2167793e-10,1.0032539e-08
2013-02-07,60,21.802,39.729,1.6307752e-08,2.8098768e-08,2.783409e-08,1.9842092e-10,1.6234167e-10,9.140666e-09,4.540904e-09,9.310372e-11,7.4967925e-09,6.717599e-10,1.1853493e-08
2013-02-08,60,21.802,39.729,1.0720483e-08,1.873814e-08,2.0222567e-08,2.3990074e-10,1.6352412e-10,1.0219797e-08,4.6774122e-09,1.0588336e-10,8.400696e-09,5.541031e-10,1.1388995e-08
2013-02-09,60,21.802,39.729,9.615222e-09,1.7076028e-08,2.1062897e-08,2.5571556e-10,1.2706104e-10,9.404494e-09,3.373981e-09,1.14432804e-10,8.57067e-09,1.3290366e-10,1.1363786e-08
2013-02-10,60,21.802,39.729,1.0222629e-08,1.8672337e-08,2.3915671e-08,2.775169e-10,1.6598325e-10,1.1313258e-08,4.7867053e-09,1.0958799e-10,8.082886e-09,4.068915e-11,1.2545684e-08
2013-02-11,60,21.802,39.729,5.990111e-09,1.1303948e-08,2.1770024e-08,1.7220235e-10,1.4978768e-10,8.298958e-09,4.4154516e-09,5.034428e-11,3.7393373e-09,6.630535e-11,9.724484e-09
2013-02-12,60,21.802,39.729,2.5797684e-09,5.635745e-09,1.6233534e-08,6.67503e-11,1.0777895e-10,4.2084074e-09,2.9507474e-09,1.8525811e-11,1.4475977e-09,1.751201e-10,5.2609455e-09
2013-02-13,60,21.802,39.729,6.6713524e-09,1.4057119e-08,2.3860355e-08,1.2208946e-10,2.0231543e-10,7.7942e-09,5.4880487e-09,1.589245e-11,1.1711596e-09,1.1746579e-10,7.504331e-09
2013-02-14,60,21.802,39.729,1.2414507e-08,2.6529234e-08,5.0496286e-08,1.05831344e-10,1.5755393e-10,6.2191696e-09,4.063188e-09,8.070037e-12,6.2184974e-10,3.087192e-11,9.544915e-09
2013-02-15,60,21.802,39.729,6.8375634e-09,1.4254941e-08,2.593292e-08,8.722951e-11,1.1468554e-10,4.535614e-09,2.7876956e-09,4.424877e-12,3.3607125e-10,1.575449e-11,8.984485e-09
2013-02-16,60,21.802,39.729,6.235598e-09,1.2455288e-08,2.4453175e-08,1.1978539e-10,1.2056768e-10,5.869323e-09,3.3223253e-09,5.0234705e-11,4.0188715e-09,5.9993166e-10,7.207656e-09
2013-02-17,60,21.802,39.729,5.6361595e-09,1.10628715e-08,1.8286217e-08,1.1173434e-10,1.11674656e-10,5.5386193e-09,3.0653555e-09,5.960836e-11,4.798987e-09,4.972954e-10,6.6660237e-09
2013-02-18,60,21.802,39.729,3.3538543e-09,7.1145316e-09,1.8201678e-08,7.4646456e-11,7.345242e-11,3.65676e-09,1.940873e-09,2.8608484e-11,2.2000468e-09,1.3264956e-10,6.444996e-09
2013-02-19,60,21.802,39.729,3.4190446e-09,7.2424644e-09,2.275488e-08,1.08047e-10,1.196245e-10,5.531055e-09,3.215343e-09,4.1037687e-11,3.284928e-09,6.184815e-10,6.259844e-09
2013-02-20,60,21.802,39.729,2.5709672e-09,6.131369e-09,1.9728482e-08,5.3927265e-11,9.4852716e-11,3.3502834e-09,2.5014928e-09,1.875008e-11,1.5042726e-09,2.1955822e-10,4.451839e-09
2013-02-21,60,21.802,39.729,3.502623e-09,7.54103e-09,1.702638e-08,1.2630264e-10,2.7516806e-10,9.217955e-09,7.1790365e-09,1.4997137e-11,1.167113e-09,1.7659532e-10,8.893756e-09
2013-02-22,60,21.802,39.729,4.801551e-09,9.787383e-09,2.3253616e-08,1.7485362e-10,2.436499e-10,9.7259605e-09,6.448243e-09,2.005445e-11,1.5024193e-09,8.178121e-11,9.654718e-09
2013-02-23,60,21.802,39.729,3.292717e-09,6.9168453e-09,1.9947947e-08,2.2055463e-10,1.5938036e-10,8.789911e-09,4.6518203e-09,4.2225865e-11,3.1544938e-09,2.8064337e-11,9.120264e-09
2013-02-24,60,21.802,39.729,6.919828e-09,1.3664983e-08,2.328408e-08,1.574313e-10,1.8525409e-10,7.506793e-09,4.7545856e-09,1.6148884e-11,1.2125133e-09,1.5305195e-10,6.579929e-09
2013-02-25,60,21.802,39.729,2.5748317e-08,5.4480186e-08,9.01154e-08,1.48613e-10,1.8980369e-10,7.280298e-09,4.436005e-09,6.343859e-12,4.7554943e-10,3.938602e-11,7.720175e-09
2013-02-26,60,21.802,39.729,3.6920824e-08,7.286188e-08,9.176724e-08,2.2093029e-10,2.0080464e-10,9.247218e-09,5.0621973e-09,1.0883034e-11,6.506745e-10,8.8543955e-12,1.2051207e-08
2013-02-27,60,21.802,39.729,2.4806477e-08,4.339479e-08,6.2309766e-08,2.2933555e-10,2.7368263e-10,1.0805357e-08,6.9017383e-09,2.8273517e-11,1.981789e-09,3.3173259e-10,1.0364544e-08
2013-02-28,60,21.802,39.729,2.4401569e-08,4.212964e-08,4.806496e-08,2.4972097e-10,2.806625e-10,1.2074198e-08,7.3336155e-09,4.1071525e-11,3.0758194e-09,3.2852224e-10,1.22768835e-08
2013-03-01,60,21.802,39.729,1.971056e-08,3.4760955e-08,3.7103263e-08,2.4303387e-10,1.9929094e-10,1.0193974e-08,5.3667173e-09,6.729497e-11,5.1468065e-09,1.7260576e-10,1.3831676e-08
2013-03-02,60,21.802,39.729,2.1635298e-08,3.4058157e-08,2.9342587e-08,3.1633618e-10,2.3448346e-10,1.2288552e-08,6.0306187e-09,6.634937e-11,5.08465e-09,9.511428e-11,1.4284449e-08
2013-03-03,60,21.802,39.729,1.808013e-08,3.1719967e-08,3.077962e-08,3.770385e-10,2.1507637e-10,1.2931273e-08,5.385391e-09,6.686098e-11,5.070111e-09,1.2958672e-10,1.5518173e-08
2013-03-04,60,21.802,39.729,1.6887965e-08,2.7469834e-08,2.9396723e-08,3.5262016e-10,1.8226198e-10,1.18985115e-08,4.720154e-09,6.614608e-11,5.1170055e-09,4.8993302e-11,1.6249226e-08
2013-03-05,60,21.802,39.729,1.3278968e-08,2.1063222e-08,2.7223916e-08,3.0026448e-10,1.4988379e-10,1.0103471e-08,4.033576e-09,7.37831e-11,5.8117693e-09,3.127558e-11,1.4521999e-08
2013-03-06,60,21.802,39.729,4.6771813e-09,9.348203e-09,2.6768307e-08,9.217033e-11,7.6836024e-11,3.6982173e-09,1.9994428e-09,4.104075e-11,3.2738985e-09,3.6688208e-10,4.573982e-09
2013-03-07,60,21.802,39.729,8.097888e-09,1.6696058e-08,2.8232542e-08,1.5940631e-10,2.6673855e-10,9.579138e-09,6.8413106e-09,1.9766026e-11,1.4925404e-09,1.00756826e-10,6.8754127e-09
2013-03-08,60,21.802,39.729,2.0477245e-08,4.0747338e-08,7.0617254e-08,2.8870958e-10,2.3502497e-10,1.2251101e-08,6.0694565e-09,3.559973e-11,2.4435978e-09,4.0723053e-11,1.2829883e-08
2013-03-09,60,21.802,39.729,6.91269e-09,1.2022222e-08,2.6420174e-08,3.8388676e-10,1.8709923e-10,1.4237273e-08,4.7496607e-09,3.6305087e-11,2.4664386e-09,1.6445293e-11,1.274365e-08
2013-03-10,60,21.802,39.729,5.694198e-09,1.1839174e-08,2.9954112e-08,2.723665e-10,1.5170723e-10,1.0164721e-08,3.6922785e-09,3.4598262e-11,2.5683704e-09,1.7374478e-10,7.2909265e-09
2013-03-11,60,21.802,39.729,4.1960475e-09,9.008149e-09,2.1204949e-08,8.063507e-11,1.4504545e-10,4.792389e-09,3.5372125e-09,1.4626595e-11,1.1929484e-09,1.5129585e-10,4.420072e-09
2013-03-12,60,21.802,39.729,2.4937956e-08,5.2527028e-08,8.5563435e-08,1.8318762e-10,2.3369395e-10,8.789697e-09,5.2519833e-09,6.5928053e-12,5.119639e-10,3.2840636e-11,8.734878e-09
2013-03-13,60,21.802,39.729,3.183043e-08,5.8921877e-08,6.9844965e-08,4.1707512e-10,2.8763777e-10,1.6195965e-08,7.009179e-09,2.0942536e-11,1.5519133e-09,3.2519896e-11,1.6898271e-08
2013-03-14,60,21.802,39.729,1.9441003e-08,3.2606387e-08,4.6800192e-08,5.6461597e-10,2.598709e-10,1.8942508e-08,6.0612977e-09,3.4379333e-11,2.5354985e-09,2.2663609e-11,2.0346432e-08
2013-03-15,60,21.802,39.729,1.3210745e-08,2.5777526e-08,3.8150194e-08,2.7024716e-10,2.40878e-10,1.1762283e-08,6.0575345e-09,1.2719671e-11,9.430536e-10,1.8334457e-11,1.3084612e-08
2013-03-16,60,21.802,39.729,1.4159262e-08,2.797853e-08,5.353755e-08,2.280848e-10,2.469936e-10,1.0589342e-08,6.020646e-09,2.2554769e-11,1.7417788e-09,6.451998e-11,1.0142986e-08
2013-03-17,60,21.802,39.729,2.034222e-08,3.661924e-08,4.3092633e-08,2.91377e-10,1.9738863e-10,1.1075009e-08,4.7713415e-09,9.935909e-11,7.990953e-09,5.0273136e-10,1.1228287e-08
2013-03-18,60,21.802,39.729,1.021796e-08,1.8282517e-08,3.3688824e-08,2.373738e-10,1.3985706e-10,8.531654e-09,3.3749081e-09,1.3604977e-10,1.1031908e-08,1.1213751e-09,7.868575e-09
2013-03-19,60,21.802,39.729,7.749112e-09,1.5685824e-08,3.2787987e-08,2.899605e-10,2.0101568e-10,1.1453334e-08,5.180351e-09,1.0282286e-10,8.236544e-09,1.4487117e-10,9.781967e-09
2013-03-20,60,21.802,39.729,5.333189e-09,1.12699095e-08,2.5406473e-08,1.512201e-10,8.692184e-11,5.5587046e-09,2.2623914e-09,5.3039437e-11,4.220848e-09,4.5539232e-11,7.386921e-09
2013-03-21,60,21.802,39.729,4.6743924e-09,9.495793e-09,1.830231e-08,1.9243636e-10,1.6587429e-10,7.775118e-09,4.1274326e-09,3.9965902e-11,3.1168241e-09,2.169012e-11,6.9116917e-09
2013-03-22,60,21.802,39.729,3.9235224e-09,8.241649e-09,2.2988562e-08,1.4125566e-10,1.7601581e-10,7.531213e-09,4.898463e-09,1.324834e-11,9.936705e-10,1.05806735e-11,7.587896e-09
2013-03-23,60,21.802,39.729,7.588375e-09,1.40116985e-08,2.6293897e-08,3.0305125e-10,1.8221577e-10,1.11711485e-08,4.6246273e-09,4.2817895e-11,3.3089946e-09,5.96196e-11,9.685611e-09
2013-03-24,60,21.802,39.729,9.680468e-09,1.9144712e-08,4.4069235e-08,2.385363e-10,1.5359745e-10,8.516244e-09,3.7540318e-09,7.647683e-11,6.245362e-09,3.8459178e-10,5.0604214e-09
2013-03-25,60,21.802,39.729,7.3044597e-09,1.37448675e-08,2.385769e-08,3.9022802e-10,2.5765204e-10,1.4939443e-08,6.349258e-09,6.878813e-11,5.6306186e-09,8.358016e-11,7.975608e-09
2013-03-26,60,21.802,39.729,1.5819792e-08,2.844393e-08,4.63714e-08,5.4932037e-10,3.094811e-10,1.993466e-08,7.371732e-09,5.5943472e-11,4.32732e-09,2.5953939e-11,1.3482423e-08
2013-03-27,60,21.802,39.729,7.266937e-09,1.1566767e-08,1.9520439e-08,2.691035e-10,1.7096663e-10,1.0194439e-08,4.4062043e-09,2.4323508e-11,1.6149081e-09,1.0326382e-11,9.909062e-09
2013-03-28,60,21.802,39.729,8.220584e-09,1.3979971e-08,2.0959199e-08,2.9848496e-10,1.9387783e-10,1.12856275e-08,5.102103e-09,3.196311e-11,2.1067308e-09,2.7154862e-11,9.5321795e-09
2013-03-29,60,21.802,39.729,4.3975925e-09,7.878645e-09,1.866947e-08,1.3995387e-10,1.0850734e-10,5.7958607e-09,2.9306635e-09,1.279076e-11,8.834098e-10,6.371432e-12,5.3307687e-09
2013-03-30,60,21.802,39.729,4.7124895e-09,9.183333e-09,2.4609419e-08,2.2902229e-10,1.3319915e-10,8.2438625e-09,3.2920187e-09,2.4829541e-11,1.7151534e-09,2.0175835e-11,8.495125e-09
2013-03-31,60,21.802,39.729,3.093891e-09,6.393837e-09,1.7764556e-08,1.5999695e-10,1.4466145e-10,7.1034854e-09,3.846043e-09,1.1252505e-11,7.7788237e-10,8.2008705e-12,7.747205e-09
2013-04-01,60,21.802,39.729,4.414755e-09,8.969767e-09,2.0230413e-08,2.2495888e-10,1.7256149e-10,8.76415e-09,4.164917e-09,1.608044e-11,1.0973267e-09,2.0694552e-11,5.6305858e-09
2013-04-02,60,21.802,39.729,7.872922e-09,1.5132343e-08,3.110185e-08,3.8676368e-10,2.3470578e-10,1.3145329e-08,5.6252687e-09,2.7480573e-11,2.0186526e-09,1.289583e-10,7.729881e-09
2013-04-03,60,21.802,39.729,1.01604645e-08,1.8510216e-08,3.7600298e-08,4.6832765e-10,2.0080144e-10,1.468224e-08,4.8963544e-09,3.1526223e-11,2.2497775e-09,4.1476215e-11,1.2227e-08
2013-04-04,60,21.802,39.729,8.34736e-09,1.41978544e-08,2.7526093e-08,5.1272536e-10,2.1391366e-10,1.606024e-08,5.449521e-09,3.491732e-11,2.3258253e-09,1.7699425e-11,9.934818e-09
2013-04-05,60,21.802,39.729,6.991799e-09,1.4378749e-08,3.984829e-08,2.8814579e-10,1.2263235e-10,8.833277e-09,2.948389e-09,8.702417e-11,6.798783e-09,5.7809313e-10,6.2306995e-09
2013-04-06,60,21.802,39.729,6.8981865e-09,1.4493503e-08,3.491019e-08,3.2307634e-10,2.1983093e-10,1.1494421e-08,5.029863e-09,1.7573483e-10,1.4415677e-08,5.45085e-10,6.9276123e-09
2013-04-07,60,21.802,39.729,7.310553e-09,1.6022964e-08,3.064286e-08,6.566994e-11,1.02472114e-10,3.44334e-09,2.365076e-09,5.8803353e-12,4.7306986e-10,1.6841712e-11,3.1765115e-09
2013-04-08,60,21.802,39.729,1.4541501e-08,2.763039e-08,4.8879194e-08,2.1145699e-10,3.1574435e-10,1.0965718e-08,7.340286e-09,9.154675e-12,7.204928e-10,1.6953187e-11,8.401378e-09
2013-04-09,60,21.802,39.729,1.547012e-08,2.915176e-08,4.4011596e-08,2.2104854e-10,1.9990849e-10,9.3542285e-09,4.830769e-09,2.664933e-11,2.0879474e-09,2.39063e-10,8.7258325e-09
2013-04-10,60,21.802,39.729,1.6260435e-08,2.9591407e-08,4.9024653e-08,2.887382e-10,1.8204296e-10,1.0035635e-08,4.2122865e-09,8.7435136e-11,6.9739987e-09,7.97762e-10,6.3550836e-09
2013-04-11,60,21.802,39.729,1.1267591e-08,2.1174802e-08,3.6895123e-08,2.993246e-10,2.3884794e-10,1.0284746e-08,4.6784088e-09,8.5815556e-11,6.8140644e-09,2.42107e-10,7.2889885e-09
2013-04-12,60,21.802,39.729,1.3228134e-08,2.4428182e-08,3.8965155e-08,4.6528206e-10,2.554332e-10,1.4884382e-08,5.5293112e-09,9.567481e-11,7.5027184e-09,2.0851397e-10,1.2044314e-08
2013-04-13,60,21.802,39.729,6.5356076e-09,1.3332418e-08,3.3522703e-08,2.6786984e-10,1.5771508e-10,9.161347e-09,3.813348e-09,4.0228557e-11,3.2277188e-09,1.14004785e-10,6.182099e-09
2013-04-14,60,21.802,39.729,6.2270358e-09,1.2848882e-08,3.051403e-08,2.0918843e-10,1.6877338e-10,8.144765e-09,4.037265e-09,2.7225987e-11,2.1453501e-09,7.96854e-11,6.7788397e-09
2013-04-15,60,21.802,39.729,9.413958e-09,1.792257e-08,3.4181287e-08,2.4631963e-10,1.7010308e-10,9.203394e-09,4.1004986e-09,2.9878783e-11,2.298635e-09,3.5071106e-11,9.363124e-09
2013-04-16,60,21.802,39.729,9.246562e-09,1.7203885e-08,2.6992172e-08,2.2482308e-10,1.4033995e-10,8.14633e-09,3.64416e-09,2.6662715e-11,1.8652722e-09,1.0976501e-11,8.2475875e-09
2013-04-17,60,21.802,39.729,9.909319e-09,1.7909999e-08,3.012835e-08,2.690324e-10,1.8336344e-10,8.929929e-09,3.954388e-09,3.5134003e-11,2.3766735e-09,8.212789e-11,8.161614e-09
2013-04-18,60,21.802,39.729,5.911533e-09,1.2573081e-08,4.0280337e-08,3.0181535e-10,1.8509316e-10,1.0021142e-08,4.1889137e-09,6.3072846e-11,5.0434803e-09,4.9457816e-10,5.9944907e-09
2013-04-19,60,21.802,39.729,7.28645e-09,1.7093017e-08,5.4086797e-08,3.0477476e-10,1.4169849e-10,9.2855545e-09,3.384645e-09,7.7801494e-11,6.299872e-09,2.7699634e-10,6.0621352e-09
2013-04-20,60,21.802,39.729,1.2153444e-08,2.6436727e-08,6.283256e-08,2.554706e-10,1.3928084e-10,8.064907e-09,3.2771466e-09,2.4780233e-11,1.9722197e-09,3.1708306e-11,4.1264916e-09
2013-04-21,60,21.802,39.729,9.495419e-09,2.031859e-08,5.8730247e-08,2.75168e-10,1.7217414e-10,9.110476e-09,3.978337e-09,4.2193072e-11,3.4395895e-09,5.1226323e-10,5.3859823e-09
2013-04-22,60,21.802,39.729,6.0106986e-09,1.3453096e-08,3.7314564e-08,3.9655965e-10,1.9006517e-10,1.1581975e-08,4.225099e-09,7.2477635e-11,5.9558545e-09,1.032908e-09,8.860128e-09
2013-04-23,60,21.802,39.729,4.863091e-09,1.0535869e-08,3.1200624e-08,3.491229e-10,1.5876624e-10,1.0053249e-08,3.6729717e-09,5.7812918e-11,4.711189e-09,5.5458793e-10,8.213386e-09
2013-04-24,60,21.802,39.729,8.552199e-09,1.831435e-08,4.119066e-08,3.9585923e-10,2.333754e-10,1.289335e-08,5.08675e-09,4.7189135e-11,3.7767762e-09,1.3502371e-10,1.1729458e-08
2013-04-25,60,21.802,39.729,1.3507057e-08,2.6278235e-08,5.376569e-08,4.1439038e-10,2.0442528e-10,1.367083e-08,4.899692e-09,4.6280143e-11,3.6556398e-09,6.8259454e-11,1.2886778e-08
2013-04-26,60,21.802,39.729,1.03657785e-08,1.855836e-08,2.7165449e-08,5.4292143e-10,2.0847184e-10,1.5884897e-08,4.6124042e-09,5.2137822e-11,3.9265453e-09,2.7875148e-11,1.7521035e-08
2013-04-27,60,21.802,39.729,1.0158745e-08,1.6468254e-08,2.5003773e-08,6.438271e-10,2.283222e-10,1.7417628e-08,4.7810764e-09,8.0786544e-11,6.142215e-09,4.644389e-11,1.4617372e-08
2013-04-28,60,21.802,39.729,6.4847665e-09,1.215769e-08,2.6386092e-08,4.019101e-10,1.9691151e-10,1.26854545e-08,4.7311484e-09,8.056948e-11,6.089927e-09,4.3179908e-11,1.0920395e-08
2013-04-29,60,21.802,39.729,8.14419e-09,1.3484673e-08,2.0637358e-08,4.4473444e-10,1.6301083e-10,1.2965368e-08,3.6351573e-09,1.3675835e-10,1.04666595e-08,1.6364757e-10,1.0526616e-08
2013-04-30,60,21.802,39.729,7.2216633e-09,1.2223012e-08,1.8667128e-08,3.7482248e-10,1.3255948e-10,1.0964912e-08,2.8444669e-09,1.1712832e-10,8.97124e-09,7.18874e-11,8.659033e-09
2013-05-01,60,21.802,39.729,5.820541e-09,1.0559582e-08,1.9624569e-08,2.1528174e-10,1.8629298e-10,8.661707e-09,4.561658e-09,3.3332316e-11,2.5588582e-09,5.4809256e-12,6.2610557e-09
2013-05-02,60,21.802,39.729,5.54741e-09,1.1043355e-08,2.5202333e-08,1.7672029e-10,1.7451093e-10,7.3439974e-09,4.114223e-09,1.0837086e-11,8.27667e-10,1.5722391e-12,6.841492e-09
2013-05-03,60,21.802,39.729,5.9976424e-09,1.1538807e-08,2.6255757e-08,2.3261887e-10,1.6568234e-10,8.373125e-09,3.7353636e-09,3.4010347e-11,2.5710285e-09,1.0853697e-11,5.8119327e-09
2013-05-04,60,21.802,39.729,5.8140524e-09,1.097071e-08,3.1594446e-08,3.1557085e-10,1.8801129e-10,1.0887746e-08,4.033719e-09,4.776116e-11,3.5794114e-09,2.3593474e-11,9.198992e-09
2013-05-05,60,21.802,39.729,5.771041e-09,1.0426811e-08,2.410233e-08,3.1093828e-10,1.9089116e-10,1.12673035e-08,4.4736312e-09,3.575786e-11,2.6620555e-09,9.577935e-12,1.0458486e-08
2013-05-06,60,21.802,39.729,6.782546e-09,1.1810951e-08,3.0190403e-08,3.9313558e-10,2.2562312e-10,1.3516524e-08,5.0119295e-09,4.4051412e-11,3.315814e-09,8.526632e-12,9.854756e-09
2013-05-07,60,21.802,39.729,8.797412e-09,1.5506277e-08,3.939786e-08,4.8598214e-10,2.5048355e-10,1.5812718e-08,5.2642988e-09,5.278473e-11,3.95696e-09,7.0540396e-12,1.1337775e-08
2013-05-08,60,21.802,39.729,6.03686e-09,1.0545278e-08,2.4571161e-08,3.37675e-10,1.7609303e-10,1.104831e-08,3.6337693e-09,3.9192254e-11,2.957926e-09,2.8455654e-12,8.409627e-09
2013-05-09,60,21.802,39.729,4.7955124e-09,1.00967625e-08,2.7841413e-08,2.5726568e-10,1.4857947e-10,9.706518e-09,3.662046e-09,3.5897615e-11,2.7065563e-09,2.8950202e-12,8.132634e-09
2013-05-10,60,21.802,39.729,4.520895e-09,9.414029e-09,2.5571172e-08,2.4796393e-10,1.4257877e-10,9.143173e-09,3.3484109e-09,3.9429827e-11,3.006437e-09,1.2016151e-11,7.0813533e-09
2013-05-11,60,21.802,39.729,1.0031198e-08,2.1686649e-08,4.3838327e-08,2.3059885e-10,1.5981737e-10,8.3339e-09,3.7212367e-09,1.176467e-11,8.777582e-10,1.4916202e-11,5.086719e-09
2013-05-12,60,21.802,39.729,1.6732166e-08,3.1416228e-08,4.5810328e-08,2.4915356e-10,2.5418853e-10,9.059073e-09,4.8732396e-09,8.126396e-12,6.132719e-10,2.5970575e-11,6.8657258e-09
2013-05-13,60,21.802,39.729,1.0781588e-08,2.1606542e-08,5.4559873e-08,2.0071857e-10,1.6160451e-10,7.169561e-09,3.515537e-09,3.2839495e-11,2.597218e-09,3.3968608e-10,6.125359e-09
2013-05-14,60,21.802,39.729,6.104473e-09,1.3505304e-08,3.55349e-08,2.615176e-10,1.98137e-10,8.2892395e-09,3.9140593e-09,4.2391774e-11,3.3002996e-09,1.4028947e-10,5.46476e-09
2013-05-15,60,21.802,39.729,8.5451735e-09,2.004198e-08,6.087887e-08,9.886804e-11,1.0645082e-10,3.85499e-09,2.435392e-09,9.0428914e-12,6.8998646e-10,1.994274e-11,2.344696e-09
2013-05-16,60,21.802,39.729,7.8487385e-09,1.7584634e-08,5.3445504e-08,1.7515311e-10,1.3457979e-10,5.9143117e-09,3.0374774e-09,3.592646e-11,2.8612361e-09,3.694929e-10,3.4642569e-09
2013-05-17,60,21.802,39.729,4.4829473e-09,1.0076708e-08,3.2645822e-08,1.6604301e-10,1.4026874e-10,6.042914e-09,3.1251253e-09,2.6796391e-11,2.1153477e-09,1.451195e-10,5.458443e-09
2013-05-18,60,21.802,39.729,7.791318e-09,1.7087153e-08,4.2619842e-08,1.4133886e-10,1.2633505e-10,5.61105e-09,2.7593219e-09,2.8803706e-11,2.2614561e-09,1.4687972e-10,1.0125449e-08
2013-05-19,60,21.802,39.729,1.13811645e-08,2.1687462e-08,4.8717293e-08,3.103403e-10,2.3326366e-10,1.1596634e-08,5.1778875e-09,4.088228e-11,3.1997993e-09,3.6369047e-11,1.6606068e-08
2013-05-20,60,21.802,39.729,1.16539685e-08,2.217467e-08,5.0559354e-08,3.2900957e-10,2.1733274e-10,1.116902e-08,4.6136917e-09,3.720432e-11,2.9189196e-09,8.972267e-12,1.6805558e-08
2013-05-21,60,21.802,39.729,9.459688e-09,1.9340956e-08,4.1869143e-08,2.7515826e-10,1.323395e-10,8.752144e-09,3.1536662e-09,2.9561326e-11,2.3078668e-09,1.08582345e-11,1.3348902e-08
2013-05-22,60,21.802,39.729,7.71456e-09,1.4486258e-08,2.4780876e-08,1.9756367e-10,9.610683e-11,6.342324e-09,1.9993078e-09,1.0650432e-11,7.935769e-10,8.321003e-12,9.5443395e-09
2013-05-23,60,21.802,39.729,2.3540883e-08,3.8081204e-08,5.471228e-08,5.651132e-10,2.7994107e-10,1.8421359e-08,6.0771703e-09,2.6380042e-11,1.9565785e-09,1.599795e-11,1.71098e-08
2013-05-24,60,21.802,39.729,1.2954204e-08,2.3871152e-08,4.0332555e-08,3.1931463e-10,3.1604183e-10,1.18190275e-08,6.0963075e-09,1.37954734e-11,8.788064e-10,1.3425823e-11,9.397215e-09
2013-05-25,60,21.802,39.729,8.771122e-09,1.6435012e-08,3.123864e-08,2.0817675e-10,2.0010724e-10,7.0576296e-09,3.6501058e-09,2.1297282e-11,1.0811696e-09,5.7391292e-12,7.961282e-09
