date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2008-01-01,60,51.53,12.9,3.5527137e-15,6.391426e-15,0.0,1.0885026e-10,2.9359887e-10,5.061287e-09,4.5586406e-09,2.5852669e-11,2.2078626e-09,4.922049e-10,2.5643476e-10
2008-01-02,60,51.53,12.9,3.6033237e-13,7.518342e-13,3.1541675e-13,2.1396453e-10,4.321884e-10,1.0069444e-08,7.904969e-09,9.668389e-12,8.24935e-10,9.2520824e-11,9.588564e-10
2008-01-03,60,51.53,12.9,1.468182e-12,3.2299955e-12,1.7735488e-12,1.383158e-10,2.809789e-10,4.8932964e-09,4.257429e-09,2.1542197e-12,1.8128946e-10,1.9913151e-11,1.2357322e-09
2008-01-04,60,51.53,12.9,7.466663e-12,1.4759315e-11,7.08551e-12,2.510202e-10,3.6149245e-10,7.98534e-09,5.596357e-09,5.202165e-12,4.3899692e-10,5.6611292e-11,1.704609e-09
2008-01-05,60,51.53,12.9,2.7952684e-12,6.0488893e-12,8.188922e-12,1.9658927e-10,4.3262385e-10,8.215465e-09,7.297644e-09,1.1157475e-11,9.507638e-10,5.202648e-10,9.13e-10
2008-01-06,60,51.53,12.9,1.1005036e-11,2.3689245e-11,2.9243517e-11,1.2896087e-10,3.296569e-10,5.6244156e-09,5.8547496e-09,5.881925e-11,5.022229e-09,2.9301215e-09,5.0143373e-10
2008-01-07,60,51.53,12.9,1.0350925e-12,1.5430617e-12,2.3001327e-13,1.42446e-10,2.7004565e-10,6.8891177e-09,5.083835e-09,1.8623127e-10,1.5912558e-08,6.2157826e-09,5.9092564e-10
2008-01-08,60,51.53,12.9,2.5381745e-13,2.9813345e-13,0.0,1.1773546e-10,2.2485597e-10,5.293612e-09,3.7712526e-09,3.2188038e-10,2.7512103e-08,1.0883685e-08,6.5303035e-10
2008-01-09,60,51.53,12.9,3.908835e-12,6.8635184e-12,1.6452464e-12,2.0095377e-10,3.3642641e-10,9.807435e-09,6.558681e-09,9.2345506e-11,7.885052e-09,8.425246e-10,8.241303e-10
2008-01-10,60,51.53,12.9,4.3351156e-12,6.9555603e-12,6.4162065e-13,1.7639942e-10,2.9961583e-10,8.135122e-09,5.7180145e-09,7.0092425e-11,5.980385e-09,1.94826e-09,8.8961405e-10
