date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2005-12-01,60,29.47,79.65,5.443822e-10,7.91978e-10,5.3253213e-10,9.423249e-10,1.9485382e-09,5.288139e-08,3.8168963e-08,3.594491e-12,2.6092886e-10,1.6849374e-11,3.4589824e-09
2005-12-02,60,29.47,79.65,3.1314795e-10,4.041061e-10,2.282979e-10,8.4168195e-10,1.9412876e-09,5.264777e-08,4.1231953e-08,3.2592399e-12,2.068666e-10,1.2870895e-11,2.2926514e-09
2005-12-03,60,29.47,79.65,1.0146905e-10,1.12608534e-10,4.297036e-11,8.6729796e-10,1.9856445e-09,5.0568865e-08,3.837077e-08,6.5856603e-13,4.505417e-11,6.8769543e-12,2.9073863e-09
2005-12-04,60,29.47,79.65,5.794975e-11,6.5035255e-11,1.2757685e-11,7.370674e-10,1.5476203e-09,4.37992e-08,3.2171876e-08,8.9762995e-13,6.4309495e-11,2.3628132e-11,3.0075034e-09
2005-12-05,60,29.47,79.65,6.6523356e-11,6.840344e-11,1.8557472e-11,9.0010677e-10,1.8938753e-09,5.3901395e-08,3.9480902e-08,1.7529163e-12,1.2915603e-10,1.0475679e-11,3.2210217e-09
2005-12-06,60,29.47,79.65,6.1277095e-11,4.8914373e-11,3.5864857e-12,9.507234e-10,2.0012447e-09,5.722682e-08,4.1942066e-08,5.3273694e-13,4.0208416e-11,1.5067331e-12,3.3531504e-09
2005-12-07,60,29.47,79.65,6.061402e-11,6.406296e-11,7.0863584e-12,8.8878865e-10,1.849897e-09,5.53735e-08,4.077036e-08,5.164261e-13,3.8591814e-11,2.7886755e-12,2.9710323e-09
2005-12-08,60,29.47,79.65,3.6982428e-11,4.826143e-11,1.8036364e-11,1.0158185e-09,2.5958653e-09,5.7282143e-08,4.619157e-08,2.2374862e-12,1.7092903e-10,2.604009e-12,2.0750008e-09
2005-12-09,60,29.47,79.65,3.8698295e-11,4.9160932e-11,1.6635941e-11,9.732389e-10,2.1919542e-09,5.517352e-08,4.234206e-08,3.1096794e-12,2.3709057e-10,1.929206e-12,2.377854e-09
2005-12-10,60,29.47,79.65,3.679186e-11,4.7523725e-11,1.7795633e-11,7.715449e-10,1.7422976e-09,4.9119542e-08,3.845954e-08,1.7745988e-12,1.3918211e-10,3.3000612e-12,2.1876156e-09
2005-12-11,60,29.47,79.65,1.609813e-11,1.9291244e-11,7.982085e-12,5.884216e-10,1.5699688e-09,4.203374e-08,3.5412672e-08,6.7373185e-13,5.2455e-11,5.3905816e-13,1.250229e-09
2005-12-12,60,29.47,79.65,1.1742643e-10,1.6048275e-10,4.3268392e-11,8.1806184e-10,1.6654585e-09,5.1387605e-08,3.7573148e-08,1.1989725e-12,8.811829e-11,8.4571293e-13,3.3825993e-09
2005-12-13,60,29.47,79.65,8.4929695e-11,9.376805e-11,1.3596571e-11,8.972204e-10,1.67168e-09,5.4666977e-08,3.7620218e-08,1.1955403e-12,8.948724e-11,1.0031472e-13,4.07786e-09
2005-12-14,60,29.47,79.65,8.676447e-11,6.9653616e-11,5.545366e-12,1.1983395e-09,2.1280533e-09,7.126463e-08,4.7501512e-08,5.7924726e-13,4.271143e-11,9.945163e-13,4.9189657e-09
2005-12-15,60,29.47,79.65,5.229336e-11,4.161839e-11,2.9745833e-12,9.682565e-10,1.9783626e-09,5.846304e-08,4.2098385e-08,3.6214827e-13,2.4826658e-11,1.1854658e-12,3.1039828e-09
2005-12-16,60,29.47,79.65,2.5280177e-11,2.3180095e-11,6.4552413e-12,8.5198315e-10,1.9492565e-09,5.2241678e-08,4.0313388e-08,1.82997e-12,1.00907206e-10,3.1051169e-12,1.9623312e-09
2005-12-17,60,29.47,79.65,2.4465433e-11,2.898016e-11,1.491377e-11,8.69885e-10,2.1945554e-09,5.3317155e-08,4.3687685e-08,4.2622043e-12,2.3493604e-10,1.029406e-11,2.16449e-09
2005-12-18,60,29.47,79.65,2.3068113e-11,3.2192103e-11,2.0209397e-11,8.8840135e-10,2.1698483e-09,5.255224e-08,4.3118856e-08,5.815372e-12,3.1774855e-10,6.4140776e-12,1.4225277e-09
2005-12-19,60,29.47,79.65,2.4293137e-11,3.8057738e-11,1.9532502e-11,1.1419756e-09,2.119595e-09,6.3401025e-08,4.3841858e-08,2.3774127e-12,1.321171e-10,1.3396216e-11,3.4063046e-09
2005-12-20,60,29.47,79.65,3.378388e-11,6.525092e-11,1.2365348e-10,7.25441e-10,1.7776063e-09,4.9610062e-08,4.0249272e-08,4.7872e-12,3.6253206e-10,8.545614e-12,1.3646594e-09
2005-12-21,60,29.47,79.65,4.9222702e-11,7.858433e-11,3.248029e-11,7.684977e-10,1.9698154e-09,5.0348664e-08,4.1606445e-08,3.4499669e-12,2.0893517e-10,1.4140821e-11,1.0797673e-09
2005-12-22,60,29.47,79.65,1.2744529e-10,2.1176004e-10,1.3352618e-10,6.92095e-10,1.4584061e-09,4.3744624e-08,3.3254153e-08,3.4389536e-11,1.0492209e-09,6.187311e-11,1.9560833e-09
2005-12-23,60,29.47,79.65,1.2311255e-10,1.7321523e-10,6.697723e-11,7.340322e-10,1.4677155e-09,4.5215877e-08,3.2767034e-08,9.905461e-12,3.5974218e-10,1.0176427e-11,2.7165545e-09
2005-12-24,60,29.47,79.65,6.004852e-11,7.7797206e-11,2.2636337e-11,5.892683e-10,1.2819845e-09,3.7715772e-08,2.8659807e-08,2.353076e-12,1.0514248e-10,2.1241403e-12,2.1384412e-09
2005-12-25,60,29.47,79.65,1.06224675e-10,1.5128752e-10,4.69804e-11,9.436144e-10,1.828111e-09,5.768967e-08,4.1554106e-08,5.4030357e-12,2.0490626e-10,1.2262665e-12,3.6027408e-09
2005-12-26,60,29.47,79.65,1.5442787e-10,1.6152202e-10,2.864081e-11,1.2247344e-09,2.0496522e-09,7.073688e-08,4.6178926e-08,6.1589835e-12,3.324234e-10,2.150196e-12,4.7123487e-09
2005-12-27,60,29.47,79.65,2.618913e-10,3.051465e-10,1.6731323e-10,1.7856812e-09,2.3415065e-09,9.237014e-08,5.201646e-08,8.489116e-12,4.949072e-10,1.4445554e-11,7.694459e-09
2005-12-28,60,29.47,79.65,2.4904012e-10,2.6932306e-10,6.3510745e-11,1.4256645e-09,1.8015179e-09,7.352209e-08,4.0135724e-08,5.1917828e-12,2.6684419e-10,6.7632566e-12,5.6927645e-09
2005-12-29,60,29.47,79.65,4.051278e-10,5.395723e-10,2.5144192e-10,1.4268033e-09,2.0063926e-09,7.3374224e-08,4.4030347e-08,1.2458033e-11,5.4153904e-10,1.3019705e-11,5.9286416e-09
2005-12-30,60,29.47,79.65,5.0328547e-10,6.6056016e-10,2.795759e-10,1.5610603e-09,1.9128938e-09,7.865906e-08,4.2232763e-08,7.660068e-12,5.09974e-10,1.2030332e-11,7.594047e-09
2005-12-31,60,29.47,79.65,2.5109692e-10,3.1476455e-10,1.2017419e-10,1.0485612e-09,1.77401e-09,5.7020895e-08,3.6958227e-08,2.695381e-12,1.4677379e-10,2.179711e-11,3.785479e-09
