date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2011-04-01,60,53.14,13.03,1.1908599e-11,2.3628287e-11,2.2067851e-11,1.5561055e-10,1.7895947e-10,4.4920223e-09,2.5185247e-09,4.2772233e-10,3.64182e-08,5.910558e-09,1.4790984e-09
2011-04-02,60,53.14,13.03,3.5594264e-11,7.5709154e-11,1.0197546e-10,2.371888e-10,2.6365807e-10,7.471843e-09,4.002196e-09,7.355101e-11,6.154978e-09,1.3100264e-09,1.1849517e-09
2011-04-03,60,53.14,13.03,1.6190412e-10,3.3959116e-10,4.4838108e-10,4.1792056e-10,3.790503e-10,1.2892817e-08,5.900146e-09,6.4000354e-11,5.354135e-09,4.5314247e-10,2.3167857e-09
2011-04-04,60,53.14,13.03,2.9984715e-10,6.1901484e-10,8.632272e-10,2.7690558e-10,1.9210195e-10,7.479594e-09,3.0947498e-09,1.1646284e-10,9.893108e-09,1.1625048e-09,1.6032455e-09
2011-04-05,60,53.14,13.03,1.854636e-11,3.3703304e-11,1.6340835e-11,2.604544e-10,2.356569e-10,7.67088e-09,3.530131e-09,9.810086e-11,8.3496525e-09,1.6677286e-09,1.5050298e-09
2011-04-06,60,53.14,13.03,5.0515203e-11,1.1040012e-10,7.817497e-11,2.409658e-10,2.4294852e-10,6.7828267e-09,3.4541658e-09,8.478856e-11,7.1431603e-09,1.1915848e-09,1.4737965e-09
2011-04-07,60,53.14,13.03,1.0095745e-10,2.0488233e-10,7.174255e-11,2.59532e-10,1.9817126e-10,6.418268e-09,2.7057223e-09,2.6465566e-10,2.2448178e-08,2.3374127e-09,1.8548609e-09
2011-04-08,60,53.14,13.03,1.1333446e-11,2.3696534e-11,4.106298e-11,1.03816955e-10,7.931447e-11,2.953911e-09,1.2856779e-09,5.755827e-10,4.9143104e-08,7.980907e-09,7.779351e-10
2011-04-09,60,53.14,13.03,1.7184531e-12,2.84444e-12,6.61257e-13,4.2972285e-11,5.8258794e-11,1.6051946e-09,1.1009461e-09,4.2384957e-10,3.621239e-08,6.436215e-09,2.6935817e-10
2011-04-10,60,53.14,13.03,9.192975e-12,2.095192e-11,3.196587e-11,1.5829374e-10,2.1975553e-10,5.9067196e-09,3.646881e-09,5.5298956e-11,4.6903983e-09,4.0302258e-11,6.849381e-10
2011-04-11,60,53.14,13.03,4.2442883e-11,7.709949e-11,1.4301997e-10,2.9485525e-10,3.8054582e-10,1.0146283e-08,5.8215703e-09,3.2769863e-11,2.7677678e-09,9.5594484e-11,1.1606341e-09
2011-04-12,60,53.14,13.03,1.5689065e-10,3.296925e-10,8.0997326e-10,2.1823379e-10,1.5427558e-10,6.2329564e-09,2.5099327e-09,4.5340998e-10,3.8693354e-08,1.2230992e-08,1.3584901e-09
2011-04-13,60,53.14,13.03,1.1706258e-10,2.2122176e-10,2.052103e-10,1.00579864e-10,1.2578502e-10,2.996418e-09,1.815673e-09,3.848873e-10,3.2867653e-08,9.183815e-09,5.2694593e-10
2011-04-14,60,53.14,13.03,1.7753218e-10,3.4450304e-10,2.3375457e-10,1.6068882e-10,2.0684232e-10,4.536204e-09,2.877401e-09,8.486563e-11,7.22792e-09,1.0106172e-10,5.452423e-10
2011-04-15,60,53.14,13.03,1.7317488e-10,3.2991582e-10,1.7452978e-10,2.425788e-10,2.6311164e-10,7.589929e-09,3.9054258e-09,1.2647566e-10,1.0766645e-08,7.0726286e-11,8.97643e-10
2011-04-16,60,53.14,13.03,1.0366609e-10,1.7152531e-10,6.472289e-11,3.3246006e-10,4.330422e-10,1.1309293e-08,6.5616277e-09,8.227491e-11,6.983745e-09,3.2632324e-11,1.1985571e-09
2011-04-17,60,53.14,13.03,1.1737544e-10,2.1018103e-10,9.19977e-11,6.549789e-10,3.8522138e-10,1.6682888e-08,5.4702065e-09,1.190576e-10,1.0039719e-08,1.07058966e-10,2.5420193e-09
2011-04-18,60,53.14,13.03,4.363654e-11,6.2829006e-11,3.6714937e-11,3.857445e-10,4.6152848e-10,1.2430596e-08,6.972026e-09,3.6666694e-11,3.0831875e-09,6.513108e-11,9.849217e-10
2011-04-19,60,53.14,13.03,3.7377698e-11,6.962002e-11,4.4823763e-11,3.8226153e-10,3.147152e-10,1.0816001e-08,4.775893e-09,4.8560055e-11,4.053938e-09,4.817633e-11,1.8284436e-09
