date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2009-04-01,60,55.55,22.0,1.4106305e-11,2.0994498e-11,8.592803e-12,3.2654032e-10,2.0590134e-10,8.6879695e-09,3.3429604e-09,2.1122686e-10,1.793188e-08,3.6967993e-09,1.7447284e-09
2009-04-02,60,55.55,22.0,8.942326e-13,1.1475432e-12,8.0910425e-13,1.0170914e-10,2.2265022e-10,5.4974993e-09,4.3368527e-09,8.430134e-11,7.1512316e-09,2.8304126e-10,2.6995367e-10
2009-04-03,60,55.55,22.0,1.3310023e-12,2.413239e-12,1.4366761e-12,4.2878878e-10,9.069648e-10,1.2097012e-08,8.738512e-09,3.0542093e-11,2.5951292e-09,1.3257345e-10,2.716624e-09
2009-04-04,60,55.55,22.0,8.498559e-12,1.4801818e-11,8.059998e-12,6.945818e-10,1.4708463e-09,2.1605672e-08,1.5794454e-08,1.5149174e-11,1.273222e-09,2.8071696e-11,2.1842148e-09
2009-04-05,60,55.55,22.0,4.244684e-10,7.963649e-10,2.1303574e-09,1.1887443e-09,1.7446385e-09,2.9384141e-08,1.7545513e-08,7.74287e-11,6.563851e-09,8.8724766e-10,4.466214e-09
2009-04-06,60,55.55,22.0,1.8820844e-11,2.4941117e-11,1.775262e-11,2.3624508e-10,3.35042e-10,6.5488304e-09,3.9999883e-09,1.5757617e-10,1.338756e-08,2.632467e-09,7.4700324e-10
2009-04-07,60,55.55,22.0,4.877124e-12,3.5131297e-12,2.7848468e-12,5.181156e-10,1.2714347e-09,1.6501904e-08,1.315029e-08,5.7125568e-11,4.7929625e-09,3.3417208e-10,5.9004474e-10
2009-04-08,60,55.55,22.0,3.978859e-10,7.9065327e-10,7.5459333e-10,3.2836128e-10,4.530201e-10,1.0360717e-08,6.0880208e-09,1.4422737e-11,1.1058581e-09,1.6729949e-11,1.4807106e-09
2009-04-09,60,55.55,22.0,1.1006671e-09,1.919698e-09,7.88283e-10,5.610974e-10,2.7797886e-10,1.4530858e-08,4.715898e-09,3.4514773e-11,2.8027891e-09,1.4497523e-10,3.881881e-09
2009-04-10,60,55.55,22.0,4.369347e-10,6.3932204e-10,1.6148033e-10,5.577029e-10,2.7771138e-10,1.4677347e-08,5.2692695e-09,1.1746698e-10,9.825157e-09,3.5810319e-10,2.4414077e-09
2009-04-11,60,55.55,22.0,8.566223e-10,1.340401e-09,3.111007e-10,8.782636e-10,3.5857176e-10,2.2274161e-08,7.3021496e-09,1.537351e-11,1.1929208e-09,7.164693e-11,4.72396e-09
2009-04-12,60,55.55,22.0,6.495729e-10,9.89816e-10,2.7206243e-10,7.230443e-10,4.416933e-10,2.1441478e-08,9.312947e-09,1.0507858e-11,7.899156e-10,2.7241293e-11,4.249591e-09
2009-04-13,60,55.55,22.0,1.0772919e-10,1.1648749e-10,2.4193774e-11,2.1727109e-10,2.7059271e-10,1.0247692e-08,6.5349766e-09,6.9368265e-12,5.6976235e-10,1.4825084e-11,7.165488e-10
2009-04-14,60,55.55,22.0,1.1205158e-10,1.8555872e-10,4.2991197e-11,3.2516778e-10,3.3117906e-10,1.3470338e-08,7.504819e-09,1.1642786e-11,9.361281e-10,2.1485858e-11,1.6292465e-09
2009-04-15,60,55.55,22.0,2.1629236e-10,3.32037e-10,6.34325e-11,5.156087e-10,2.8007255e-10,1.5966277e-08,6.673249e-09,9.298786e-12,6.7388234e-10,2.8302888e-11,2.8587832e-09
2009-04-16,60,55.55,22.0,7.653904e-11,1.1279429e-10,1.73327e-11,2.3343177e-10,1.2727625e-10,7.512894e-09,3.0671627e-09,1.4574791e-11,1.1747026e-09,2.002955e-11,1.2381773e-09
2009-04-17,60,55.55,22.0,6.9743794e-11,1.100406e-10,1.9671575e-11,3.3073816e-10,2.850036e-10,9.47558e-09,4.4754627e-09,5.932127e-12,4.5685558e-10,9.136083e-12,1.6284238e-09
2009-04-18,60,55.55,22.0,2.178073e-11,2.4315496e-11,9.767206e-12,1.4345866e-10,1.9277965e-10,5.1967e-09,3.344637e-09,8.273787e-11,6.6363954e-09,1.3062772e-09,5.3202565e-10
2009-04-19,60,55.55,22.0,3.3277398e-12,2.1323921e-12,1.4835783e-12,6.665447e-11,1.1651446e-10,3.2551297e-09,2.294234e-09,1.4362733e-11,1.1605297e-09,1.1975974e-10,2.9898525e-10
2009-04-20,60,55.55,22.0,4.109704e-12,3.867917e-12,2.6504055e-12,8.0991505e-11,1.5058671e-10,3.672847e-09,2.7790947e-09,4.1051017e-11,3.4252767e-09,4.7294857e-10,3.2300648e-10
2009-04-21,60,55.55,22.0,4.2511594e-13,7.1380103e-13,5.5219165e-13,7.259847e-11,1.5299903e-10,4.7811617e-09,3.8237213e-09,1.0110867e-11,8.104387e-10,9.97341e-11,2.1603797e-10
2009-04-22,60,55.55,22.0,1.6001919e-12,2.742468e-12,1.9464304e-12,1.5548787e-10,3.0381703e-10,8.206079e-09,6.172205e-09,3.3399334e-12,2.4933555e-10,1.9205193e-11,6.7836703e-10
2009-04-23,60,55.55,22.0,1.850074e-11,3.2402657e-11,2.351552e-11,3.096032e-10,2.5204971e-10,1.2337207e-08,6.207067e-09,2.1872636e-11,1.6507458e-09,6.018694e-11,1.8155889e-09
2009-04-24,60,55.55,22.0,1.8802055e-11,2.8020503e-11,8.343749e-12,1.57898e-10,8.4209896e-11,5.0649684e-09,2.1781024e-09,1.3040192e-11,1.0443998e-09,2.8068213e-11,7.66808e-10
2009-04-25,60,55.55,22.0,4.304045e-12,4.6008197e-12,1.1581134e-12,2.6563363e-10,6.934333e-10,1.3542773e-08,1.1106175e-08,3.702469e-12,2.8994818e-10,6.5003263e-12,3.776748e-10
2009-04-26,60,55.55,22.0,1.5929891e-11,2.7567566e-11,9.9647166e-12,4.3275508e-10,2.0528823e-10,9.891491e-09,3.2592096e-09,1.5908243e-11,1.0620517e-09,1.8676217e-11,2.1644602e-09
2009-04-27,60,55.55,22.0,8.06437e-11,1.6867259e-10,2.453821e-10,4.854447e-10,2.103695e-10,1.0464851e-08,3.186366e-09,1.2331106e-11,7.752191e-10,2.5840927e-11,4.6602087e-09
2009-04-28,60,55.55,22.0,7.225205e-11,1.5292173e-10,1.3545635e-10,2.734188e-10,3.1991657e-10,7.533616e-09,4.118442e-09,5.510011e-12,3.3051958e-10,7.2188366e-12,3.092259e-09
2009-04-29,60,55.55,22.0,4.3159743e-11,7.920104e-11,3.6614572e-11,4.386159e-10,4.0385562e-10,1.1551196e-08,5.8832024e-09,1.02345285e-11,7.071322e-10,2.2815153e-12,2.4939095e-09
2009-04-30,60,55.55,22.0,2.0857127e-10,3.9633785e-10,3.9201117e-10,3.3196934e-10,3.1600184e-10,1.1675121e-08,6.3415415e-09,8.650022e-12,6.5389505e-10,8.329045e-12,1.9070467e-09
2009-05-01,60,55.55,22.0,3.0159148e-12,5.6041265e-12,2.5346196e-12,5.6962945e-11,7.702015e-11,2.4821396e-09,1.6088678e-09,5.020292e-12,3.505243e-10,5.855319e-12,2.4784977e-10
2009-05-02,60,55.55,22.0,0.0,0.0,0.0,4.6677467e-11,1.3664037e-10,4.1096038e-09,3.572819e-09,1.5934064e-13,1.3333109e-11,1.5281476e-12,2.4086358e-10
2009-05-03,60,55.55,22.0,6.2019986e-12,1.3585126e-11,1.496265e-11,1.3806274e-10,3.0861755e-10,8.53106e-09,6.6190484e-09,1.8733292e-12,1.0986499e-10,4.0546375e-11,1.876585e-09
2009-05-04,60,55.55,22.0,3.5565974e-11,7.136607e-11,6.918579e-11,2.6060892e-10,3.0430483e-10,8.5659355e-09,4.919697e-09,1.2552225e-10,1.0496811e-08,5.622604e-10,2.2094213e-09
