date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2006-01-01,60,47.91,7.91,7.866424e-14,1.5126313e-13,7.782154e-15,1.355321e-10,3.499399e-10,7.0812973e-09,5.921937e-09,1.2261364e-10,1.0476798e-08,7.45771e-09,3.8696968e-10
2006-01-02,60,47.91,7.91,7.996754e-15,4.3202776e-15,0.0,3.0839842e-10,7.2189865e-10,1.5384673e-08,1.3347863e-08,7.080897e-11,6.050679e-09,3.5021392e-09,6.2412786e-10
2006-01-03,60,47.91,7.91,1.7558363e-14,3.9847415e-14,4.0915764e-14,2.2405801e-10,6.270012e-10,8.600013e-09,9.089203e-09,3.1877525e-11,2.7236728e-09,5.5284066e-10,5.006924e-10
2006-01-04,60,47.91,7.91,4.4619646e-14,9.075563e-14,6.3729593e-14,2.6560318e-10,4.864811e-10,9.324806e-09,7.285697e-09,1.9987604e-11,1.7074762e-09,5.7673664e-11,6.502153e-10
2006-01-05,60,47.91,7.91,1.8576121e-13,3.5117417e-13,9.995243e-14,2.395257e-10,4.684296e-10,9.373489e-09,7.466976e-09,3.2417597e-12,2.7687552e-10,1.0752603e-10,5.477676e-10
2006-01-06,60,47.91,7.91,1.1239905e-13,1.9087814e-13,4.3509575e-14,4.2417458e-10,7.398152e-10,1.6099229e-08,1.1942788e-08,1.9103068e-12,1.6306176e-10,1.6962029e-10,7.2445494e-10
2006-01-07,60,47.91,7.91,2.1781608e-13,3.6486336e-13,1.95819e-13,4.053693e-10,7.733366e-10,1.6004966e-08,1.2663829e-08,2.9304699e-12,2.4998514e-10,1.1076049e-10,7.0833983e-10
2006-01-08,60,47.91,7.91,6.715056e-13,1.0934066e-12,5.988726e-13,5.352653e-10,9.697716e-10,2.0601364e-08,1.5108055e-08,3.083904e-12,2.6280192e-10,5.9092745e-11,9.3643e-10
2006-01-09,60,47.91,7.91,1.0677418e-12,1.7593414e-12,5.163651e-13,5.850736e-10,1.078502e-09,2.30922e-08,1.6837053e-08,2.3832828e-12,2.0211396e-10,2.528775e-11,8.483279e-10
2006-01-10,60,47.91,7.91,2.493284e-12,4.102282e-12,1.2459665e-12,5.227774e-10,1.0308854e-09,2.3462155e-08,1.7665023e-08,6.6442637e-12,5.638529e-10,2.7810216e-11,9.352609e-10
2006-01-11,60,47.91,7.91,5.144481e-12,8.409714e-12,2.2702513e-12,4.2778625e-10,7.6975687e-10,2.1324057e-08,1.4782157e-08,7.268835e-12,6.163906e-10,1.4488553e-11,1.0290161e-09
2006-01-12,60,47.91,7.91,4.333754e-12,7.162522e-12,1.457981e-12,3.4196754e-10,6.8905526e-10,1.815576e-08,1.2938373e-08,3.822385e-12,3.2159084e-10,6.218906e-11,6.18659e-10
2006-01-13,60,47.91,7.91,1.4165944e-12,2.0956964e-12,1.80869e-13,4.8582305e-10,9.930534e-10,2.1605873e-08,1.5886634e-08,7.447324e-13,6.292502e-11,5.1986436e-12,6.9608186e-10
