date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2018-02-01,60,25.23,55.98,1.3728365e-09,3.3362142e-09,1.2431783e-08,1.7782018e-10,2.3943816e-10,8.174104e-09,5.547956e-09,2.3092165e-11,1.927283e-09,7.890493e-10,2.6896103e-09
2018-02-02,60,25.23,55.98,1.5883407e-09,3.6565397e-09,1.1447044e-08,2.4363322e-10,2.9527725e-10,1.0017373e-08,6.3929297e-09,4.914334e-11,4.1051536e-09,2.0536746e-09,3.5510022e-09
2018-02-03,60,25.23,55.98,1.3742167e-09,2.8361005e-09,6.039224e-09,1.6226577e-10,3.2380568e-10,9.493992e-09,7.2410913e-09,9.928977e-12,8.2625023e-10,2.5043956e-10,2.7093194e-09
2018-02-04,60,25.23,55.98,3.1583247e-09,6.343607e-09,1.5221108e-08,3.627728e-10,4.4056625e-10,1.7705364e-08,1.0570919e-08,1.4947966e-11,1.2228737e-09,1.7593747e-10,5.8717573e-09
2018-02-05,60,25.23,55.98,1.9376452e-09,4.1575046e-09,9.770423e-09,3.9975312e-10,6.3906036e-10,1.6473537e-08,1.0553166e-08,1.8953996e-11,1.5589201e-09,1.9680962e-10,5.4764304e-09
2018-02-06,60,25.23,55.98,1.376281e-09,2.9279612e-09,7.644903e-09,4.2345102e-10,6.0547006e-10,1.8959039e-08,1.2587423e-08,9.667909e-12,7.9315887e-10,1.8465406e-10,7.508406e-09
2018-02-07,60,25.23,55.98,1.4219527e-09,2.932652e-09,8.220561e-09,4.5870852e-10,4.414156e-10,1.8271342e-08,1.0050101e-08,2.903759e-11,2.2113489e-09,6.986286e-11,7.7566495e-09
2018-02-08,60,25.23,55.98,2.4376203e-09,5.1362994e-09,1.2900896e-08,2.9364258e-10,3.755054e-10,1.5176353e-08,8.933572e-09,2.2264189e-11,1.2814654e-09,7.0060686e-11,8.363349e-09
2018-02-09,60,25.23,55.98,5.3732383e-09,1.0691481e-08,2.038507e-08,4.721774e-10,4.9938204e-10,2.1353147e-08,1.0983661e-08,5.2862704e-11,3.9185624e-09,4.425351e-10,1.3700169e-08
2018-02-10,60,25.23,55.98,8.725035e-09,1.7214761e-08,1.9668981e-08,4.1517706e-10,4.3446868e-10,1.5591521e-08,8.4605e-09,2.9361385e-11,2.2833033e-09,4.1383955e-10,7.1211956e-09
2018-02-11,60,25.23,55.98,1.1078393e-08,1.8821162e-08,1.3535605e-08,7.668164e-10,8.135953e-10,2.748275e-08,1.44760355e-08,2.2399962e-11,1.6153155e-09,1.7896208e-10,1.142629e-08
2018-02-12,60,25.23,55.98,7.0421704e-09,1.1060205e-08,1.078513e-08,5.733277e-10,9.434087e-10,2.62541e-08,1.802748e-08,8.071075e-12,5.2251947e-10,4.666998e-11,9.127987e-09
2018-02-13,60,25.23,55.98,1.05353095e-08,1.846772e-08,2.5911675e-08,5.568896e-10,5.9243593e-10,2.1975566e-08,1.261067e-08,2.6965912e-11,1.8532215e-09,2.0607668e-10,8.362577e-09
2018-02-14,60,25.23,55.98,1.1809675e-08,2.3759306e-08,5.001876e-08,3.2121938e-10,4.112363e-10,1.152818e-08,6.3536256e-09,4.304865e-11,3.3367473e-09,5.866211e-10,5.2891105e-09
2018-02-15,60,25.23,55.98,1.0057177e-08,1.7780138e-08,2.7595512e-08,5.272467e-10,7.838864e-10,2.1252987e-08,1.3934741e-08,4.098777e-11,3.1747853e-09,2.7821465e-10,6.32891e-09
2018-02-16,60,25.23,55.98,1.1321948e-08,1.9814566e-08,3.701762e-08,5.7197214e-10,8.311969e-10,2.7234268e-08,1.7979172e-08,2.0785372e-11,1.3858439e-09,1.8698802e-10,8.950063e-09
2018-02-17,60,25.23,55.98,1.2345145e-08,2.3227804e-08,2.6995526e-08,4.797937e-10,7.950872e-10,2.4252014e-08,1.7076975e-08,2.0840418e-11,1.2877801e-09,4.563023e-11,7.0854185e-09
2018-02-18,60,25.23,55.98,9.805404e-09,1.6249372e-08,1.3805676e-08,4.7368764e-10,8.442494e-10,2.4640633e-08,1.8067588e-08,2.2008494e-11,1.2882955e-09,1.890805e-11,6.03619e-09
2018-02-19,60,25.23,55.98,1.2700194e-08,2.2313804e-08,3.6708684e-08,5.0557797e-10,7.004994e-10,2.5490616e-08,1.646747e-08,2.7143694e-11,1.8459093e-09,6.31947e-11,8.055939e-09
2018-02-20,60,25.23,55.98,1.37429605e-08,2.8879677e-08,3.5419987e-08,3.3853456e-10,3.7431014e-10,1.3930008e-08,7.589832e-09,8.538864e-11,6.9755064e-09,7.903878e-10,5.5470974e-09
