date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03,aermr11
2012-01-01,60,50.3,6.0,5.648817e-13,8.3844075e-13,1.1747648e-13,5.953138e-11,1.6528799e-10,3.3665362e-09,3.1923009e-09,3.6746696e-11,3.128937e-09,7.6533785e-10,3.764784e-10
2012-01-02,60,50.3,6.0,1.5129815e-12,3.0482264e-12,1.7517234e-12,4.9697538e-11,1.3730521e-10,3.1319058e-09,2.7468872e-09,1.02379424e-10,8.734405e-09,3.770623e-09,2.91921e-10
2012-01-03,60,50.3,6.0,5.8098773e-13,1.3955072e-12,1.1491851e-12,6.838101e-11,1.5492711e-10,4.0343435e-09,3.2308645e-09,3.0684297e-10,2.6201922e-08,1.4831215e-08,3.919602e-10
2012-01-04,60,50.3,6.0,1.9800455e-13,4.1021995e-13,3.221136e-14,4.5915487e-11,1.2141733e-10,3.0013627e-09,2.5168536e-09,6.2181466e-10,5.3141388e-08,2.3341222e-08,2.502881e-10
2012-01-05,60,50.3,6.0,3.017437e-13,6.18172e-13,3.334812e-13,5.1674172e-11,1.2572823e-10,2.7748688e-09,2.3075724e-09,8.426546e-10,7.201229e-08,3.6328707e-08,4.327193e-10
2012-01-06,60,50.3,6.0,4.737061e-16,7.579134e-15,9.474114e-16,6.312385e-11,1.7522127e-10,3.6968881e-09,3.1510135e-09,8.5017626e-10,7.266418e-08,4.341054e-08,3.1932243e-10
2012-01-07,60,50.3,6.0,2.8895414e-14,5.06854e-14,0.0,8.7733106e-11,1.9457524e-10,4.9238293e-09,3.882536e-09,2.1591089e-10,1.8449615e-08,4.9185775e-09,4.4188303e-10
2012-01-08,60,50.3,6.0,1.1368684e-13,2.314001e-13,1.2600287e-13,9.992884e-11,2.2960212e-10,5.559083e-09,4.375953e-09,3.4503772e-10,2.9481658e-08,8.551119e-09,5.996154e-10
2012-01-09,60,50.3,6.0,5.933033e-13,1.2143177e-12,6.688574e-13,1.4141928e-10,3.1991965e-10,8.376382e-09,6.786297e-09,5.7937544e-11,4.947019e-09,5.7542787e-10,7.4908857e-10
2012-01-10,60,50.3,6.0,1.2647674e-13,2.186106e-13,4.121161e-14,1.5893684e-10,4.804806e-10,9.936957e-09,9.714387e-09,8.454343e-12,7.222274e-10,9.0648704e-11,6.3490013e-10
2012-01-11,60,50.3,6.0,5.8911053e-12,1.3456485e-11,1.0993516e-11,1.7184953e-10,3.8817644e-10,1.1176807e-08,8.7714e-09,6.0817566e-12,5.141932e-10,7.681357e-11,6.8487627e-10
2012-01-12,60,50.3,6.0,2.155668e-12,4.563105e-12,2.158158e-12,9.401233e-11,2.2457916e-10,6.3365015e-09,5.126565e-09,1.28154145e-11,1.0946234e-09,6.0833966e-10,3.842388e-10
2012-01-13,60,50.3,6.0,1.2240276e-12,2.0984683e-12,2.8137453e-13,1.2153975e-10,2.97994e-10,7.569575e-09,6.180141e-09,2.9971955e-10,2.5613e-08,1.1391728e-08,5.103145e-10
2012-01-14,60,50.3,6.0,0.0,0.0,0.0,1.5725259e-10,4.2083426e-10,1.0810359e-08,9.298938e-09,2.6527833e-10,2.266998e-08,9.9531166e-09,2.3184493e-10
2012-01-15,60,50.3,6.0,6.200698e-13,1.3059834e-12,6.4328095e-13,2.4760874e-10,5.7584915e-10,1.653871e-08,1.35435725e-08,1.2790309e-10,1.0931489e-08,9.2338137e-10,3.0734493e-10
2012-01-16,60,50.3,6.0,1.7597803e-13,3.2471847e-13,1.4826657e-13,2.0459989e-10,4.9038534e-10,1.274741e-08,1.01973185e-08,3.1908597e-11,2.7269063e-09,1.1570948e-11,2.6266234e-10
2012-01-17,60,50.3,6.0,3.718527e-14,6.3475545e-14,2.8327018e-13,4.275843e-10,1.1269011e-09,3.0707742e-08,2.571809e-08,4.8814365e-13,4.1691876e-11,3.988518e-12,2.0792545e-10
2012-01-18,60,50.3,6.0,1.1219942e-11,2.472878e-11,2.6748617e-11,3.0848898e-10,4.5585447e-10,1.7517397e-08,1.11140155e-08,1.195546e-11,1.0184655e-09,1.9656174e-10,8.340474e-10
2012-01-19,60,50.3,6.0,1.00436335e-11,1.9737444e-11,6.662991e-12,1.2797464e-10,2.2638649e-10,7.165947e-09,5.1796007e-09,3.8154667e-11,3.2496914e-09,7.6988804e-10,6.2308153e-10
2012-01-20,60,50.3,6.0,2.0558368e-13,4.1116736e-13,3.10744e-13,7.967389e-11,2.1446993e-10,4.635785e-09,4.1989825e-09,3.0499975e-10,2.606535e-08,1.2857636e-08,4.210853e-10
2012-01-21,60,50.3,6.0,6.613981e-13,1.3313227e-12,7.25702e-13,7.3089416e-11,1.9481224e-10,4.901828e-09,4.562877e-09,9.736182e-11,8.319222e-09,2.8429095e-09,3.4573702e-10
2012-01-22,60,50.3,6.0,2.7640095e-13,5.7696035e-13,4.253779e-13,5.731964e-11,1.3323574e-10,3.5440788e-09,2.8319633e-09,5.484968e-10,4.6879826e-08,1.6264346e-08,3.92951e-10
2012-01-23,60,50.3,6.0,2.1778117e-13,3.8842974e-13,1.657932e-13,1.3002799e-10,2.8265917e-10,8.10036e-09,6.32804e-09,2.6182095e-10,2.2374136e-08,6.7096733e-09,7.0576905e-10
2012-01-24,60,50.3,6.0,1.5087191e-13,2.5555854e-13,9.8528566e-14,1.5831095e-10,3.9025472e-10,9.061356e-09,7.546688e-09,9.554784e-11,8.1627105e-09,2.6986344e-09,5.6351784e-10
2012-01-25,60,50.3,6.0,2.0665136e-13,3.7824916e-13,1.0989815e-13,1.6281589e-10,4.3823686e-10,1.01937605e-08,9.297727e-09,9.659584e-12,8.246508e-10,8.8343256e-11,2.6173344e-10
2012-01-26,60,50.3,6.0,2.2151225e-13,4.395902e-13,8.621286e-14,1.01018645e-10,2.378886e-10,5.9338485e-09,4.902012e-09,2.3182213e-13,1.975784e-11,1.11754364e-11,2.146623e-10
2012-01-27,60,50.3,6.0,4.2158856e-14,7.413328e-14,9.474122e-16,1.2004638e-10,3.4637454e-10,9.050041e-09,8.291621e-09,7.4219644e-11,6.342085e-09,6.5337495e-09,1.9863085e-10
2012-01-28,60,50.3,6.0,4.744054e-13,7.9296525e-13,4.168515e-14,1.6881839e-10,4.456433e-10,1.1158161e-08,9.783529e-09,7.975149e-11,6.814182e-09,4.393296e-09,2.82332e-10
