date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2012-01-01 00:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 00:00:00,274.34976,274.74243
2012-01-01 03:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 03:00:00,275.56702,275.84317
2012-01-01 06:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 06:00:00,276.51514,276.86853
2012-01-01 09:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 09:00:00,277.7742,278.42493
2012-01-01 12:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 12:00:00,279.82742,280.83896
2012-01-01 15:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 15:00:00,280.57388,281.484
2012-01-01 18:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 18:00:00,280.58118,281.5691
2012-01-01 21:00:00,0,0 days,0.0,50.57,12.99,2012-01-01 21:00:00,280.60837,281.8506
2012-01-02 00:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 00:00:00,280.61234,282.09888
2012-01-02 03:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 03:00:00,280.4804,282.55457
2012-01-02 06:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 06:00:00,280.29996,282.59338
2012-01-02 09:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 09:00:00,280.1827,282.30157
2012-01-02 12:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 12:00:00,280.03268,282.46152
2012-01-02 15:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 15:00:00,279.5911,281.59332
2012-01-02 18:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 18:00:00,278.39972,279.80826
2012-01-02 21:00:00,0,0 days,0.0,50.57,12.99,2012-01-02 21:00:00,276.97748,278.41388
2012-01-03 00:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 00:00:00,275.922,277.53772
2012-01-03 03:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 03:00:00,274.58646,276.33087
2012-01-03 06:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 06:00:00,273.70575,275.72556
2012-01-03 09:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 09:00:00,273.37286,276.51056
2012-01-03 12:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 12:00:00,272.9123,278.41644
2012-01-03 15:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 15:00:00,271.83743,278.8201
2012-01-03 18:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 18:00:00,272.4488,279.6548
2012-01-03 21:00:00,0,0 days,0.0,50.57,12.99,2012-01-03 21:00:00,274.74945,280.5588
2012-01-04 00:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 00:00:00,277.55072,280.99615
2012-01-04 03:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 03:00:00,276.69116,279.84274
2012-01-04 06:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 06:00:00,275.28485,278.60114
2012-01-04 09:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 09:00:00,273.68204,277.71295
2012-01-04 12:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 12:00:00,272.3375,277.62698
2012-01-04 15:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 15:00:00,272.6925,276.8803
2012-01-04 18:00:00,0,0 days,0.0,50.57,12.99,2012-01-04 18:00:00,271.93,276.41525
