date,number,surface,latitude,longitude,d2m,t2m
2015-01-01,0,0,-2.146,-59.006,296.47144,300.29816
2015-01-02,0,0,-2.146,-59.006,296.2199,299.84747
2015-01-03,0,0,-2.146,-59.006,296.52637,299.8695
2015-01-04,0,0,-2.146,-59.006,296.52667,300.28513
2015-01-05,0,0,-2.146,-59.006,296.25558,299.13254
2015-01-06,0,0,-2.146,-59.006,295.78964,298.0473
2015-01-07,0,0,-2.146,-59.006,295.99927,298.85535
2015-01-08,0,0,-2.146,-59.006,296.27045,299.86823
2015-01-09,0,0,-2.146,-59.006,296.71564,298.81958
2015-01-10,0,0,-2.146,-59.006,297.00192,298.3182
2015-01-11,0,0,-2.146,-59.006,296.39557,297.40222
2015-01-12,0,0,-2.146,-59.006,295.84048,297.46173
2015-01-13,0,0,-2.146,-59.006,295.67905,297.46967
2015-01-14,0,0,-2.146,-59.006,296.62518,297.5876
2015-01-15,0,0,-2.146,-59.006,296.05615,297.60342
2015-01-16,0,0,-2.146,-59.006,296.83276,298.60474
2015-01-17,0,0,-2.146,-59.006,295.3498,297.75162
2015-01-18,0,0,-2.146,-59.006,296.47302,298.10187
2015-01-19,0,0,-2.146,-59.006,296.4542,298.27264
2015-01-20,0,0,-2.146,-59.006,295.90292,297.94647
2015-01-21,0,0,-2.146,-59.006,295.66757,297.024
2015-01-22,0,0,-2.146,-59.006,295.98148,297.90924
2015-01-23,0,0,-2.146,-59.006,296.5074,297.69495
2015-01-24,0,0,-2.146,-59.006,295.68912,296.93262
2015-01-25,0,0,-2.146,-59.006,295.87143,297.71942
2015-01-26,0,0,-2.146,-59.006,296.16293,298.29474
2015-01-27,0,0,-2.146,-59.006,295.23804,298.26007
2015-01-28,0,0,-2.146,-59.006,295.6399,299.74615
2015-01-29,0,0,-2.146,-59.006,296.40176,299.51093
2015-01-30,0,0,-2.146,-59.006,296.68555,299.3081
2015-01-31,0,0,-2.146,-59.006,297.0304,298.71457
2015-02-01,0,0,-2.146,-59.006,296.10855,298.0418
2015-02-02,0,0,-2.146,-59.006,295.60046,297.1095
2015-02-03,0,0,-2.146,-59.006,295.02014,297.74194
2015-02-04,0,0,-2.146,-59.006,295.61594,298.78925
2015-02-05,0,0,-2.146,-59.006,294.6501,299.29504
2015-02-06,0,0,-2.146,-59.006,294.5938,299.95
2015-02-07,0,0,-2.146,-59.006,294.5947,300.71002
2015-02-08,0,0,-2.146,-59.006,295.50342,300.88538
2015-02-09,0,0,-2.146,-59.006,296.2867,299.63263
2015-02-10,0,0,-2.146,-59.006,295.88116,299.30527
2015-02-11,0,0,-2.146,-59.006,296.3069,299.9731
2015-02-12,0,0,-2.146,-59.006,296.6132,299.24655
2015-02-13,0,0,-2.146,-59.006,296.47144,300.27637
2015-02-14,0,0,-2.146,-59.006,297.09415,300.74744
2015-02-15,0,0,-2.146,-59.006,296.9105,299.45856
2015-02-16,0,0,-2.146,-59.006,296.7383,299.98203
2015-02-17,0,0,-2.146,-59.006,296.74625,299.1935
2015-02-18,0,0,-2.146,-59.006,296.29224,298.74295
2015-02-19,0,0,-2.146,-59.006,295.93692,299.47034
2015-02-20,0,0,-2.146,-59.006,295.87238,300.89792
2015-02-21,0,0,-2.146,-59.006,296.9416,299.19653
2015-02-22,0,0,-2.146,-59.006,296.43002,297.88913
2015-02-23,0,0,-2.146,-59.006,295.59232,297.28687
2015-02-24,0,0,-2.146,-59.006,296.3331,298.14233
2015-02-25,0,0,-2.146,-59.006,296.39032,297.92593
2015-02-26,0,0,-2.146,-59.006,296.2707,299.47345
2015-02-27,0,0,-2.146,-59.006,296.30026,298.74078
2015-02-28,0,0,-2.146,-59.006,296.4312,299.39563
2015-03-01,0,0,-2.146,-59.006,297.10577,298.3478
2015-03-02,0,0,-2.146,-59.006,296.4339,297.67108
2015-03-03,0,0,-2.146,-59.006,296.435,298.8315
2015-03-04,0,0,-2.146,-59.006,296.22845,298.13403
2015-03-05,0,0,-2.146,-59.006,296.03656,298.01035
2015-03-06,0,0,-2.146,-59.006,295.90482,296.85846
2015-03-07,0,0,-2.146,-59.006,295.82782,297.7718
2015-03-08,0,0,-2.146,-59.006,297.10315,299.7069
2015-03-09,0,0,-2.146,-59.006,297.15378,299.29144
2015-03-10,0,0,-2.146,-59.006,297.14505,298.8247
2015-03-11,0,0,-2.146,-59.006,295.7259,299.0142
2015-03-12,0,0,-2.146,-59.006,295.57364,299.4363
2015-03-13,0,0,-2.146,-59.006,296.0613,300.53802
2015-03-14,0,0,-2.146,-59.006,295.94162,299.76306
2015-03-15,0,0,-2.146,-59.006,296.28015,298.46277
2015-03-16,0,0,-2.146,-59.006,296.5534,298.17963
2015-03-17,0,0,-2.146,-59.006,297.06033,298.56244
2015-03-18,0,0,-2.146,-59.006,295.66644,298.01746
2015-03-19,0,0,-2.146,-59.006,296.5483,298.0141
2015-03-20,0,0,-2.146,-59.006,296.1258,297.13367
2015-03-21,0,0,-2.146,-59.006,295.73633,297.61298
2015-03-22,0,0,-2.146,-59.006,296.47308,297.91708
2015-03-23,0,0,-2.146,-59.006,296.8117,299.51102
2015-03-24,0,0,-2.146,-59.006,296.5901,297.36053
2015-03-25,0,0,-2.146,-59.006,296.0083,298.21802
2015-03-26,0,0,-2.146,-59.006,296.82114,298.9198
2015-03-27,0,0,-2.146,-59.006,296.20822,300.42206
2015-03-28,0,0,-2.146,-59.006,295.82642,299.44293
2015-03-29,0,0,-2.146,-59.006,296.81293,298.59283
2015-03-30,0,0,-2.146,-59.006,296.597,298.48584
2015-03-31,0,0,-2.146,-59.006,296.89896,298.02805
2015-04-01,0,0,-2.146,-59.006,296.3181,297.51917
2015-04-02,0,0,-2.146,-59.006,296.0302,298.30048
2015-04-03,0,0,-2.146,-59.006,295.51102,300.30524
2015-04-04,0,0,-2.146,-59.006,295.28583,300.9569
2015-04-05,0,0,-2.146,-59.006,295.11905,300.7099
2015-04-06,0,0,-2.146,-59.006,295.77423,300.89825
2015-04-07,0,0,-2.146,-59.006,296.63263,301.10107
2015-04-08,0,0,-2.146,-59.006,296.79086,300.5368
2015-04-09,0,0,-2.146,-59.006,297.43317,299.61807
2015-04-10,0,0,-2.146,-59.006,296.3969,298.45007
2015-04-11,0,0,-2.146,-59.006,296.50073,299.40036
2015-04-12,0,0,-2.146,-59.006,296.87097,298.3569
2015-04-13,0,0,-2.146,-59.006,296.3564,297.66473
2015-04-14,0,0,-2.146,-59.006,296.218,298.18454
2015-04-15,0,0,-2.146,-59.006,296.13892,298.8501
2015-04-16,0,0,-2.146,-59.006,296.3311,298.43707
2015-04-17,0,0,-2.146,-59.006,297.4297,298.45718
2015-04-18,0,0,-2.146,-59.006,296.80832,297.83997
2015-04-19,0,0,-2.146,-59.006,296.84726,298.60233
2015-04-20,0,0,-2.146,-59.006,296.8272,299.5638
2015-04-21,0,0,-2.146,-59.006,297.09802,299.42746
2015-04-22,0,0,-2.146,-59.006,297.05615,299.20972
2015-04-23,0,0,-2.146,-59.006,296.77716,299.232
2015-04-24,0,0,-2.146,-59.006,297.02304,299.1427
2015-04-25,0,0,-2.146,-59.006,296.5525,297.78772
2015-04-26,0,0,-2.146,-59.006,296.9851,298.4704
2015-04-27,0,0,-2.146,-59.006,296.48874,299.08408
2015-04-28,0,0,-2.146,-59.006,297.53125,298.8844
2015-04-29,0,0,-2.146,-59.006,297.17975,298.17715
2015-04-30,0,0,-2.146,-59.006,296.69467,298.52066
2015-05-01,0,0,-2.146,-59.006,295.9309,297.76648
2015-05-02,0,0,-2.146,-59.006,296.30133,297.81738
2015-05-03,0,0,-2.146,-59.006,295.90326,298.15945
2015-05-04,0,0,-2.146,-59.006,296.16684,299.30435
2015-05-05,0,0,-2.146,-59.006,296.40347,298.85632
2015-05-06,0,0,-2.146,-59.006,297.07648,297.90598
