date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2016-08-01 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 00:00:00,292.46533,297.10712
2016-08-01 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 03:00:00,293.2705,295.9428
2016-08-01 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 06:00:00,294.11914,301.4176
2016-08-01 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 09:00:00,290.91833,308.34662
2016-08-01 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 12:00:00,289.391,311.63068
2016-08-01 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 15:00:00,290.69495,309.26135
2016-08-01 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 18:00:00,291.5365,303.76172
2016-08-01 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 21:00:00,291.48682,300.34167
2016-08-02 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 00:00:00,293.28186,297.85162
2016-08-02 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 03:00:00,294.5459,297.3062
2016-08-02 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 06:00:00,294.01575,300.47742
2016-08-02 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 09:00:00,290.81958,307.61835
2016-08-02 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 12:00:00,289.22437,310.17712
2016-08-02 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 15:00:00,289.68677,307.59814
2016-08-02 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 18:00:00,289.2655,302.1361
2016-08-02 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 21:00:00,289.33057,299.19867
2016-08-03 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 00:00:00,291.3164,296.1856
2016-08-03 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 03:00:00,292.91083,295.64972
2016-08-03 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 06:00:00,289.70496,300.6335
2016-08-03 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 09:00:00,286.12488,306.39505
2016-08-03 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 12:00:00,284.52966,308.56287
2016-08-03 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 15:00:00,287.93335,306.01257
2016-08-03 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 18:00:00,288.44275,301.36194
2016-08-03 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 21:00:00,289.84863,297.92023
2016-08-04 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 00:00:00,291.44714,296.1403
2016-08-04 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 03:00:00,292.28815,295.33548
2016-08-04 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 06:00:00,290.28497,299.60178
2016-08-04 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 09:00:00,286.9002,305.1495
2016-08-04 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 12:00:00,285.44482,307.1303
2016-08-04 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 15:00:00,287.15405,304.786
2016-08-04 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 18:00:00,287.41418,300.71954
2016-08-04 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 21:00:00,289.14502,297.6369
2016-08-05 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 00:00:00,290.10144,295.67645
2016-08-05 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 03:00:00,291.3401,294.17172
2016-08-05 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 06:00:00,288.1659,299.10947
2016-08-05 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 09:00:00,285.92773,305.0256
2016-08-05 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 12:00:00,286.38147,307.34583
2016-08-05 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 15:00:00,287.09082,304.98193
2016-08-05 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 18:00:00,289.57568,300.0583
2016-08-05 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 21:00:00,289.91895,296.94122
2016-08-06 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 00:00:00,290.84076,294.35168
2016-08-06 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 03:00:00,292.2475,294.19806
2016-08-06 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 06:00:00,290.9411,298.1163
2016-08-06 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 09:00:00,285.7682,303.663
2016-08-06 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 12:00:00,285.54797,305.75482
2016-08-06 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 15:00:00,286.62427,303.54974
2016-08-06 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 18:00:00,288.3069,298.8167
2016-08-06 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 21:00:00,290.00952,296.23077
2016-08-07 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 00:00:00,291.08295,294.3725
2016-08-07 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 03:00:00,291.22983,293.04095
2016-08-07 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 06:00:00,291.64288,298.20526
2016-08-07 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 09:00:00,289.53088,303.09103
2016-08-07 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 12:00:00,288.4364,305.89166
2016-08-07 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 15:00:00,289.50684,303.83704
2016-08-07 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 18:00:00,291.63794,299.42194
2016-08-07 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 21:00:00,292.30548,297.19446
2016-08-08 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 00:00:00,292.305,295.0371
2016-08-08 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 03:00:00,293.2412,295.08252
2016-08-08 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 06:00:00,293.63525,298.5725
2016-08-08 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 09:00:00,292.30188,304.42862
2016-08-08 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 12:00:00,291.42554,307.0475
2016-08-08 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 15:00:00,292.24475,304.1626
2016-08-08 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 18:00:00,291.2505,299.77362
2016-08-08 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-08 21:00:00,292.45117,297.29376
2016-08-09 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 00:00:00,292.4677,295.35736
2016-08-09 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 03:00:00,293.35962,294.24936
2016-08-09 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 06:00:00,292.3989,298.53986
2016-08-09 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 09:00:00,290.54816,304.88434
2016-08-09 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 12:00:00,288.95825,308.34918
2016-08-09 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 15:00:00,290.34705,306.49878
2016-08-09 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 18:00:00,290.55505,301.36365
2016-08-09 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-09 21:00:00,291.08252,298.40094
