date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2005-01-01 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 00:00:00,270.34137,271.04736
2005-01-01 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 03:00:00,270.1305,270.95093
2005-01-01 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 06:00:00,270.86206,271.77356
2005-01-01 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 09:00:00,271.25232,272.1986
2005-01-01 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 12:00:00,272.59036,273.4371
2005-01-01 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 15:00:00,273.60797,274.80096
2005-01-01 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 18:00:00,273.94254,275.24677
2005-01-01 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-01 21:00:00,274.3832,275.62195
2005-01-02 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 00:00:00,274.65076,275.73752
2005-01-02 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 03:00:00,274.7884,276.25015
2005-01-02 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 06:00:00,274.81915,275.9596
2005-01-02 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 09:00:00,274.97662,276.91315
2005-01-02 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 12:00:00,274.43347,277.2254
2005-01-02 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 15:00:00,273.17902,277.0886
2005-01-02 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 18:00:00,272.08032,276.79282
2005-01-02 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-02 21:00:00,270.9572,276.11835
2005-01-03 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 00:00:00,270.7528,274.98706
2005-01-03 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 03:00:00,270.90552,274.57455
2005-01-03 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 06:00:00,270.15546,275.12714
2005-01-03 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 09:00:00,269.276,275.71402
2005-01-03 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 12:00:00,269.03058,276.16144
2005-01-03 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 15:00:00,269.06018,276.28595
2005-01-03 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 18:00:00,269.02277,275.31396
2005-01-03 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-03 21:00:00,268.53064,274.03766
2005-01-04 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 00:00:00,268.64752,272.95074
2005-01-04 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 03:00:00,268.8943,272.55884
2005-01-04 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 06:00:00,268.9729,272.21564
2005-01-04 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 09:00:00,269.32513,272.15723
2005-01-04 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 12:00:00,270.70593,273.30545
2005-01-04 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 15:00:00,272.63586,274.03003
2005-01-04 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 18:00:00,275.85986,276.49506
2005-01-04 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-04 21:00:00,277.40457,278.30136
2005-01-05 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 00:00:00,276.90457,278.49118
2005-01-05 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 03:00:00,274.29224,277.16843
2005-01-05 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 06:00:00,272.6413,276.13013
2005-01-05 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 09:00:00,272.0815,276.23572
2005-01-05 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 12:00:00,273.028,277.05246
2005-01-05 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 15:00:00,273.3817,276.53955
2005-01-05 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 18:00:00,273.96307,276.39893
2005-01-05 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-05 21:00:00,274.17276,276.43976
2005-01-06 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 00:00:00,274.12485,275.92667
2005-01-06 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 03:00:00,274.09158,276.43658
2005-01-06 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 06:00:00,274.52155,276.70407
2005-01-06 09:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 09:00:00,275.31906,277.11407
2005-01-06 12:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 12:00:00,274.2607,277.9211
2005-01-06 15:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 15:00:00,273.187,277.11703
2005-01-06 18:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 18:00:00,273.00763,276.6304
2005-01-06 21:00:00,0,0 days,0.0,58.8,17.38,2005-01-06 21:00:00,273.3577,277.0166
2005-01-07 00:00:00,0,0 days,0.0,58.8,17.38,2005-01-07 00:00:00,274.3444,277.33514
2005-01-07 03:00:00,0,0 days,0.0,58.8,17.38,2005-01-07 03:00:00,276.197,277.9705
2005-01-07 06:00:00,0,0 days,0.0,58.8,17.38,2005-01-07 06:00:00,278.38272,280.10687
