date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2018-06-01 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 00:00:00,280.9248,298.7505
2018-06-01 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 03:00:00,275.79703,306.24243
2018-06-01 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 06:00:00,273.1272,308.39
2018-06-01 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 09:00:00,274.68896,307.29126
2018-06-01 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 12:00:00,277.1034,301.76196
2018-06-01 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 15:00:00,278.78064,294.6338
2018-06-01 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 18:00:00,279.29724,294.05133
2018-06-01 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-01 21:00:00,280.35632,292.036
2018-06-02 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 00:00:00,281.90173,297.5241
2018-06-02 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 03:00:00,282.2528,304.26343
2018-06-02 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 06:00:00,281.29462,307.25702
2018-06-02 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 09:00:00,280.80615,306.53894
2018-06-02 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 12:00:00,281.79816,302.3083
2018-06-02 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 15:00:00,285.0371,296.8457
2018-06-02 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 18:00:00,285.14703,295.01263
2018-06-02 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-02 21:00:00,285.49298,293.36237
2018-06-03 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 00:00:00,286.37817,296.17664
2018-06-03 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 03:00:00,283.50623,299.0979
2018-06-03 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 06:00:00,280.05103,300.89502
2018-06-03 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 09:00:00,277.11328,301.57434
2018-06-03 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 12:00:00,279.44434,297.73633
2018-06-03 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 15:00:00,280.27612,292.26733
2018-06-03 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 18:00:00,280.8496,290.63867
2018-06-03 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-03 21:00:00,281.54602,287.97095
2018-06-04 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 00:00:00,281.69434,296.7047
2018-06-04 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 03:00:00,279.2516,303.40442
2018-06-04 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 06:00:00,274.45618,306.85278
2018-06-04 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 09:00:00,272.83154,307.3152
2018-06-04 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 12:00:00,273.80774,303.21436
2018-06-04 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 15:00:00,277.71362,297.66504
2018-06-04 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 18:00:00,276.866,295.6416
2018-06-04 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-04 21:00:00,278.10382,292.8861
2018-06-05 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 00:00:00,280.10953,299.64734
2018-06-05 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 03:00:00,277.18677,307.43286
2018-06-05 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 06:00:00,272.89,311.34924
2018-06-05 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 09:00:00,271.88867,310.6432
2018-06-05 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 12:00:00,275.0291,306.5381
2018-06-05 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 15:00:00,277.18375,300.50098
2018-06-05 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 18:00:00,275.99628,297.71204
2018-06-05 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-05 21:00:00,278.11856,293.98376
2018-06-06 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 00:00:00,280.2458,299.66565
2018-06-06 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 03:00:00,279.41956,304.72632
2018-06-06 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 06:00:00,280.503,306.34033
2018-06-06 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 09:00:00,281.47192,304.71924
2018-06-06 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 12:00:00,282.02408,301.70728
2018-06-06 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 15:00:00,282.2079,297.9895
2018-06-06 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 18:00:00,283.40674,297.69812
2018-06-06 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-06 21:00:00,284.21497,296.00305
2018-06-07 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 00:00:00,285.14563,297.20984
2018-06-07 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 03:00:00,285.11816,302.42957
2018-06-07 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 06:00:00,281.78467,303.94525
2018-06-07 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 09:00:00,280.24158,302.6997
2018-06-07 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 12:00:00,279.6847,298.0492
2018-06-07 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 15:00:00,282.04822,293.90613
2018-06-07 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 18:00:00,281.80017,291.28613
2018-06-07 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-07 21:00:00,282.02246,290.1217
2018-06-08 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 00:00:00,283.80493,296.7177
2018-06-08 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 03:00:00,280.3155,301.9464
2018-06-08 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 06:00:00,279.79327,303.5835
2018-06-08 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 09:00:00,279.51617,302.94604
2018-06-08 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 12:00:00,281.25995,299.37646
2018-06-08 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 15:00:00,283.63623,295.32043
2018-06-08 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 18:00:00,283.47632,295.1264
2018-06-08 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-08 21:00:00,284.31342,293.3888
2018-06-09 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 00:00:00,287.02283,292.18796
2018-06-09 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 03:00:00,287.11523,292.68344
2018-06-09 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 06:00:00,287.41382,292.5899
2018-06-09 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 09:00:00,286.68115,292.00388
2018-06-09 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 12:00:00,287.36615,289.58832
2018-06-09 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 15:00:00,286.844,288.04675
2018-06-09 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 18:00:00,286.7386,287.99597
2018-06-09 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-09 21:00:00,286.23096,287.08044
2018-06-10 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 00:00:00,286.71686,290.71265
2018-06-10 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 03:00:00,286.15088,295.1875
2018-06-10 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 06:00:00,285.71863,297.78723
2018-06-10 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 09:00:00,286.5418,297.11697
2018-06-10 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 12:00:00,285.96735,294.0298
2018-06-10 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 15:00:00,286.6748,289.45135
2018-06-10 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 18:00:00,286.6795,288.8955
2018-06-10 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-10 21:00:00,286.75586,288.2835
2018-06-11 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 00:00:00,287.33704,292.1831
2018-06-11 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 03:00:00,287.40845,297.12555
2018-06-11 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 06:00:00,287.09723,300.32678
2018-06-11 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 09:00:00,286.65012,299.89038
2018-06-11 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 12:00:00,287.6573,297.26868
2018-06-11 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 15:00:00,288.25507,293.1632
2018-06-11 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 18:00:00,288.9494,292.09753
2018-06-11 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-11 21:00:00,288.22284,290.01587
2018-06-12 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 00:00:00,289.28094,295.22754
2018-06-12 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 03:00:00,288.71387,300.87854
2018-06-12 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 06:00:00,286.8546,303.65375
2018-06-12 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 09:00:00,287.92822,299.56128
2018-06-12 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 12:00:00,288.8101,296.62646
2018-06-12 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 15:00:00,289.38168,293.73853
2018-06-12 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 18:00:00,290.07483,292.82275
2018-06-12 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-12 21:00:00,289.84552,291.51294
2018-06-13 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 00:00:00,288.77515,293.68512
2018-06-13 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 03:00:00,288.21643,297.9018
2018-06-13 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 06:00:00,286.44342,298.12146
2018-06-13 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 09:00:00,285.62463,296.9308
2018-06-13 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 12:00:00,287.21802,294.4729
2018-06-13 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 15:00:00,287.74005,290.0174
2018-06-13 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 18:00:00,287.55695,289.00024
2018-06-13 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-13 21:00:00,286.96918,288.20654
2018-06-14 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 00:00:00,288.17053,294.15265
2018-06-14 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 03:00:00,287.2494,300.7106
2018-06-14 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 06:00:00,286.3142,303.4074
2018-06-14 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 09:00:00,286.2047,303.19592
2018-06-14 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 12:00:00,288.39673,298.3139
2018-06-14 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 15:00:00,289.77148,293.4975
2018-06-14 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 18:00:00,289.8916,292.85358
2018-06-14 21:00:00,0,0 days,0.0,39.94,116.3,2018-06-14 21:00:00,289.68634,291.4177
2018-06-15 00:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 00:00:00,289.95578,294.79523
2018-06-15 03:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 03:00:00,289.36914,299.57062
2018-06-15 06:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 06:00:00,289.30505,301.5583
2018-06-15 09:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 09:00:00,288.9791,301.40863
2018-06-15 12:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 12:00:00,289.16776,298.4289
2018-06-15 15:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 15:00:00,289.71573,294.61957
2018-06-15 18:00:00,0,0 days,0.0,39.94,116.3,2018-06-15 18:00:00,289.8649,293.69168
