date,number,surface,latitude,longitude,d2m,t2m
2010-01-01,0,0,53.0,7.95,269.6286,271.90744
2010-01-02,0,0,53.0,7.95,267.85138,269.5697
2010-01-03,0,0,53.0,7.95,266.9472,268.68683
2010-01-04,0,0,53.0,7.95,268.2022,269.53555
2010-01-05,0,0,53.0,7.95,271.38226,272.11597
2010-01-06,0,0,53.0,7.95,270.2687,271.13098
2010-01-07,0,0,53.0,7.95,269.1928,269.99545
2010-01-08,0,0,53.0,7.95,267.3802,268.84464
2010-01-09,0,0,53.0,7.95,269.1612,271.3518
2010-01-10,0,0,53.0,7.95,271.54904,273.03363
2010-01-11,0,0,53.0,7.95,271.07678,272.95157
2010-01-12,0,0,53.0,7.95,269.1715,270.85834
2010-01-13,0,0,53.0,7.95,267.5162,269.44666
2010-01-14,0,0,53.0,7.95,270.45108,272.39343
2010-01-15,0,0,53.0,7.95,272.08752,273.5232
2010-01-16,0,0,53.0,7.95,271.27924,272.96454
2010-01-17,0,0,53.0,7.95,272.4434,273.43765
2010-01-18,0,0,53.0,7.95,275.5605,275.86414
2010-01-19,0,0,53.0,7.95,275.64325,275.9089
2010-01-20,0,0,53.0,7.95,273.4515,274.26367
2010-01-21,0,0,53.0,7.95,270.3981,271.79984
2010-01-22,0,0,53.0,7.95,267.63718,269.8699
2010-01-23,0,0,53.0,7.95,267.34906,269.53113
2010-01-24,0,0,53.0,7.95,265.79718,268.34912
2010-01-25,0,0,53.0,7.95,264.65924,267.74493
2010-01-26,0,0,53.0,7.95,261.34534,265.43637
2010-01-27,0,0,53.0,7.95,264.94995,268.732
2010-01-28,0,0,53.0,7.95,273.6886,275.40854
2010-01-29,0,0,53.0,7.95,273.03174,273.87445
2010-01-30,0,0,53.0,7.95,269.69412,271.73828
2010-01-31,0,0,53.0,7.95,272.2896,273.83383
2010-02-01,0,0,53.0,7.95,271.85715,273.52386
2010-02-02,0,0,53.0,7.95,271.74594,272.8803
2010-02-03,0,0,53.0,7.95,272.83325,274.4342
2010-02-04,0,0,53.0,7.95,274.50018,275.01343
2010-02-05,0,0,53.0,7.95,274.20712,275.614
2010-02-06,0,0,53.0,7.95,272.48947,273.9652
2010-02-07,0,0,53.0,7.95,269.88324,271.64807
2010-02-08,0,0,53.0,7.95,265.88644,268.37268
2010-02-09,0,0,53.0,7.95,265.76202,269.0097
2010-02-10,0,0,53.0,7.95,267.973,269.53915
2010-02-11,0,0,53.0,7.95,267.95108,270.37704
2010-02-12,0,0,53.0,7.95,267.4506,269.42377
2010-02-13,0,0,53.0,7.95,268.61243,270.56793
2010-02-14,0,0,53.0,7.95,268.16833,269.59824
2010-02-15,0,0,53.0,7.95,265.31854,267.32697
2010-02-16,0,0,53.0,7.95,268.30304,271.38617
2010-02-17,0,0,53.0,7.95,266.57977,270.0939
2010-02-18,0,0,53.0,7.95,272.88342,274.2584
2010-02-19,0,0,53.0,7.95,273.9399,276.56158
2010-02-20,0,0,53.0,7.95,272.12396,274.64774
2010-02-21,0,0,53.0,7.95,271.2144,273.38544
2010-02-22,0,0,53.0,7.95,274.57956,276.11108
2010-02-23,0,0,53.0,7.95,273.00934,274.44336
2010-02-24,0,0,53.0,7.95,273.8411,274.80646
2010-02-25,0,0,53.0,7.95,278.2669,279.48132
2010-02-26,0,0,53.0,7.95,278.3418,279.89664
2010-02-27,0,0,53.0,7.95,275.592,279.10095
2010-02-28,0,0,53.0,7.95,276.70142,279.19104
2010-03-01,0,0,53.0,7.95,273.86185,276.78424
2010-03-02,0,0,53.0,7.95,273.0365,275.71027
2010-03-03,0,0,53.0,7.95,273.00244,275.50107
2010-03-04,0,0,53.0,7.95,269.70056,273.29892
2010-03-05,0,0,53.0,7.95,269.581,272.57364
2010-03-06,0,0,53.0,7.95,268.44867,272.46515
2010-03-07,0,0,53.0,7.95,265.34656,270.98315
2010-03-08,0,0,53.0,7.95,270.49805,272.86264
2010-03-09,0,0,53.0,7.95,268.1956,271.50998
2010-03-10,0,0,53.0,7.95,269.5205,272.02896
2010-03-11,0,0,53.0,7.95,271.99634,273.69666
2010-03-12,0,0,53.0,7.95,274.4767,276.891
2010-03-13,0,0,53.0,7.95,275.42587,277.31546
2010-03-14,0,0,53.0,7.95,275.86786,277.80603
2010-03-15,0,0,53.0,7.95,274.57324,276.4149
2010-03-16,0,0,53.0,7.95,274.5578,276.36404
2010-03-17,0,0,53.0,7.95,275.80045,280.00726
2010-03-18,0,0,53.0,7.95,276.4316,282.28827
2010-03-19,0,0,53.0,7.95,279.3258,284.49246
2010-03-20,0,0,53.0,7.95,283.7574,285.37677
2010-03-21,0,0,53.0,7.95,279.80917,281.9922
2010-03-22,0,0,53.0,7.95,276.54736,279.5077
2010-03-23,0,0,53.0,7.95,277.33984,281.50882
2010-03-24,0,0,53.0,7.95,277.5531,283.2233
2010-03-25,0,0,53.0,7.95,279.18658,286.11844
