date,number,surface,latitude,longitude,d2m,t2m
2017-01-01,0,0,28.55,77.19,286.25067,288.6588
2017-01-02,0,0,28.55,77.19,285.69583,289.1229
2017-01-03,0,0,28.55,77.19,284.7235,289.18533
2017-01-04,0,0,28.55,77.19,285.88422,289.35767
2017-01-05,0,0,28.55,77.19,285.99753,289.99844
2017-01-06,0,0,28.55,77.19,286.75504,290.1443
2017-01-07,0,0,28.55,77.19,285.35388,288.0715
2017-01-08,0,0,28.55,77.19,284.83557,287.1827
2017-01-09,0,0,28.55,77.19,281.24176,286.49313
2017-01-10,0,0,28.55,77.19,276.75534,284.54742
2017-01-11,0,0,28.55,77.19,276.1185,283.749
2017-01-12,0,0,28.55,77.19,277.7229,283.98474
2017-01-13,0,0,28.55,77.19,278.15234,284.65353
2017-01-14,0,0,28.55,77.19,279.58813,285.277
2017-01-15,0,0,28.55,77.19,280.41415,287.84546
2017-01-16,0,0,28.55,77.19,281.63535,286.6905
2017-01-17,0,0,28.55,77.19,280.72043,283.73895
2017-01-18,0,0,28.55,77.19,280.99228,284.7099
2017-01-19,0,0,28.55,77.19,280.70438,286.59946
2017-01-20,0,0,28.55,77.19,280.91595,286.06342
2017-01-21,0,0,28.55,77.19,282.00458,286.94672
2017-01-22,0,0,28.55,77.19,285.32318,289.4931
2017-01-23,0,0,28.55,77.19,284.99857,289.674
2017-01-24,0,0,28.55,77.19,285.10907,291.07092
2017-01-25,0,0,28.55,77.19,288.66064,293.10388
2017-01-26,0,0,28.55,77.19,288.2108,289.352
2017-01-27,0,0,28.55,77.19,285.3651,288.3085
2017-01-28,0,0,28.55,77.19,285.52975,287.58862
2017-01-29,0,0,28.55,77.19,285.76678,289.04944
2017-01-30,0,0,28.55,77.19,285.5065,288.7232
2017-01-31,0,0,28.55,77.19,286.09235,289.38626
2017-02-01,0,0,28.55,77.19,284.80026,288.60733
2017-02-02,0,0,28.55,77.19,284.11728,288.46866
2017-02-03,0,0,28.55,77.19,285.10675,288.96808
2017-02-04,0,0,28.55,77.19,286.9491,291.01877
