date,number,surface,latitude,longitude,d2m,t2m
2008-06-01,0,0,35.2,25.4,290.56177,291.99545
2008-06-02,0,0,35.2,25.4,289.94983,292.97983
2008-06-03,0,0,35.2,25.4,288.77905,292.45062
2008-06-04,0,0,35.2,25.4,290.45923,292.24457
2008-06-05,0,0,35.2,25.4,291.27444,292.73297
2008-06-06,0,0,35.2,25.4,291.1877,293.03094
2008-06-07,0,0,35.2,25.4,290.3932,293.36734
2008-06-08,0,0,35.2,25.4,291.2287,293.32935
2008-06-09,0,0,35.2,25.4,291.48605,293.03503
2008-06-10,0,0,35.2,25.4,290.5241,293.10028
2008-06-11,0,0,35.2,25.4,290.1599,293.7047
2008-06-12,0,0,35.2,25.4,291.04425,293.82007
2008-06-13,0,0,35.2,25.4,291.96823,293.3994
2008-06-14,0,0,35.2,25.4,291.5931,293.8136
2008-06-15,0,0,35.2,25.4,291.62167,294.00696
2008-06-16,0,0,35.2,25.4,291.66992,294.07043
2008-06-17,0,0,35.2,25.4,291.51718,294.48608
2008-06-18,0,0,35.2,25.4,290.43613,295.5632
2008-06-19,0,0,35.2,25.4,290.8402,296.03705
2008-06-20,0,0,35.2,25.4,292.91284,295.86816
2008-06-21,0,0,35.2,25.4,292.4184,295.07593
2008-06-22,0,0,35.2,25.4,292.44855,295.84488
2008-06-23,0,0,35.2,25.4,293.09576,295.49866
2008-06-24,0,0,35.2,25.4,292.69757,295.66583
2008-06-25,0,0,35.2,25.4,292.8013,295.0829
2008-06-26,0,0,35.2,25.4,293.36865,295.75467
2008-06-27,0,0,35.2,25.4,292.37634,295.20593
2008-06-28,0,0,35.2,25.4,292.24042,295.3116
2008-06-29,0,0,35.2,25.4,292.70776,296.08942
2008-06-30,0,0,35.2,25.4,292.71765,296.1424
2008-07-01,0,0,35.2,25.4,291.40363,295.65778
2008-07-02,0,0,35.2,25.4,291.76126,295.98578
2008-07-03,0,0,35.2,25.4,292.62335,296.744
2008-07-04,0,0,35.2,25.4,292.20044,296.64505
2008-07-05,0,0,35.2,25.4,294.6081,296.88495
2008-07-06,0,0,35.2,25.4,294.67725,296.54556
2008-07-07,0,0,35.2,25.4,293.449,297.2396
2008-07-08,0,0,35.2,25.4,292.67035,296.81604
2008-07-09,0,0,35.2,25.4,294.76276,297.77423
