date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2013-02-01 00:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 00:00:00,280.53308,288.25647
2013-02-01 03:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 03:00:00,280.93195,286.95837
2013-02-01 06:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 06:00:00,277.01514,290.0172
2013-02-01 09:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 09:00:00,277.25366,294.83875
2013-02-01 12:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 12:00:00,275.64233,296.54834
2013-02-01 15:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 15:00:00,278.37415,293.4687
2013-02-01 18:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 18:00:00,280.99304,290.61554
2013-02-01 21:00:00,0,0 days,0.0,21.802,39.729,2013-02-01 21:00:00,281.92188,288.90094
2013-02-02 00:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 00:00:00,282.9651,288.19635
2013-02-02 03:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 03:00:00,281.84558,287.13135
2013-02-02 06:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 06:00:00,280.7119,289.85376
2013-02-02 09:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 09:00:00,276.22638,295.0846
2013-02-02 12:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 12:00:00,275.73218,297.63684
2013-02-02 15:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 15:00:00,276.64734,295.44464
2013-02-02 18:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 18:00:00,279.58423,291.26355
2013-02-02 21:00:00,0,0 days,0.0,21.802,39.729,2013-02-02 21:00:00,278.7478,289.11536
2013-02-03 00:00:00,0,0 days,0.0,21.802,39.729,2013-02-03 00:00:00,275.7163,288.38458
2013-02-03 03:00:00,0,0 days,0.0,21.802,39.729,2013-02-03 03:00:00,272.13037,289.2843
