date,number,surface,latitude,longitude,d2m,t2m
2005-01-01,0,0,60.2,24.96,271.9944,273.2857
2005-01-02,0,0,60.2,24.96,272.60962,273.74728
2005-01-03,0,0,60.2,24.96,272.08588,273.80466
2005-01-04,0,0,60.2,24.96,271.87823,273.3451
2005-01-05,0,0,60.2,24.96,272.74222,273.4435
2005-01-06,0,0,60.2,24.96,272.95795,273.58542
2005-01-07,0,0,60.2,24.96,275.2879,275.9288
2005-01-08,0,0,60.2,24.96,275.71463,276.74884
2005-01-09,0,0,60.2,24.96,273.93906,274.7332
2005-01-10,0,0,60.2,24.96,273.01184,274.0762
2005-01-11,0,0,60.2,24.96,276.05298,277.26855
2005-01-12,0,0,60.2,24.96,274.85406,275.91968
2005-01-13,0,0,60.2,24.96,274.6259,276.41763
2005-01-14,0,0,60.2,24.96,271.57196,273.85992
2005-01-15,0,0,60.2,24.96,267.93463,270.95392
2005-01-16,0,0,60.2,24.96,272.6543,273.42114
2005-01-17,0,0,60.2,24.96,274.25916,275.40253
2005-01-18,0,0,60.2,24.96,273.5506,274.49228
2005-01-19,0,0,60.2,24.96,270.7037,273.1598
2005-01-20,0,0,60.2,24.96,271.40106,272.92218
2005-01-21,0,0,60.2,24.96,271.99313,272.72092
2005-01-22,0,0,60.2,24.96,271.70642,272.36096
2005-01-23,0,0,60.2,24.96,270.59897,271.21964
2005-01-24,0,0,60.2,24.96,267.20465,268.51053
2005-01-25,0,0,60.2,24.96,268.83698,269.8388
2005-01-26,0,0,60.2,24.96,267.449,268.24823
2005-01-27,0,0,60.2,24.96,266.55634,267.9449
2005-01-28,0,0,60.2,24.96,259.63385,261.48624
2005-01-29,0,0,60.2,24.96,261.1984,263.30334
2005-01-30,0,0,60.2,24.96,264.2505,265.5693
2005-01-31,0,0,60.2,24.96,271.352,272.0642
2005-02-01,0,0,60.2,24.96,269.23926,269.59503
2005-02-02,0,0,60.2,24.96,267.17532,268.35156
2005-02-03,0,0,60.2,24.96,267.96255,269.18634
2005-02-04,0,0,60.2,24.96,269.913,270.97833
2005-02-05,0,0,60.2,24.96,270.92957,271.77417
2005-02-06,0,0,60.2,24.96,273.46854,274.0778
2005-02-07,0,0,60.2,24.96,271.23993,272.25726
2005-02-08,0,0,60.2,24.96,269.2004,270.44778
2005-02-09,0,0,60.2,24.96,265.86472,268.1716
2005-02-10,0,0,60.2,24.96,267.46432,269.66867
2005-02-11,0,0,60.2,24.96,272.39474,273.38184
2005-02-12,0,0,60.2,24.96,269.98007,271.49597
2005-02-13,0,0,60.2,24.96,268.39963,270.9121
2005-02-14,0,0,60.2,24.96,265.0573,267.15088
2005-02-15,0,0,60.2,24.96,263.66254,265.75354
2005-02-16,0,0,60.2,24.96,262.7826,264.45172
2005-02-17,0,0,60.2,24.96,266.6667,267.52713
2005-02-18,0,0,60.2,24.96,267.5504,268.89685
2005-02-19,0,0,60.2,24.96,270.05502,271.25964
2005-02-20,0,0,60.2,24.96,267.54956,269.50986
2005-02-21,0,0,60.2,24.96,264.9735,267.24927
2005-02-22,0,0,60.2,24.96,257.77536,261.02982
2005-02-23,0,0,60.2,24.96,259.29877,261.82864
2005-02-24,0,0,60.2,24.96,260.7123,262.87958
2005-02-25,0,0,60.2,24.96,262.22012,264.77585
2005-02-26,0,0,60.2,24.96,260.4134,263.30414
2005-02-27,0,0,60.2,24.96,259.9069,262.88406
2005-02-28,0,0,60.2,24.96,256.92065,260.43427
2005-03-01,0,0,60.2,24.96,255.68544,259.7857
2005-03-02,0,0,60.2,24.96,259.22113,262.28006
2005-03-03,0,0,60.2,24.96,260.04108,263.4817
2005-03-04,0,0,60.2,24.96,259.4129,261.9792
2005-03-05,0,0,60.2,24.96,262.76447,265.20428
2005-03-06,0,0,60.2,24.96,263.1124,265.15558
2005-03-07,0,0,60.2,24.96,264.29825,266.7753
2005-03-08,0,0,60.2,24.96,265.52936,268.73062
2005-03-09,0,0,60.2,24.96,259.00906,263.9284
2005-03-10,0,0,60.2,24.96,258.07748,262.9115
2005-03-11,0,0,60.2,24.96,258.97675,263.07794
2005-03-12,0,0,60.2,24.96,259.95343,264.04242
2005-03-13,0,0,60.2,24.96,258.8806,261.9701
2005-03-14,0,0,60.2,24.96,257.5123,260.4007
2005-03-15,0,0,60.2,24.96,258.7984,261.89395
2005-03-16,0,0,60.2,24.96,259.9217,263.3429
2005-03-17,0,0,60.2,24.96,265.49173,266.8358
2005-03-18,0,0,60.2,24.96,264.1789,267.22327
2005-03-19,0,0,60.2,24.96,261.21564,266.5784
2005-03-20,0,0,60.2,24.96,262.0608,267.52203
2005-03-21,0,0,60.2,24.96,263.78375,268.4461
2005-03-22,0,0,60.2,24.96,264.31195,269.0146
2005-03-23,0,0,60.2,24.96,268.39923,271.29913
2005-03-24,0,0,60.2,24.96,271.04376,274.0249
2005-03-25,0,0,60.2,24.96,273.7768,276.35477
2005-03-26,0,0,60.2,24.96,271.61298,275.1648
2005-03-27,0,0,60.2,24.96,268.90588,272.33145
2005-03-28,0,0,60.2,24.96,267.9778,271.1819
2005-03-29,0,0,60.2,24.96,267.0702,271.04654
2005-03-30,0,0,60.2,24.96,269.0555,272.0857
2005-03-31,0,0,60.2,24.96,271.10516,274.03366
2005-04-01,0,0,60.2,24.96,270.73956,273.4057
2005-04-02,0,0,60.2,24.96,271.0898,273.52234
2005-04-03,0,0,60.2,24.96,273.85373,277.46005
2005-04-04,0,0,60.2,24.96,272.4411,276.6861
2005-04-05,0,0,60.2,24.96,272.5265,278.37332
2005-04-06,0,0,60.2,24.96,272.73032,276.243
2005-04-07,0,0,60.2,24.96,273.8218,276.84048
2005-04-08,0,0,60.2,24.96,274.9186,277.53067
2005-04-09,0,0,60.2,24.96,274.5379,276.18143
2005-04-10,0,0,60.2,24.96,272.96292,274.76938
2005-04-11,0,0,60.2,24.96,273.56387,274.87354
2005-04-12,0,0,60.2,24.96,273.51068,277.00452
2005-04-13,0,0,60.2,24.96,275.02496,278.12207
2005-04-14,0,0,60.2,24.96,274.05417,277.13736
2005-04-15,0,0,60.2,24.96,276.35358,279.31708
2005-04-16,0,0,60.2,24.96,274.45187,277.81055
2005-04-17,0,0,60.2,24.96,271.27917,278.04962
2005-04-18,0,0,60.2,24.96,270.48517,276.36084
2005-04-19,0,0,60.2,24.96,266.231,274.10916
2005-04-20,0,0,60.2,24.96,267.22562,272.9803
2005-04-21,0,0,60.2,24.96,268.32184,272.66147
2005-04-22,0,0,60.2,24.96,269.17783,273.21768
2005-04-23,0,0,60.2,24.96,269.72137,274.50232
