date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2010-01-01 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 00:00:00,270.9433,272.3667
2010-01-01 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 03:00:00,270.11212,271.60858
2010-01-01 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 06:00:00,269.46313,271.12744
2010-01-01 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 09:00:00,270.42615,272.258
2010-01-01 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 12:00:00,272.7685,275.14252
2010-01-01 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 15:00:00,273.46857,274.7965
2010-01-01 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 18:00:00,273.51044,274.40292
2010-01-01 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 21:00:00,271.49805,274.00314
2010-01-02 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 00:00:00,270.13165,272.6867
2010-01-02 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 03:00:00,270.33353,271.18933
2010-01-02 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 06:00:00,262.3523,270.59607
2010-01-02 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 09:00:00,257.99573,269.34613
2010-01-02 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 12:00:00,264.14648,268.40173
2010-01-02 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 15:00:00,263.52185,267.77325
2010-01-02 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 18:00:00,262.55682,266.52954
2010-01-02 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 21:00:00,262.21777,265.21075
2010-01-03 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 00:00:00,261.75494,264.52026
2010-01-03 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 03:00:00,260.30786,263.1615
2010-01-03 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 06:00:00,258.94263,262.32617
2010-01-03 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 09:00:00,259.30627,264.1615
2010-01-03 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 12:00:00,260.8175,268.14917
2010-01-03 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 15:00:00,260.4917,268.3733
2010-01-03 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 18:00:00,260.0846,265.76135
2010-01-03 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 21:00:00,258.92505,264.37927
2010-01-04 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 00:00:00,258.77576,264.24658
2010-01-04 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 03:00:00,257.59692,263.0968
2010-01-04 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 06:00:00,257.47717,262.92688
2010-01-04 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 09:00:00,258.3241,263.8357
2010-01-04 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 12:00:00,260.3009,268.53156
2010-01-04 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 15:00:00,260.31396,268.36093
2010-01-04 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 18:00:00,260.52283,264.47284
2010-01-04 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 21:00:00,259.66833,263.328
2010-01-05 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 00:00:00,259.29102,263.37512
2010-01-05 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 03:00:00,259.12634,263.2284
2010-01-05 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 06:00:00,259.21167,263.00098
