date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2006-01-01 00:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 00:00:00,276.91754,278.28476
2006-01-01 03:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 03:00:00,277.80054,278.79916
2006-01-01 06:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 06:00:00,277.65637,279.2422
2006-01-01 09:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 09:00:00,277.51733,279.51605
2006-01-01 12:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 12:00:00,277.2629,280.09937
2006-01-01 15:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 15:00:00,277.71628,280.2576
2006-01-01 18:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 18:00:00,277.12146,279.35483
2006-01-01 21:00:00,0,0 days,0.0,51.6,-1.3,2006-01-01 21:00:00,276.7738,279.04794
2006-01-02 00:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 00:00:00,276.67908,278.67432
2006-01-02 03:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 03:00:00,276.25845,277.72186
2006-01-02 06:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 06:00:00,275.79663,276.7976
2006-01-02 09:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 09:00:00,275.81662,276.52402
2006-01-02 12:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 12:00:00,277.557,278.8664
2006-01-02 15:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 15:00:00,277.9489,279.68082
2006-01-02 18:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 18:00:00,277.47763,278.42188
2006-01-02 21:00:00,0,0 days,0.0,51.6,-1.3,2006-01-02 21:00:00,277.29886,278.03375
2006-01-03 00:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 00:00:00,277.45776,278.24683
2006-01-03 03:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 03:00:00,277.56903,278.48315
2006-01-03 06:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 06:00:00,277.8376,278.95764
2006-01-03 09:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 09:00:00,278.86435,279.76352
2006-01-03 12:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 12:00:00,280.75476,281.46002
2006-01-03 15:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 15:00:00,281.8146,282.17188
2006-01-03 18:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 18:00:00,281.4836,281.9701
2006-01-03 21:00:00,0,0 days,0.0,51.6,-1.3,2006-01-03 21:00:00,280.63947,281.30548
2006-01-04 00:00:00,0,0 days,0.0,51.6,-1.3,2006-01-04 00:00:00,279.4999,280.19174
2006-01-04 03:00:00,0,0 days,0.0,51.6,-1.3,2006-01-04 03:00:00,278.1704,279.14917
2006-01-04 06:00:00,0,0 days,0.0,51.6,-1.3,2006-01-04 06:00:00,277.55707,278.59174
2006-01-04 09:00:00,0,0 days,0.0,51.6,-1.3,2006-01-04 09:00:00,277.14236,278.44583
