date,number,surface,latitude,longitude,d2m,t2m
2003-01-01,0,0,61.85,24.29,243.71805,245.89021
2003-01-02,0,0,61.85,24.29,243.24928,245.52966
2003-01-03,0,0,61.85,24.29,242.43454,244.80179
2003-01-04,0,0,61.85,24.29,242.00229,244.3339
2003-01-05,0,0,61.85,24.29,244.35095,246.65855
2003-01-06,0,0,61.85,24.29,243.41428,245.72577
2003-01-07,0,0,61.85,24.29,247.23868,248.97017
2003-01-08,0,0,61.85,24.29,259.81396,260.8091
2003-01-09,0,0,61.85,24.29,259.83365,260.956
2003-01-10,0,0,61.85,24.29,245.63448,247.89502
2003-01-11,0,0,61.85,24.29,257.61124,258.85895
2003-01-12,0,0,61.85,24.29,263.25418,264.32465
2003-01-13,0,0,61.85,24.29,265.55585,267.0982
2003-01-14,0,0,61.85,24.29,257.36148,258.8256
2003-01-15,0,0,61.85,24.29,261.7471,262.87955
2003-01-16,0,0,61.85,24.29,271.9176,272.93506
2003-01-17,0,0,61.85,24.29,268.41577,269.73862
2003-01-18,0,0,61.85,24.29,273.99094,275.2737
2003-01-19,0,0,61.85,24.29,268.9897,272.08124
2003-01-20,0,0,61.85,24.29,259.6185,261.7328
2003-01-21,0,0,61.85,24.29,270.83624,271.38696
2003-01-22,0,0,61.85,24.29,272.5429,273.42395
2003-01-23,0,0,61.85,24.29,271.27872,271.81146
2003-01-24,0,0,61.85,24.29,260.4827,262.3799
2003-01-25,0,0,61.85,24.29,270.58447,271.9184
2003-01-26,0,0,61.85,24.29,273.20908,273.53787
2003-01-27,0,0,61.85,24.29,266.8708,268.15887
2003-01-28,0,0,61.85,24.29,258.3922,259.79153
2003-01-29,0,0,61.85,24.29,255.9872,258.26642
2003-01-30,0,0,61.85,24.29,250.71889,253.10364
2003-01-31,0,0,61.85,24.29,247.4807,249.86877
2003-02-01,0,0,61.85,24.29,249.38289,251.27777
2003-02-02,0,0,61.85,24.29,266.92685,268.64975
2003-02-03,0,0,61.85,24.29,261.1865,264.69495
2003-02-04,0,0,61.85,24.29,256.8142,259.52966
2003-02-05,0,0,61.85,24.29,255.68384,257.9567
2003-02-06,0,0,61.85,24.29,255.78003,257.33148
2003-02-07,0,0,61.85,24.29,254.17053,255.9821
2003-02-08,0,0,61.85,24.29,259.40884,260.87726
2003-02-09,0,0,61.85,24.29,269.5396,270.39078
2003-02-10,0,0,61.85,24.29,269.79587,270.80423
2003-02-11,0,0,61.85,24.29,268.6757,269.3555
2003-02-12,0,0,61.85,24.29,268.96063,269.7974
2003-02-13,0,0,61.85,24.29,268.69208,269.93182
2003-02-14,0,0,61.85,24.29,269.70654,271.50665
2003-02-15,0,0,61.85,24.29,257.29608,260.14066
2003-02-16,0,0,61.85,24.29,265.23743,266.4022
2003-02-17,0,0,61.85,24.29,270.87967,272.3838
2003-02-18,0,0,61.85,24.29,269.24283,270.66843
2003-02-19,0,0,61.85,24.29,267.0011,270.65448
2003-02-20,0,0,61.85,24.29,263.60385,267.2974
2003-02-21,0,0,61.85,24.29,262.95593,267.10416
2003-02-22,0,0,61.85,24.29,265.17508,267.56445
2003-02-23,0,0,61.85,24.29,265.13104,266.30273
2003-02-24,0,0,61.85,24.29,266.79523,267.52774
2003-02-25,0,0,61.85,24.29,266.77267,268.56403
2003-02-26,0,0,61.85,24.29,268.72556,269.71378
2003-02-27,0,0,61.85,24.29,268.53397,269.4298
2003-02-28,0,0,61.85,24.29,263.7657,265.20972
2003-03-01,0,0,61.85,24.29,263.94357,265.18484
2003-03-02,0,0,61.85,24.29,261.52234,263.19962
2003-03-03,0,0,61.85,24.29,263.06995,264.9184
2003-03-04,0,0,61.85,24.29,262.9529,264.80157
2003-03-05,0,0,61.85,24.29,263.2259,265.54065
2003-03-06,0,0,61.85,24.29,266.60886,268.41132
2003-03-07,0,0,61.85,24.29,267.86984,270.51727
2003-03-08,0,0,61.85,24.29,270.98837,272.5053
2003-03-09,0,0,61.85,24.29,269.65466,271.59296
2003-03-10,0,0,61.85,24.29,272.91156,273.6127
2003-03-11,0,0,61.85,24.29,274.424,275.15833
2003-03-12,0,0,61.85,24.29,269.96094,273.06717
2003-03-13,0,0,61.85,24.29,263.65323,270.09583
2003-03-14,0,0,61.85,24.29,270.28674,273.42014
2003-03-15,0,0,61.85,24.29,269.2478,275.23547
2003-03-16,0,0,61.85,24.29,269.50403,273.17444
2003-03-17,0,0,61.85,24.29,272.26917,275.4116
2003-03-18,0,0,61.85,24.29,271.4868,275.0027
2003-03-19,0,0,61.85,24.29,269.2855,274.6178
2003-03-20,0,0,61.85,24.29,258.2864,265.25348
2003-03-21,0,0,61.85,24.29,259.10666,264.7971
2003-03-22,0,0,61.85,24.29,269.63513,272.08112
2003-03-23,0,0,61.85,24.29,272.41058,276.03864
2003-03-24,0,0,61.85,24.29,272.05222,276.76718
2003-03-25,0,0,61.85,24.29,269.0536,275.0507
2003-03-26,0,0,61.85,24.29,269.69437,275.16928
2003-03-27,0,0,61.85,24.29,272.56067,276.81134
2003-03-28,0,0,61.85,24.29,270.77072,275.69635
2003-03-29,0,0,61.85,24.29,269.92474,275.28738
2003-03-30,0,0,61.85,24.29,273.66968,275.90482
2003-03-31,0,0,61.85,24.29,264.71405,269.50104
2003-04-01,0,0,61.85,24.29,259.60742,266.20233
2003-04-02,0,0,61.85,24.29,261.3001,269.48022
2003-04-03,0,0,61.85,24.29,263.83624,269.75085
2003-04-04,0,0,61.85,24.29,268.51746,270.75665
2003-04-05,0,0,61.85,24.29,268.79874,271.15686
2003-04-06,0,0,61.85,24.29,261.19705,268.18524
2003-04-07,0,0,61.85,24.29,261.13843,268.70117
2003-04-08,0,0,61.85,24.29,264.78766,269.93802
2003-04-09,0,0,61.85,24.29,268.46082,273.7199
2003-04-10,0,0,61.85,24.29,270.50174,273.91183
2003-04-11,0,0,61.85,24.29,270.0188,275.56378
2003-04-12,0,0,61.85,24.29,270.40576,275.88525
2003-04-13,0,0,61.85,24.29,273.341,276.26434
2003-04-14,0,0,61.85,24.29,273.70645,276.51328
2003-04-15,0,0,61.85,24.29,272.30173,276.68958
2003-04-16,0,0,61.85,24.29,272.932,278.73285
2003-04-17,0,0,61.85,24.29,273.8309,277.82385
2003-04-18,0,0,61.85,24.29,272.83005,277.36237
2003-04-19,0,0,61.85,24.29,272.69156,278.8194
2003-04-20,0,0,61.85,24.29,272.18045,281.01608
2003-04-21,0,0,61.85,24.29,272.3366,282.40625
2003-04-22,0,0,61.85,24.29,274.39954,282.90778
2003-04-23,0,0,61.85,24.29,270.1478,278.4469
2003-04-24,0,0,61.85,24.29,262.12143,273.54138
2003-04-25,0,0,61.85,24.29,261.08746,272.25055
2003-04-26,0,0,61.85,24.29,262.90784,273.46597
2003-04-27,0,0,61.85,24.29,264.84744,275.0912
2003-04-28,0,0,61.85,24.29,271.52225,274.68036
2003-04-29,0,0,61.85,24.29,275.12595,276.51227
2003-04-30,0,0,61.85,24.29,274.9278,275.6963
2003-05-01,0,0,61.85,24.29,277.8604,278.30835
2003-05-02,0,0,61.85,24.29,273.4083,277.79663
2003-05-03,0,0,61.85,24.29,270.5505,276.93423
2003-05-04,0,0,61.85,24.29,270.29993,278.20953
2003-05-05,0,0,61.85,24.29,271.89618,279.46262
2003-05-06,0,0,61.85,24.29,278.0438,282.46103
2003-05-07,0,0,61.85,24.29,276.2791,281.1302
2003-05-08,0,0,61.85,24.29,270.14984,280.6263
2003-05-09,0,0,61.85,24.29,277.4639,280.67877
2003-05-10,0,0,61.85,24.29,275.8082,283.29208
2003-05-11,0,0,61.85,24.29,275.04398,283.5858
2003-05-12,0,0,61.85,24.29,274.0749,283.67618
2003-05-13,0,0,61.85,24.29,276.6685,285.42746
2003-05-14,0,0,61.85,24.29,282.81638,285.43005
2003-05-15,0,0,61.85,24.29,277.05875,283.7332
2003-05-16,0,0,61.85,24.29,280.01862,281.315
2003-05-17,0,0,61.85,24.29,280.61438,282.47452
2003-05-18,0,0,61.85,24.29,281.85785,283.99924
2003-05-19,0,0,61.85,24.29,279.5393,282.34753
2003-05-20,0,0,61.85,24.29,278.57443,283.81104
2003-05-21,0,0,61.85,24.29,279.41272,284.81683
2003-05-22,0,0,61.85,24.29,278.35095,284.3265
2003-05-23,0,0,61.85,24.29,279.0917,284.0954
2003-05-24,0,0,61.85,24.29,281.10596,283.1104
2003-05-25,0,0,61.85,24.29,280.4234,284.30475
2003-05-26,0,0,61.85,24.29,285.74066,290.20047
2003-05-27,0,0,61.85,24.29,279.69104,286.60608
2003-05-28,0,0,61.85,24.29,276.50687,284.44504
2003-05-29,0,0,61.85,24.29,276.64502,285.67188
2003-05-30,0,0,61.85,24.29,280.77667,285.59338
2003-05-31,0,0,61.85,24.29,274.1586,282.21964
2003-06-01,0,0,61.85,24.29,276.9104,282.53284
2003-06-02,0,0,61.85,24.29,276.7412,282.45938
2003-06-03,0,0,61.85,24.29,277.29794,283.9459
2003-06-04,0,0,61.85,24.29,281.68652,287.41867
2003-06-05,0,0,61.85,24.29,285.0788,289.68863
2003-06-06,0,0,61.85,24.29,284.4194,285.348
2003-06-07,0,0,61.85,24.29,282.05933,284.33685
2003-06-08,0,0,61.85,24.29,280.62854,287.79047
2003-06-09,0,0,61.85,24.29,283.19598,285.7257
2003-06-10,0,0,61.85,24.29,280.74484,285.10394
2003-06-11,0,0,61.85,24.29,275.557,283.67477
2003-06-12,0,0,61.85,24.29,278.24216,285.53674
2003-06-13,0,0,61.85,24.29,278.6117,285.77377
2003-06-14,0,0,61.85,24.29,278.6145,283.72443
2003-06-15,0,0,61.85,24.29,277.3487,283.57013
2003-06-16,0,0,61.85,24.29,278.159,283.39685
2003-06-17,0,0,61.85,24.29,277.81467,283.86465
2003-06-18,0,0,61.85,24.29,278.42798,285.70047
2003-06-19,0,0,61.85,24.29,280.02045,285.61215
2003-06-20,0,0,61.85,24.29,282.57068,284.38153
2003-06-21,0,0,61.85,24.29,278.1527,287.06763
2003-06-22,0,0,61.85,24.29,280.47693,285.54437
2003-06-23,0,0,61.85,24.29,282.0372,288.42682
2003-06-24,0,0,61.85,24.29,282.25793,289.78333
2003-06-25,0,0,61.85,24.29,283.1212,290.17343
2003-06-26,0,0,61.85,24.29,283.61646,290.21744
2003-06-27,0,0,61.85,24.29,280.99567,289.52463
2003-06-28,0,0,61.85,24.29,281.37598,285.91156
2003-06-29,0,0,61.85,24.29,281.8568,284.33716
2003-06-30,0,0,61.85,24.29,283.61203,287.37064
2003-07-01,0,0,61.85,24.29,284.84872,290.34332
2003-07-02,0,0,61.85,24.29,286.04333,292.08197
2003-07-03,0,0,61.85,24.29,287.40173,292.2021
2003-07-04,0,0,61.85,24.29,286.50018,290.905
2003-07-05,0,0,61.85,24.29,286.50653,290.70212
2003-07-06,0,0,61.85,24.29,287.21414,290.76157
2003-07-07,0,0,61.85,24.29,284.208,290.00763
2003-07-08,0,0,61.85,24.29,283.32825,289.33423
2003-07-09,0,0,61.85,24.29,283.7335,285.8254
2003-07-10,0,0,61.85,24.29,284.3954,286.3953
2003-07-11,0,0,61.85,24.29,286.00015,287.1011
2003-07-12,0,0,61.85,24.29,288.5469,289.07755
2003-07-13,0,0,61.85,24.29,289.19702,292.09064
2003-07-14,0,0,61.85,24.29,289.91632,295.29858
2003-07-15,0,0,61.85,24.29,291.55194,296.57346
2003-07-16,0,0,61.85,24.29,291.8487,296.68
2003-07-17,0,0,61.85,24.29,290.77863,296.6417
2003-07-18,0,0,61.85,24.29,290.79004,295.98285
2003-07-19,0,0,61.85,24.29,290.2854,294.99133
2003-07-20,0,0,61.85,24.29,288.26044,294.78983
2003-07-21,0,0,61.85,24.29,288.89426,295.28973
2003-07-22,0,0,61.85,24.29,289.99216,295.0856
2003-07-23,0,0,61.85,24.29,290.04584,292.9747
2003-07-24,0,0,61.85,24.29,289.1092,293.54645
2003-07-25,0,0,61.85,24.29,288.22092,294.0271
2003-07-26,0,0,61.85,24.29,289.31015,294.549
2003-07-27,0,0,61.85,24.29,290.5677,292.76965
2003-07-28,0,0,61.85,24.29,292.2987,294.68433
2003-07-29,0,0,61.85,24.29,293.3919,295.536
2003-07-30,0,0,61.85,24.29,292.20215,297.0437
2003-07-31,0,0,61.85,24.29,292.11923,297.27368
2003-08-01,0,0,61.85,24.29,291.81528,296.6761
2003-08-02,0,0,61.85,24.29,288.14307,295.15112
2003-08-03,0,0,61.85,24.29,288.48746,293.60385
2003-08-04,0,0,61.85,24.29,288.31244,292.57147
2003-08-05,0,0,61.85,24.29,286.2393,289.98236
2003-08-06,0,0,61.85,24.29,286.01657,290.35574
2003-08-07,0,0,61.85,24.29,284.86075,289.74884
2003-08-08,0,0,61.85,24.29,285.50122,289.4695
2003-08-09,0,0,61.85,24.29,281.15125,286.98712
2003-08-10,0,0,61.85,24.29,281.62836,285.6919
2003-08-11,0,0,61.85,24.29,283.653,287.26514
2003-08-12,0,0,61.85,24.29,284.80383,288.97656
2003-08-13,0,0,61.85,24.29,284.8386,288.97055
2003-08-14,0,0,61.85,24.29,285.8027,288.4413
2003-08-15,0,0,61.85,24.29,285.20737,288.00272
2003-08-16,0,0,61.85,24.29,286.3615,287.93427
2003-08-17,0,0,61.85,24.29,284.87347,289.22867
2003-08-18,0,0,61.85,24.29,284.26056,288.10663
2003-08-19,0,0,61.85,24.29,285.48468,288.86493
2003-08-20,0,0,61.85,24.29,287.1446,288.53354
2003-08-21,0,0,61.85,24.29,285.0598,288.1782
2003-08-22,0,0,61.85,24.29,285.2026,288.22406
2003-08-23,0,0,61.85,24.29,287.14276,287.76102
2003-08-24,0,0,61.85,24.29,287.13293,288.54242
2003-08-25,0,0,61.85,24.29,283.40924,286.2744
2003-08-26,0,0,61.85,24.29,279.93045,284.00378
2003-08-27,0,0,61.85,24.29,279.4626,282.27432
2003-08-28,0,0,61.85,24.29,280.68375,282.14502
2003-08-29,0,0,61.85,24.29,281.30966,283.543
2003-08-30,0,0,61.85,24.29,281.18146,283.37845
2003-08-31,0,0,61.85,24.29,278.55106,281.5361
2003-09-01,0,0,61.85,24.29,275.64978,278.95114
2003-09-02,0,0,61.85,24.29,273.85736,278.4447
2003-09-03,0,0,61.85,24.29,276.50034,279.85175
2003-09-04,0,0,61.85,24.29,282.27405,285.28723
2003-09-05,0,0,61.85,24.29,280.2331,284.30945
2003-09-06,0,0,61.85,24.29,282.14423,284.9312
2003-09-07,0,0,61.85,24.29,282.83148,286.25812
