date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2009-01-01 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 00:00:00,265.1725,266.7894
2009-01-01 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 03:00:00,264.95453,266.26596
2009-01-01 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 06:00:00,264.6297,265.879
2009-01-01 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 09:00:00,265.55756,267.347
2009-01-01 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 12:00:00,266.62567,268.23636
2009-01-01 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 15:00:00,266.09885,267.9485
2009-01-01 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 18:00:00,265.56567,267.6986
2009-01-01 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 21:00:00,264.9914,267.70557
2009-01-02 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 00:00:00,265.35352,267.67947
2009-01-02 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 03:00:00,265.38654,266.7788
2009-01-02 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 06:00:00,265.60376,266.78943
2009-01-02 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 09:00:00,266.47766,268.10098
2009-01-02 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 12:00:00,267.77118,269.59372
2009-01-02 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 15:00:00,267.36432,269.4604
2009-01-02 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 18:00:00,267.43863,268.5387
2009-01-02 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 21:00:00,266.94904,267.8783
2009-01-03 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 00:00:00,265.0999,265.9256
2009-01-03 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 03:00:00,264.65402,265.1129
2009-01-03 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 06:00:00,262.1627,262.60455
2009-01-03 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 09:00:00,264.29257,265.0766
2009-01-03 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 12:00:00,263.01135,268.9122
2009-01-03 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 15:00:00,263.7927,267.14642
2009-01-03 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 18:00:00,262.70605,264.591
2009-01-03 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 21:00:00,263.24353,265.47906
2009-01-04 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 00:00:00,263.52753,266.55396
2009-01-04 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 03:00:00,264.87128,268.00916
2009-01-04 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 06:00:00,266.3789,269.2235
2009-01-04 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 09:00:00,267.25824,269.40033
2009-01-04 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 12:00:00,268.24127,270.16714
2009-01-04 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 15:00:00,269.15424,271.3145
2009-01-04 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 18:00:00,268.90393,270.9253
2009-01-04 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 21:00:00,268.55936,270.766
2009-01-05 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 00:00:00,268.40808,270.33282
2009-01-05 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 03:00:00,268.72433,270.10736
2009-01-05 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 06:00:00,268.81522,269.82996
2009-01-05 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 09:00:00,268.8676,270.2066
2009-01-05 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 12:00:00,268.57678,270.83264
2009-01-05 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 15:00:00,269.6485,270.10968
2009-01-05 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 18:00:00,268.78394,268.9591
2009-01-05 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-05 21:00:00,267.1225,267.94403
2009-01-06 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 00:00:00,266.32996,267.58105
2009-01-06 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 03:00:00,265.474,266.9674
2009-01-06 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 06:00:00,264.099,265.71167
2009-01-06 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 09:00:00,263.98108,265.83594
2009-01-06 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 12:00:00,263.6872,265.72443
2009-01-06 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 15:00:00,263.3227,264.69257
2009-01-06 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 18:00:00,262.69202,264.0442
2009-01-06 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-06 21:00:00,261.67456,263.04065
2009-01-07 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 00:00:00,263.9182,265.20215
2009-01-07 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 03:00:00,263.42322,264.45093
2009-01-07 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 06:00:00,264.82068,265.59924
2009-01-07 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 09:00:00,264.5017,265.64062
2009-01-07 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 12:00:00,263.27994,265.58374
2009-01-07 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 15:00:00,263.1275,265.6638
2009-01-07 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 18:00:00,263.0003,265.57422
2009-01-07 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-07 21:00:00,265.24878,267.30713
2009-01-08 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 00:00:00,265.98438,267.11185
2009-01-08 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 03:00:00,265.30988,266.30658
2009-01-08 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 06:00:00,264.6006,265.49622
2009-01-08 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 09:00:00,265.2111,266.6974
2009-01-08 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 12:00:00,263.67834,268.0031
2009-01-08 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 15:00:00,263.2965,266.37387
2009-01-08 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 18:00:00,259.26917,260.48315
2009-01-08 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-08 21:00:00,259.66272,261.51196
2009-01-09 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 00:00:00,259.82867,261.58966
2009-01-09 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 03:00:00,260.0503,262.00372
2009-01-09 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 06:00:00,258.01788,259.8322
2009-01-09 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 09:00:00,260.51105,261.91595
2009-01-09 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 12:00:00,263.01166,264.73538
2009-01-09 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 15:00:00,263.15558,265.85223
2009-01-09 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 18:00:00,261.34875,261.87128
2009-01-09 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-09 21:00:00,259.65088,260.09174
2009-01-10 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 00:00:00,259.1284,260.4437
2009-01-10 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 03:00:00,258.00012,259.27924
2009-01-10 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 06:00:00,257.85425,258.88098
2009-01-10 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 09:00:00,260.72754,261.98047
2009-01-10 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 12:00:00,264.0799,266.59882
2009-01-10 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-10 15:00:00,264.69882,266.43423
