date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2008-05-01 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 00:00:00,282.0144,286.0834
2008-05-01 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 03:00:00,281.55795,284.92822
2008-05-01 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 06:00:00,281.76385,287.75793
2008-05-01 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 09:00:00,281.90436,290.82373
2008-05-01 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 12:00:00,282.46805,293.2091
2008-05-01 15:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 15:00:00,282.46613,293.06903
2008-05-01 18:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 18:00:00,284.11218,288.13242
2008-05-01 21:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 21:00:00,284.34125,286.0729
2008-05-02 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 00:00:00,283.1874,285.20673
2008-05-02 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 03:00:00,282.10812,284.01788
2008-05-02 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 06:00:00,282.75073,286.1673
2008-05-02 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 09:00:00,282.21243,290.0453
2008-05-02 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 12:00:00,279.45673,292.53537
2008-05-02 15:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 15:00:00,279.02795,292.4505
2008-05-02 18:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 18:00:00,278.7422,288.7683
2008-05-02 21:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 21:00:00,279.04254,285.48102
2008-05-03 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 00:00:00,277.92444,283.51837
2008-05-03 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 03:00:00,277.71347,282.67053
2008-05-03 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 06:00:00,279.55072,285.6783
2008-05-03 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 09:00:00,281.01907,290.21826
2008-05-03 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 12:00:00,280.43713,291.6869
