date,number,surface,latitude,longitude,d2m,t2m
2005-01-01,0,0,53.32,-9.88,278.2814,281.22958
2005-01-02,0,0,53.32,-9.88,276.13666,280.07736
2005-01-03,0,0,53.32,-9.88,280.43332,283.08792
2005-01-04,0,0,53.32,-9.88,277.3812,281.16858
2005-01-05,0,0,53.32,-9.88,278.3352,281.6662
2005-01-06,0,0,53.32,-9.88,280.2439,282.94318
2005-01-07,0,0,53.32,-9.88,281.40402,283.01456
2005-01-08,0,0,53.32,-9.88,276.47305,279.7927
2005-01-09,0,0,53.32,-9.88,281.4653,283.1364
2005-01-10,0,0,53.32,-9.88,279.1225,282.25165
2005-01-11,0,0,53.32,-9.88,277.78082,281.49396
2005-01-12,0,0,53.32,-9.88,275.4719,279.87967
2005-01-13,0,0,53.32,-9.88,277.67224,280.9176
2005-01-14,0,0,53.32,-9.88,281.7487,282.89087
2005-01-15,0,0,53.32,-9.88,280.84726,281.92142
2005-01-16,0,0,53.32,-9.88,279.70163,281.99567
2005-01-17,0,0,53.32,-9.88,276.89218,279.6258
2005-01-18,0,0,53.32,-9.88,274.84094,278.3185
2005-01-19,0,0,53.32,-9.88,281.06183,283.12018
2005-01-20,0,0,53.32,-9.88,281.83923,283.36288
2005-01-21,0,0,53.32,-9.88,278.06808,280.64368
2005-01-22,0,0,53.32,-9.88,279.50433,280.7379
2005-01-23,0,0,53.32,-9.88,273.23956,277.71387
2005-01-24,0,0,53.32,-9.88,276.22235,279.83603
2005-01-25,0,0,53.32,-9.88,277.72702,280.96368
2005-01-26,0,0,53.32,-9.88,279.9298,281.62296
2005-01-27,0,0,53.32,-9.88,277.7671,280.42334
2005-01-28,0,0,53.32,-9.88,278.28064,280.83267
2005-01-29,0,0,53.32,-9.88,279.80118,281.35577
2005-01-30,0,0,53.32,-9.88,279.07132,280.86142
2005-01-31,0,0,53.32,-9.88,279.36804,281.37915
2005-02-01,0,0,53.32,-9.88,277.95593,280.40738
2005-02-02,0,0,53.32,-9.88,279.34778,281.2152
2005-02-03,0,0,53.32,-9.88,279.47778,281.40805
2005-02-04,0,0,53.32,-9.88,279.59155,281.25256
2005-02-05,0,0,53.32,-9.88,275.3949,278.60422
2005-02-06,0,0,53.32,-9.88,276.46692,279.2004
2005-02-07,0,0,53.32,-9.88,277.45972,279.73648
2005-02-08,0,0,53.32,-9.88,277.44354,281.04272
2005-02-09,0,0,53.32,-9.88,280.3263,282.2445
2005-02-10,0,0,53.32,-9.88,277.25754,281.03937
2005-02-11,0,0,53.32,-9.88,280.56494,281.82303
2005-02-12,0,0,53.32,-9.88,279.00845,281.80054
2005-02-13,0,0,53.32,-9.88,274.49994,279.89594
2005-02-14,0,0,53.32,-9.88,276.5859,280.31558
2005-02-15,0,0,53.32,-9.88,278.6576,280.2348
2005-02-16,0,0,53.32,-9.88,280.06744,281.23682
2005-02-17,0,0,53.32,-9.88,278.5312,280.8788
2005-02-18,0,0,53.32,-9.88,279.14044,281.55945
2005-02-19,0,0,53.32,-9.88,277.72443,280.92627
2005-02-20,0,0,53.32,-9.88,274.6076,279.48004
2005-02-21,0,0,53.32,-9.88,277.2268,279.9907
2005-02-22,0,0,53.32,-9.88,273.43842,277.69382
2005-02-23,0,0,53.32,-9.88,272.62448,276.7543
2005-02-24,0,0,53.32,-9.88,272.0766,276.37497
2005-02-25,0,0,53.32,-9.88,272.7426,278.11206
2005-02-26,0,0,53.32,-9.88,274.56232,278.52673
2005-02-27,0,0,53.32,-9.88,273.83777,279.18442
2005-02-28,0,0,53.32,-9.88,274.52966,278.9403
2005-03-01,0,0,53.32,-9.88,274.95956,278.99686
2005-03-02,0,0,53.32,-9.88,273.85596,278.16006
2005-03-03,0,0,53.32,-9.88,273.79266,279.1654
2005-03-04,0,0,53.32,-9.88,278.73627,281.00525
2005-03-05,0,0,53.32,-9.88,276.9563,280.4874
2005-03-06,0,0,53.32,-9.88,274.27142,278.6867
2005-03-07,0,0,53.32,-9.88,277.55664,279.80966
2005-03-08,0,0,53.32,-9.88,277.23996,280.0537
2005-03-09,0,0,53.32,-9.88,276.9489,280.30994
2005-03-10,0,0,53.32,-9.88,278.22192,280.67114
2005-03-11,0,0,53.32,-9.88,277.19595,280.69962
2005-03-12,0,0,53.32,-9.88,274.11902,279.11954
2005-03-13,0,0,53.32,-9.88,274.03226,277.86597
2005-03-14,0,0,53.32,-9.88,278.59705,280.76703
2005-03-15,0,0,53.32,-9.88,281.61844,282.83386
2005-03-16,0,0,53.32,-9.88,281.8682,283.16263
2005-03-17,0,0,53.32,-9.88,281.8095,282.891
2005-03-18,0,0,53.32,-9.88,281.67346,282.6175
