date,number,surface,latitude,longitude,d2m,t2m
2008-01-01,0,0,51.53,12.9,272.7444,273.30084
2008-01-02,0,0,51.53,12.9,270.07492,271.84256
2008-01-03,0,0,51.53,12.9,267.71082,270.70026
2008-01-04,0,0,51.53,12.9,266.07886,269.41797
2008-01-05,0,0,51.53,12.9,268.60284,272.44238
2008-01-06,0,0,51.53,12.9,273.38943,274.74228
2008-01-07,0,0,51.53,12.9,273.7698,275.39432
2008-01-08,0,0,51.53,12.9,274.19086,278.00177
2008-01-09,0,0,51.53,12.9,273.21954,276.40326
2008-01-10,0,0,51.53,12.9,275.2471,277.52277
2008-01-11,0,0,51.53,12.9,275.1974,280.59067
2008-01-12,0,0,51.53,12.9,273.47968,277.6416
2008-01-13,0,0,51.53,12.9,272.98798,275.91504
2008-01-14,0,0,51.53,12.9,273.55258,276.12988
2008-01-15,0,0,51.53,12.9,274.2422,278.39154
2008-01-16,0,0,51.53,12.9,275.11484,279.83078
2008-01-17,0,0,51.53,12.9,275.71964,278.55585
2008-01-18,0,0,51.53,12.9,276.38025,280.0973
2008-01-19,0,0,51.53,12.9,280.97272,283.76666
2008-01-20,0,0,51.53,12.9,281.5091,283.07843
2008-01-21,0,0,51.53,12.9,280.5205,283.3249
2008-01-22,0,0,51.53,12.9,274.42102,277.59186
2008-01-23,0,0,51.53,12.9,272.44293,276.06015
2008-01-24,0,0,51.53,12.9,276.00446,279.66312
2008-01-25,0,0,51.53,12.9,272.59457,278.26202
2008-01-26,0,0,51.53,12.9,275.2604,280.54984
2008-01-27,0,0,51.53,12.9,278.02408,279.8529
2008-01-28,0,0,51.53,12.9,278.84235,279.60773
2008-01-29,0,0,51.53,12.9,277.12292,279.19995
2008-01-30,0,0,51.53,12.9,274.7931,277.1822
2008-01-31,0,0,51.53,12.9,272.13754,275.73743
2008-02-01,0,0,51.53,12.9,273.73645,278.41437
2008-02-02,0,0,51.53,12.9,272.6793,276.12308
2008-02-03,0,0,51.53,12.9,269.87106,274.3183
2008-02-04,0,0,51.53,12.9,272.18787,275.957
2008-02-05,0,0,51.53,12.9,274.34656,278.4423
2008-02-06,0,0,51.53,12.9,277.95242,281.04837
2008-02-07,0,0,51.53,12.9,273.62674,277.5808
2008-02-08,0,0,51.53,12.9,273.83298,278.05173
2008-02-09,0,0,51.53,12.9,274.43192,278.81708
2008-02-10,0,0,51.53,12.9,274.71005,278.22968
2008-02-11,0,0,51.53,12.9,274.34805,276.69928
2008-02-12,0,0,51.53,12.9,275.86084,277.02512
2008-02-13,0,0,51.53,12.9,273.91153,276.24396
2008-02-14,0,0,51.53,12.9,273.20422,274.4942
2008-02-15,0,0,51.53,12.9,267.8853,272.43527
2008-02-16,0,0,51.53,12.9,264.73904,269.936
2008-02-17,0,0,51.53,12.9,264.49817,271.07123
2008-02-18,0,0,51.53,12.9,270.10815,275.34454
2008-02-19,0,0,51.53,12.9,275.425,277.09808
2008-02-20,0,0,51.53,12.9,274.20633,276.71625
2008-02-21,0,0,51.53,12.9,276.1139,279.24164
2008-02-22,0,0,51.53,12.9,278.81506,282.5475
2008-02-23,0,0,51.53,12.9,275.5289,282.07596
2008-02-24,0,0,51.53,12.9,277.32733,283.03204
2008-02-25,0,0,51.53,12.9,276.52957,279.7486
2008-02-26,0,0,51.53,12.9,278.6251,282.82935
2008-02-27,0,0,51.53,12.9,276.1147,280.89954
2008-02-28,0,0,51.53,12.9,273.64746,278.70612
2008-02-29,0,0,51.53,12.9,275.34332,279.42545
2008-03-01,0,0,51.53,12.9,277.14337,280.88092
2008-03-02,0,0,51.53,12.9,276.19586,280.27246
2008-03-03,0,0,51.53,12.9,275.02737,279.76953
2008-03-04,0,0,51.53,12.9,270.81705,275.9276
2008-03-05,0,0,51.53,12.9,267.82266,273.433
2008-03-06,0,0,51.53,12.9,268.50983,275.78156
2008-03-07,0,0,51.53,12.9,276.92322,279.76746
2008-03-08,0,0,51.53,12.9,277.65942,279.3515
2008-03-09,0,0,51.53,12.9,275.56464,280.1004
2008-03-10,0,0,51.53,12.9,274.87592,281.64655
2008-03-11,0,0,51.53,12.9,276.29266,281.5912
2008-03-12,0,0,51.53,12.9,276.0949,281.0202
2008-03-13,0,0,51.53,12.9,273.78503,279.4985
2008-03-14,0,0,51.53,12.9,274.9921,278.66974
2008-03-15,0,0,51.53,12.9,273.49408,278.90283
2008-03-16,0,0,51.53,12.9,276.6434,279.71115
2008-03-17,0,0,51.53,12.9,273.6619,277.2773
2008-03-18,0,0,51.53,12.9,271.50287,274.26724
2008-03-19,0,0,51.53,12.9,272.1723,273.87027
2008-03-20,0,0,51.53,12.9,271.71112,274.37137
2008-03-21,0,0,51.53,12.9,274.23413,276.95978
2008-03-22,0,0,51.53,12.9,272.80545,275.72882
2008-03-23,0,0,51.53,12.9,271.22876,272.8948
2008-03-24,0,0,51.53,12.9,268.31592,273.5133
