date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2011-12-01 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 00:00:00,271.7364,275.8142
2011-12-01 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 03:00:00,271.83215,278.14737
2011-12-01 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 06:00:00,271.2143,278.5588
2011-12-01 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 09:00:00,270.3767,277.50998
2011-12-01 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 12:00:00,270.5764,276.90845
2011-12-01 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 15:00:00,270.31198,276.0417
2011-12-01 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 18:00:00,270.22473,275.61295
2011-12-01 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-01 21:00:00,270.33276,274.79037
2011-12-02 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 00:00:00,271.0314,275.19397
2011-12-02 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 03:00:00,270.99652,278.1759
2011-12-02 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 06:00:00,270.61755,280.3409
2011-12-02 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 09:00:00,271.54803,278.19272
2011-12-02 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 12:00:00,272.20236,276.45795
2011-12-02 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 15:00:00,272.92157,275.58896
2011-12-02 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 18:00:00,272.97815,275.44757
2011-12-02 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-02 21:00:00,272.68402,274.33453
2011-12-03 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 00:00:00,273.5033,275.51538
2011-12-03 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 03:00:00,272.9934,280.35452
2011-12-03 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 06:00:00,271.88904,282.39975
2011-12-03 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 09:00:00,272.82327,279.48816
2011-12-03 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 12:00:00,272.98694,276.88672
2011-12-03 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 15:00:00,272.50067,275.77618
2011-12-03 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 18:00:00,272.28207,274.85693
2011-12-03 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-03 21:00:00,271.59045,273.72272
2011-12-04 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 00:00:00,273.56332,276.44977
2011-12-04 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 03:00:00,274.85687,282.1008
2011-12-04 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 06:00:00,275.42075,284.27875
2011-12-04 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 09:00:00,275.73422,283.08856
2011-12-04 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 12:00:00,276.98666,281.7735
2011-12-04 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 15:00:00,277.4326,281.89572
2011-12-04 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 18:00:00,277.4839,280.97537
2011-12-04 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-04 21:00:00,277.0744,281.13284
2011-12-05 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 00:00:00,278.12018,281.8564
2011-12-05 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 03:00:00,278.93744,284.78137
2011-12-05 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 06:00:00,278.93588,286.41925
2011-12-05 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 09:00:00,280.13635,285.29575
2011-12-05 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 12:00:00,279.84317,285.12836
2011-12-05 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 15:00:00,280.0984,284.15897
2011-12-05 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 18:00:00,280.7835,284.39462
2011-12-05 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-05 21:00:00,280.78235,283.7777
2011-12-06 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 00:00:00,281.23727,283.36133
2011-12-06 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 03:00:00,282.29214,286.25488
2011-12-06 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 06:00:00,281.8784,287.9897
2011-12-06 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 09:00:00,283.392,285.41605
2011-12-06 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 12:00:00,283.0103,284.43292
2011-12-06 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 15:00:00,282.8922,284.1761
2011-12-06 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 18:00:00,282.76483,283.88672
2011-12-06 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-06 21:00:00,282.7627,283.56818
2011-12-07 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 00:00:00,282.79623,283.55548
2011-12-07 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 03:00:00,282.72485,283.44778
2011-12-07 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 06:00:00,282.29016,283.00348
2011-12-07 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 09:00:00,281.3733,281.97034
2011-12-07 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 12:00:00,280.27203,281.0715
2011-12-07 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 15:00:00,279.85114,280.6473
2011-12-07 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 18:00:00,279.88663,280.64737
2011-12-07 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-07 21:00:00,279.1806,280.3806
2011-12-08 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 00:00:00,276.67065,278.88333
2011-12-08 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 03:00:00,274.11523,279.18484
2011-12-08 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 06:00:00,271.33148,279.87164
2011-12-08 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 09:00:00,269.9061,278.16922
2011-12-08 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 12:00:00,269.82507,276.46948
2011-12-08 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 15:00:00,269.49835,274.64703
2011-12-08 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 18:00:00,268.87738,274.2713
2011-12-08 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-08 21:00:00,268.03824,272.61182
2011-12-09 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 00:00:00,267.88077,272.2725
2011-12-09 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 03:00:00,266.39026,275.34702
2011-12-09 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 06:00:00,265.1015,276.8312
2011-12-09 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 09:00:00,265.42484,274.90735
2011-12-09 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 12:00:00,266.55725,273.57483
2011-12-09 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 15:00:00,267.4241,272.1983
2011-12-09 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 18:00:00,267.91406,271.09857
2011-12-09 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-09 21:00:00,267.8993,270.63373
2011-12-10 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 00:00:00,267.76486,271.27606
2011-12-10 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 03:00:00,265.74973,275.91315
2011-12-10 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 06:00:00,266.39038,278.1729
2011-12-10 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 09:00:00,266.44254,276.81488
2011-12-10 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 12:00:00,268.2001,273.6858
2011-12-10 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 15:00:00,268.65546,272.02896
2011-12-10 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 18:00:00,268.34085,270.90552
2011-12-10 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-10 21:00:00,268.47864,270.76392
2011-12-11 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 00:00:00,269.5575,271.71002
2011-12-11 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 03:00:00,265.9209,278.04834
2011-12-11 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 06:00:00,264.87372,280.1133
2011-12-11 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 09:00:00,263.89365,279.2519
2011-12-11 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 12:00:00,267.41837,276.1889
2011-12-11 15:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 15:00:00,269.44302,274.3868
2011-12-11 18:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 18:00:00,269.4912,273.5911
2011-12-11 21:00:00,0,0 days,0.0,32.2,118.9,2011-12-11 21:00:00,269.6754,273.28476
2011-12-12 00:00:00,0,0 days,0.0,32.2,118.9,2011-12-12 00:00:00,270.4911,272.97833
2011-12-12 03:00:00,0,0 days,0.0,32.2,118.9,2011-12-12 03:00:00,268.70703,279.33115
2011-12-12 06:00:00,0,0 days,0.0,32.2,118.9,2011-12-12 06:00:00,267.03214,281.86777
2011-12-12 09:00:00,0,0 days,0.0,32.2,118.9,2011-12-12 09:00:00,268.5155,279.332
2011-12-12 12:00:00,0,0 days,0.0,32.2,118.9,2011-12-12 12:00:00,270.06305,275.11078
