date,number,surface,latitude,longitude,d2m,t2m
2011-04-01,0,0,53.14,13.03,281.02634,286.9368
2011-04-02,0,0,53.14,13.03,284.30975,288.53864
2011-04-03,0,0,53.14,13.03,283.94592,288.54706
2011-04-04,0,0,53.14,13.03,281.50702,284.04767
2011-04-05,0,0,53.14,13.03,278.11295,283.1528
2011-04-06,0,0,53.14,13.03,281.9762,285.65015
2011-04-07,0,0,53.14,13.03,281.96912,286.90625
2011-04-08,0,0,53.14,13.03,277.074,282.7556
2011-04-09,0,0,53.14,13.03,274.1549,282.1749
2011-04-10,0,0,53.14,13.03,274.29852,282.80243
2011-04-11,0,0,53.14,13.03,277.79294,285.41367
2011-04-12,0,0,53.14,13.03,277.2377,281.7005
2011-04-13,0,0,53.14,13.03,277.3133,278.7522
2011-04-14,0,0,53.14,13.03,277.82928,279.67184
2011-04-15,0,0,53.14,13.03,276.4452,280.76752
2011-04-16,0,0,53.14,13.03,275.0368,282.22836
2011-04-17,0,0,53.14,13.03,277.71292,284.85056
2011-04-18,0,0,53.14,13.03,278.963,284.48938
2011-04-19,0,0,53.14,13.03,279.2885,286.12622
2011-04-20,0,0,53.14,13.03,277.32892,287.08752
2011-04-21,0,0,53.14,13.03,277.22485,286.96063
2011-04-22,0,0,53.14,13.03,277.5671,288.14264
2011-04-23,0,0,53.14,13.03,277.69,288.89795
2011-04-24,0,0,53.14,13.03,278.2056,287.0389
2011-04-25,0,0,53.14,13.03,278.69067,285.33966
2011-04-26,0,0,53.14,13.03,280.4778,286.11658
2011-04-27,0,0,53.14,13.03,281.93842,287.1712
2011-04-28,0,0,53.14,13.03,280.26526,287.58582
2011-04-29,0,0,53.14,13.03,278.88974,286.66766
2011-04-30,0,0,53.14,13.03,274.242,283.60342
2011-05-01,0,0,53.14,13.03,274.64813,281.37485
2011-05-02,0,0,53.14,13.03,273.2865,279.4656
2011-05-03,0,0,53.14,13.03,270.49408,279.4315
2011-05-04,0,0,53.14,13.03,273.01727,279.89194
2011-05-05,0,0,53.14,13.03,272.47504,281.13318
2011-05-06,0,0,53.14,13.03,274.33493,285.3381
2011-05-07,0,0,53.14,13.03,276.01205,287.89413
2011-05-08,0,0,53.14,13.03,277.96448,287.47766
2011-05-09,0,0,53.14,13.03,278.58105,289.79742
2011-05-10,0,0,53.14,13.03,280.13968,291.26404
2011-05-11,0,0,53.14,13.03,283.01724,291.0111
2011-05-12,0,0,53.14,13.03,284.3848,288.53278
2011-05-13,0,0,53.14,13.03,281.02914,286.34726
2011-05-14,0,0,53.14,13.03,280.44623,286.17334
2011-05-15,0,0,53.14,13.03,279.67175,284.30237
2011-05-16,0,0,53.14,13.03,280.3741,283.55978
2011-05-17,0,0,53.14,13.03,284.3348,286.83542
2011-05-18,0,0,53.14,13.03,283.91763,289.10236
2011-05-19,0,0,53.14,13.03,284.86865,289.84122
2011-05-20,0,0,53.14,13.03,285.568,289.11926
2011-05-21,0,0,53.14,13.03,283.75055,289.43964
2011-05-22,0,0,53.14,13.03,284.68127,291.43008
2011-05-23,0,0,53.14,13.03,281.16565,288.9695
2011-05-24,0,0,53.14,13.03,280.23843,288.17624
2011-05-25,0,0,53.14,13.03,277.2045,286.28314
2011-05-26,0,0,53.14,13.03,279.71933,290.25717
2011-05-27,0,0,53.14,13.03,281.3098,288.35715
2011-05-28,0,0,53.14,13.03,279.386,286.3321
2011-05-29,0,0,53.14,13.03,282.09213,289.04138
2011-05-30,0,0,53.14,13.03,284.4151,294.38535
2011-05-31,0,0,53.14,13.03,286.7529,294.09442
2011-06-01,0,0,53.14,13.03,281.04236,287.41904
2011-06-02,0,0,53.14,13.03,280.22992,288.59702
2011-06-03,0,0,53.14,13.03,284.73102,290.90186
2011-06-04,0,0,53.14,13.03,285.5886,292.59573
2011-06-05,0,0,53.14,13.03,287.27692,295.5067
2011-06-06,0,0,53.14,13.03,288.70944,296.3695
2011-06-07,0,0,53.14,13.03,289.79108,292.88058
2011-06-08,0,0,53.14,13.03,290.06982,292.06686
2011-06-09,0,0,53.14,13.03,282.9082,289.3024
2011-06-10,0,0,53.14,13.03,281.99396,289.22617
2011-06-11,0,0,53.14,13.03,283.76392,289.30566
2011-06-12,0,0,53.14,13.03,283.1098,289.1814
2011-06-13,0,0,53.14,13.03,283.72614,291.3188
2011-06-14,0,0,53.14,13.03,285.96454,291.54855
2011-06-15,0,0,53.14,13.03,284.14072,290.42816
2011-06-16,0,0,53.14,13.03,287.0911,293.1883
2011-06-17,0,0,53.14,13.03,283.89282,290.32532
2011-06-18,0,0,53.14,13.03,284.62177,289.5771
2011-06-19,0,0,53.14,13.03,282.30255,286.38654
2011-06-20,0,0,53.14,13.03,282.3127,288.24075
2011-06-21,0,0,53.14,13.03,285.4706,289.18295
2011-06-22,0,0,53.14,13.03,287.3186,291.5904
2011-06-23,0,0,53.14,13.03,284.71823,289.67093
2011-06-24,0,0,53.14,13.03,283.4141,287.568
2011-06-25,0,0,53.14,13.03,281.74957,287.3344
2011-06-26,0,0,53.14,13.03,285.8055,289.29944
2011-06-27,0,0,53.14,13.03,286.14813,292.52887
2011-06-28,0,0,53.14,13.03,284.35596,293.3244
2011-06-29,0,0,53.14,13.03,285.18707,294.56595
2011-06-30,0,0,53.14,13.03,286.9519,289.1147
2011-07-01,0,0,53.14,13.03,281.7774,287.8605
2011-07-02,0,0,53.14,13.03,284.07816,285.75174
2011-07-03,0,0,53.14,13.03,288.8927,290.57596
2011-07-04,0,0,53.14,13.03,289.30438,290.07092
2011-07-05,0,0,53.14,13.03,287.76657,291.79785
2011-07-06,0,0,53.14,13.03,286.73676,292.59296
2011-07-07,0,0,53.14,13.03,288.2815,293.44785
2011-07-08,0,0,53.14,13.03,288.2566,293.10925
2011-07-09,0,0,53.14,13.03,287.4239,294.18842
2011-07-10,0,0,53.14,13.03,286.99347,293.02924
2011-07-11,0,0,53.14,13.03,286.35132,291.12198
2011-07-12,0,0,53.14,13.03,286.87656,292.4642
2011-07-13,0,0,53.14,13.03,288.47012,293.3918
2011-07-14,0,0,53.14,13.03,286.68008,291.16458
2011-07-15,0,0,53.14,13.03,284.14078,288.72736
2011-07-16,0,0,53.14,13.03,284.01785,291.44516
2011-07-17,0,0,53.14,13.03,286.75507,292.34314
2011-07-18,0,0,53.14,13.03,285.51724,290.84973
2011-07-19,0,0,53.14,13.03,284.2495,291.66705
2011-07-20,0,0,53.14,13.03,286.53668,291.72116
2011-07-21,0,0,53.14,13.03,287.15652,289.75818
2011-07-22,0,0,53.14,13.03,285.91714,287.0174
2011-07-23,0,0,53.14,13.03,283.6146,287.72266
2011-07-24,0,0,53.14,13.03,282.06897,287.48898
2011-07-25,0,0,53.14,13.03,284.16577,287.38568
2011-07-26,0,0,53.14,13.03,285.59143,290.02777
2011-07-27,0,0,53.14,13.03,286.1743,291.293
2011-07-28,0,0,53.14,13.03,287.07062,290.29086
2011-07-29,0,0,53.14,13.03,286.71906,287.99408
2011-07-30,0,0,53.14,13.03,288.84753,289.92743
2011-07-31,0,0,53.14,13.03,289.20605,290.41592
2011-08-01,0,0,53.14,13.03,289.82114,291.36948
2011-08-02,0,0,53.14,13.03,287.0729,292.30652
2011-08-03,0,0,53.14,13.03,287.88257,293.26913
2011-08-04,0,0,53.14,13.03,288.44012,293.00922
2011-08-05,0,0,53.14,13.03,290.93326,293.28122
2011-08-06,0,0,53.14,13.03,290.5236,294.2433
2011-08-07,0,0,53.14,13.03,288.45465,292.8974
2011-08-08,0,0,53.14,13.03,285.41916,289.11618
2011-08-09,0,0,53.14,13.03,284.3383,288.6558
2011-08-10,0,0,53.14,13.03,282.9375,287.67337
2011-08-11,0,0,53.14,13.03,286.25873,289.34863
2011-08-12,0,0,53.14,13.03,287.9041,290.55457
2011-08-13,0,0,53.14,13.03,287.60565,290.7346
2011-08-14,0,0,53.14,13.03,288.85574,291.53186
2011-08-15,0,0,53.14,13.03,287.01508,291.10898
2011-08-16,0,0,53.14,13.03,284.49414,289.2283
2011-08-17,0,0,53.14,13.03,285.81458,291.16675
2011-08-18,0,0,53.14,13.03,287.5705,292.1853
2011-08-19,0,0,53.14,13.03,287.71222,291.92792
2011-08-20,0,0,53.14,13.03,283.64612,289.5432
2011-08-21,0,0,53.14,13.03,286.36282,292.20358
2011-08-22,0,0,53.14,13.03,288.7377,293.77698
2011-08-23,0,0,53.14,13.03,286.7645,290.41202
2011-08-24,0,0,53.14,13.03,289.76562,293.80786
2011-08-25,0,0,53.14,13.03,290.75247,293.40192
2011-08-26,0,0,53.14,13.03,292.0122,296.54126
2011-08-27,0,0,53.14,13.03,289.87445,291.40833
2011-08-28,0,0,53.14,13.03,284.3377,288.36157
2011-08-29,0,0,53.14,13.03,283.23013,287.0546
2011-08-30,0,0,53.14,13.03,282.3568,286.22217
2011-08-31,0,0,53.14,13.03,283.76755,286.3925
2011-09-01,0,0,53.14,13.03,283.5357,286.94714
2011-09-02,0,0,53.14,13.03,282.89496,287.35773
2011-09-03,0,0,53.14,13.03,286.26804,291.47614
2011-09-04,0,0,53.14,13.03,288.90027,293.83517
2011-09-05,0,0,53.14,13.03,289.19434,291.59515
2011-09-06,0,0,53.14,13.03,283.44434,289.1309
2011-09-07,0,0,53.14,13.03,284.53143,288.18994
2011-09-08,0,0,53.14,13.03,284.21823,286.16043
2011-09-09,0,0,53.14,13.03,284.9219,286.81134
2011-09-10,0,0,53.14,13.03,288.74036,290.4517
2011-09-11,0,0,53.14,13.03,290.4499,293.53296
2011-09-12,0,0,53.14,13.03,287.1327,290.85504
2011-09-13,0,0,53.14,13.03,284.99988,291.05258
2011-09-14,0,0,53.14,13.03,281.82666,287.64844
2011-09-15,0,0,53.14,13.03,282.3706,286.91434
2011-09-16,0,0,53.14,13.03,280.5233,284.64404
2011-09-17,0,0,53.14,13.03,283.209,286.98914
2011-09-18,0,0,53.14,13.03,286.94165,288.02478
2011-09-19,0,0,53.14,13.03,283.345,286.45667
2011-09-20,0,0,53.14,13.03,283.02472,286.3895
2011-09-21,0,0,53.14,13.03,283.56305,287.519
2011-09-22,0,0,53.14,13.03,283.25473,287.65308
2011-09-23,0,0,53.14,13.03,280.57,284.76404
2011-09-24,0,0,53.14,13.03,281.5505,284.9338
2011-09-25,0,0,53.14,13.03,283.40625,286.78665
2011-09-26,0,0,53.14,13.03,285.38617,288.79498
2011-09-27,0,0,53.14,13.03,286.07602,288.46277
2011-09-28,0,0,53.14,13.03,282.83472,285.78503
2011-09-29,0,0,53.14,13.03,284.15735,287.899
2011-09-30,0,0,53.14,13.03,284.2774,288.33688
2011-10-01,0,0,53.14,13.03,285.06284,288.82462
2011-10-02,0,0,53.14,13.03,285.41458,288.72095
2011-10-03,0,0,53.14,13.03,285.73746,289.3095
2011-10-04,0,0,53.14,13.03,286.01324,290.9814
2011-10-05,0,0,53.14,13.03,284.82852,288.49255
2011-10-06,0,0,53.14,13.03,284.4953,288.5039
2011-10-07,0,0,53.14,13.03,279.2322,282.51556
2011-10-08,0,0,53.14,13.03,279.35333,281.89142
2011-10-09,0,0,53.14,13.03,278.4893,281.69717
2011-10-10,0,0,53.14,13.03,283.76727,285.0592
2011-10-11,0,0,53.14,13.03,284.20248,285.1336
2011-10-12,0,0,53.14,13.03,279.74017,283.07983
2011-10-13,0,0,53.14,13.03,278.27737,281.39038
2011-10-14,0,0,53.14,13.03,275.08258,278.22638
2011-10-15,0,0,53.14,13.03,274.88937,277.47278
2011-10-16,0,0,53.14,13.03,275.83002,279.65814
2011-10-17,0,0,53.14,13.03,277.37463,280.5142
2011-10-18,0,0,53.14,13.03,279.4874,281.7039
2011-10-19,0,0,53.14,13.03,277.97162,281.34344
2011-10-20,0,0,53.14,13.03,276.6866,279.49396
2011-10-21,0,0,53.14,13.03,276.48862,278.9241
2011-10-22,0,0,53.14,13.03,275.17322,278.11722
2011-10-23,0,0,53.14,13.03,275.07858,277.8313
2011-10-24,0,0,53.14,13.03,277.9816,279.23163
2011-10-25,0,0,53.14,13.03,278.65042,281.71048
2011-10-26,0,0,53.14,13.03,281.1854,283.3905
2011-10-27,0,0,53.14,13.03,281.10425,281.848
2011-10-28,0,0,53.14,13.03,281.74362,283.62317
2011-10-29,0,0,53.14,13.03,281.81744,282.781
2011-10-30,0,0,53.14,13.03,282.98935,284.73843
2011-10-31,0,0,53.14,13.03,284.00745,285.1792
2011-11-01,0,0,53.14,13.03,282.24005,283.99188
2011-11-02,0,0,53.14,13.03,280.0044,280.88046
2011-11-03,0,0,53.14,13.03,279.0719,280.77502
2011-11-04,0,0,53.14,13.03,278.40485,280.04517
2011-11-05,0,0,53.14,13.03,278.891,280.52838
2011-11-06,0,0,53.14,13.03,279.70065,280.8271
2011-11-07,0,0,53.14,13.03,279.00665,280.2502
2011-11-08,0,0,53.14,13.03,277.90082,278.88275
2011-11-09,0,0,53.14,13.03,277.38046,277.7036
2011-11-10,0,0,53.14,13.03,276.41446,277.20685
2011-11-11,0,0,53.14,13.03,272.34167,274.86374
2011-11-12,0,0,53.14,13.03,271.73248,274.43564
2011-11-13,0,0,53.14,13.03,272.66843,274.40155
2011-11-14,0,0,53.14,13.03,272.7989,273.21625
2011-11-15,0,0,53.14,13.03,274.68115,275.1895
2011-11-16,0,0,53.14,13.03,274.98743,276.23535
2011-11-17,0,0,53.14,13.03,272.67822,273.10562
2011-11-18,0,0,53.14,13.03,273.7669,274.30524
2011-11-19,0,0,53.14,13.03,277.85205,278.37015
2011-11-20,0,0,53.14,13.03,276.9776,277.7686
2011-11-21,0,0,53.14,13.03,274.18976,274.95135
2011-11-22,0,0,53.14,13.03,273.3228,274.37744
2011-11-23,0,0,53.14,13.03,273.6355,274.00635
2011-11-24,0,0,53.14,13.03,277.48267,277.9926
2011-11-25,0,0,53.14,13.03,276.61395,278.9219
2011-11-26,0,0,53.14,13.03,276.8537,279.81226
