date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2010-10-01 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 00:00:00,291.52112,292.20233
2010-10-01 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 03:00:00,291.37692,291.83795
2010-10-01 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 06:00:00,291.18173,291.7058
2010-10-01 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 09:00:00,291.00958,292.10498
2010-10-01 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 12:00:00,291.83795,293.45923
2010-10-01 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 15:00:00,292.32648,295.47638
2010-10-01 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 18:00:00,291.9748,294.50928
2010-10-01 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 21:00:00,291.6242,292.44116
2010-10-02 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 00:00:00,291.55927,292.1577
2010-10-02 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 03:00:00,291.83844,292.1814
2010-10-02 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 06:00:00,291.39,291.73065
2010-10-02 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 09:00:00,291.5608,291.74243
2010-10-02 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 12:00:00,291.49832,292.81903
2010-10-02 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 15:00:00,290.97577,294.72513
2010-10-02 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 18:00:00,291.20584,294.11914
2010-10-02 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 21:00:00,290.7152,291.91248
2010-10-03 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 00:00:00,288.62573,290.50748
2010-10-03 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 03:00:00,287.8828,289.36636
2010-10-03 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 06:00:00,287.05905,288.17972
2010-10-03 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 09:00:00,286.91507,288.42853
2010-10-03 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 12:00:00,286.63684,288.95917
2010-10-03 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 15:00:00,287.0165,290.2356
2010-10-03 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 18:00:00,286.86426,290.08585
2010-10-03 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 21:00:00,286.18573,288.61798
2010-10-04 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 00:00:00,286.28625,288.11826
