date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2006-01-01 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 00:00:00,275.76508,276.5495
2006-01-01 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 03:00:00,275.1465,275.5964
2006-01-01 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 06:00:00,274.5525,275.33398
2006-01-01 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 09:00:00,273.86594,275.73682
2006-01-01 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 12:00:00,274.40048,277.75995
2006-01-01 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 15:00:00,273.6382,277.175
2006-01-01 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 18:00:00,272.86505,275.40866
2006-01-01 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 21:00:00,273.24127,275.35583
2006-01-02 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 00:00:00,273.64978,275.30756
2006-01-02 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 03:00:00,273.71182,274.53177
2006-01-02 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 06:00:00,273.8222,274.39264
2006-01-02 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 09:00:00,274.068,274.84186
2006-01-02 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 12:00:00,274.1308,276.16733
2006-01-02 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 15:00:00,274.3297,276.33447
2006-01-02 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 18:00:00,273.42682,275.40063
2006-01-02 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 21:00:00,272.82544,274.49323
2006-01-03 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 00:00:00,272.68436,274.11652
2006-01-03 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 03:00:00,272.65976,273.85007
2006-01-03 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 06:00:00,272.59793,273.51968
2006-01-03 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 09:00:00,272.6445,273.68332
2006-01-03 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 12:00:00,272.0075,275.77972
2006-01-03 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 15:00:00,272.53323,275.81238
2006-01-03 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 18:00:00,272.91876,274.9005
2006-01-03 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 21:00:00,272.44464,273.64465
2006-01-04 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 00:00:00,271.60754,272.68924
2006-01-04 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 03:00:00,271.30542,272.28366
2006-01-04 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 06:00:00,270.71295,272.11728
2006-01-04 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 09:00:00,270.43896,272.28235
2006-01-04 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 12:00:00,269.98837,273.29944
2006-01-04 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 15:00:00,269.59186,273.5185
2006-01-04 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 18:00:00,269.62454,273.47357
2006-01-04 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 21:00:00,269.98386,273.2486
2006-01-05 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 00:00:00,270.18753,272.91833
2006-01-05 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 03:00:00,270.20566,272.54196
2006-01-05 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 06:00:00,269.9642,272.1515
2006-01-05 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 09:00:00,269.66565,271.9903
2006-01-05 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 12:00:00,269.2469,273.29163
2006-01-05 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 15:00:00,269.27838,273.50336
2006-01-05 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 18:00:00,268.7822,271.3525
2006-01-05 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 21:00:00,268.50064,270.52698
2006-01-06 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 00:00:00,267.99713,269.80783
2006-01-06 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 03:00:00,267.67612,269.31836
2006-01-06 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 06:00:00,267.8678,269.4538
2006-01-06 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 09:00:00,268.9292,270.7132
2006-01-06 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 12:00:00,269.28537,271.7397
2006-01-06 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 15:00:00,269.2249,272.06586
2006-01-06 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 18:00:00,268.84348,270.72333
2006-01-06 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 21:00:00,268.22958,269.8236
2006-01-07 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 00:00:00,268.01544,269.5472
2006-01-07 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 03:00:00,268.16074,269.5593
2006-01-07 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 06:00:00,267.75842,269.27155
2006-01-07 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 09:00:00,268.42322,270.1792
2006-01-07 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 12:00:00,268.64557,271.44034
2006-01-07 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 15:00:00,268.2858,271.32852
2006-01-07 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 18:00:00,267.84732,269.67105
2006-01-07 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 21:00:00,267.8589,269.473
2006-01-08 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 00:00:00,267.68628,269.36255
2006-01-08 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 03:00:00,267.45435,269.05173
2006-01-08 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 06:00:00,267.47992,268.97244
2006-01-08 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 09:00:00,268.3055,269.94482
2006-01-08 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 12:00:00,268.79828,272.2485
2006-01-08 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 15:00:00,268.55148,271.8547
2006-01-08 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 18:00:00,267.5708,269.4013
2006-01-08 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 21:00:00,267.19205,268.76398
2006-01-09 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 00:00:00,266.69452,267.85168
2006-01-09 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 03:00:00,266.5939,267.58716
2006-01-09 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 06:00:00,266.59634,267.62512
2006-01-09 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 09:00:00,267.40198,268.7003
2006-01-09 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 12:00:00,268.4751,270.99585
2006-01-09 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 15:00:00,269.09048,270.9045
2006-01-09 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 18:00:00,267.0772,268.62955
2006-01-09 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 21:00:00,267.16693,268.36615
2006-01-10 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 00:00:00,267.0166,268.02716
2006-01-10 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 03:00:00,266.61,267.8957
2006-01-10 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 06:00:00,266.03357,267.18735
2006-01-10 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 09:00:00,266.5238,267.92468
2006-01-10 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 12:00:00,267.4039,270.9558
2006-01-10 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 15:00:00,267.83142,271.63135
2006-01-10 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 18:00:00,267.35895,270.22418
2006-01-10 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 21:00:00,266.75644,268.7447
2006-01-11 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 00:00:00,266.02444,267.6899
2006-01-11 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 03:00:00,266.1792,267.976
2006-01-11 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 06:00:00,265.51157,267.79373
2006-01-11 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 09:00:00,265.57144,267.59973
2006-01-11 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 12:00:00,265.70087,271.7255
2006-01-11 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 15:00:00,267.41534,272.5362
2006-01-11 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 18:00:00,266.37354,269.72754
2006-01-11 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 21:00:00,265.87567,269.4154
2006-01-12 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 00:00:00,266.07117,270.64572
2006-01-12 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 03:00:00,266.04785,270.63153
2006-01-12 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 06:00:00,267.00635,270.29584
2006-01-12 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 09:00:00,267.65527,270.97424
2006-01-12 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 12:00:00,269.16675,272.77356
