date,number,surface,latitude,longitude,d2m,t2m
2018-02-01,0,0,25.23,55.98,283.5306,291.77155
2018-02-02,0,0,25.23,55.98,283.86328,291.89615
2018-02-03,0,0,25.23,55.98,282.45935,292.2952
2018-02-04,0,0,25.23,55.98,283.6765,292.70288
2018-02-05,0,0,25.23,55.98,285.32297,292.47696
2018-02-06,0,0,25.23,55.98,284.56943,291.90222
2018-02-07,0,0,25.23,55.98,283.92725,292.2636
2018-02-08,0,0,25.23,55.98,283.89368,292.67532
2018-02-09,0,0,25.23,55.98,285.32846,293.04453
2018-02-10,0,0,25.23,55.98,284.63016,292.46924
2018-02-11,0,0,25.23,55.98,283.67084,293.3787
2018-02-12,0,0,25.23,55.98,281.1904,294.57544
2018-02-13,0,0,25.23,55.98,285.2439,295.9228
2018-02-14,0,0,25.23,55.98,290.3213,296.7765
2018-02-15,0,0,25.23,55.98,290.44846,296.6088
2018-02-16,0,0,25.23,55.98,286.75952,297.4586
2018-02-17,0,0,25.23,55.98,282.86804,298.01868
2018-02-18,0,0,25.23,55.98,279.99692,299.1107
2018-02-19,0,0,25.23,55.98,284.2486,297.89734
2018-02-20,0,0,25.23,55.98,285.9651,296.06207
2018-02-21,0,0,25.23,55.98,285.61887,294.74127
2018-02-22,0,0,25.23,55.98,286.0309,295.93652
2018-02-23,0,0,25.23,55.98,285.18134,297.43658
2018-02-24,0,0,25.23,55.98,287.85065,299.25122
2018-02-25,0,0,25.23,55.98,290.4917,295.45532
2018-02-26,0,0,25.23,55.98,290.13208,295.37552
2018-02-27,0,0,25.23,55.98,291.4003,296.5585
2018-02-28,0,0,25.23,55.98,290.36084,296.07928
2018-03-01,0,0,25.23,55.98,289.7731,295.78268
2018-03-02,0,0,25.23,55.98,290.20972,295.76413
2018-03-03,0,0,25.23,55.98,287.95374,295.67654
2018-03-04,0,0,25.23,55.98,287.7648,294.6458
2018-03-05,0,0,25.23,55.98,286.989,294.2485
2018-03-06,0,0,25.23,55.98,286.47638,294.6468
2018-03-07,0,0,25.23,55.98,285.98193,296.27475
2018-03-08,0,0,25.23,55.98,282.77396,297.5061
2018-03-09,0,0,25.23,55.98,281.46576,297.90796
2018-03-10,0,0,25.23,55.98,282.27448,298.28754
2018-03-11,0,0,25.23,55.98,285.05228,299.52527
2018-03-12,0,0,25.23,55.98,287.23212,299.41656
2018-03-13,0,0,25.23,55.98,286.62012,299.3954
2018-03-14,0,0,25.23,55.98,286.03064,297.4537
2018-03-15,0,0,25.23,55.98,286.72177,296.38412
2018-03-16,0,0,25.23,55.98,285.36813,297.48993
2018-03-17,0,0,25.23,55.98,285.7006,297.719
2018-03-18,0,0,25.23,55.98,284.71817,297.60187
2018-03-19,0,0,25.23,55.98,285.8969,296.4082
2018-03-20,0,0,25.23,55.98,286.9593,296.64587
2018-03-21,0,0,25.23,55.98,285.39984,297.46875
2018-03-22,0,0,25.23,55.98,285.24268,297.74628
2018-03-23,0,0,25.23,55.98,286.17133,297.2454
2018-03-24,0,0,25.23,55.98,286.30432,299.9282
2018-03-25,0,0,25.23,55.98,284.58646,300.2807
2018-03-26,0,0,25.23,55.98,281.8043,301.41534
2018-03-27,0,0,25.23,55.98,284.66602,300.3069
2018-03-28,0,0,25.23,55.98,287.0697,300.15833
2018-03-29,0,0,25.23,55.98,286.63794,301.72653
2018-03-30,0,0,25.23,55.98,283.3601,302.8903
2018-03-31,0,0,25.23,55.98,283.65778,303.05905
2018-04-01,0,0,25.23,55.98,289.5431,301.07822
2018-04-02,0,0,25.23,55.98,288.85165,299.90283
2018-04-03,0,0,25.23,55.98,287.66766,300.82367
2018-04-04,0,0,25.23,55.98,286.74744,301.81372
2018-04-05,0,0,25.23,55.98,286.8265,303.04907
2018-04-06,0,0,25.23,55.98,285.86716,303.95398
2018-04-07,0,0,25.23,55.98,285.97705,303.63025
2018-04-08,0,0,25.23,55.98,289.26462,302.63516
2018-04-09,0,0,25.23,55.98,288.80734,302.5828
2018-04-10,0,0,25.23,55.98,288.38303,302.4303
2018-04-11,0,0,25.23,55.98,288.4859,303.11038
2018-04-12,0,0,25.23,55.98,289.68762,302.77805
2018-04-13,0,0,25.23,55.98,287.15155,303.72314
2018-04-14,0,0,25.23,55.98,288.05405,303.93872
2018-04-15,0,0,25.23,55.98,286.75427,301.32675
2018-04-16,0,0,25.23,55.98,283.87286,301.7061
2018-04-17,0,0,25.23,55.98,286.09262,304.23367
2018-04-18,0,0,25.23,55.98,288.6236,302.04663
2018-04-19,0,0,25.23,55.98,288.4549,299.2124
2018-04-20,0,0,25.23,55.98,288.95395,299.53796
2018-04-21,0,0,25.23,55.98,287.46222,301.2424
2018-04-22,0,0,25.23,55.98,285.74652,303.16156
2018-04-23,0,0,25.23,55.98,289.20462,304.1887
2018-04-24,0,0,25.23,55.98,287.8274,304.81158
2018-04-25,0,0,25.23,55.98,290.52023,304.36157
2018-04-26,0,0,25.23,55.98,289.88077,305.28622
2018-04-27,0,0,25.23,55.98,289.28928,305.36127
2018-04-28,0,0,25.23,55.98,286.6464,306.80005
2018-04-29,0,0,25.23,55.98,286.69702,307.41144
2018-04-30,0,0,25.23,55.98,288.4375,305.57642
2018-05-01,0,0,25.23,55.98,287.40137,305.43265
2018-05-02,0,0,25.23,55.98,288.37637,305.30634
2018-05-03,0,0,25.23,55.98,290.09146,305.51132
2018-05-04,0,0,25.23,55.98,288.54938,305.93365
2018-05-05,0,0,25.23,55.98,288.70374,304.84058
2018-05-06,0,0,25.23,55.98,288.8905,305.87512
2018-05-07,0,0,25.23,55.98,291.4542,305.39233
2018-05-08,0,0,25.23,55.98,290.13544,306.38464
2018-05-09,0,0,25.23,55.98,291.08728,307.17114
2018-05-10,0,0,25.23,55.98,289.6378,306.9196
2018-05-11,0,0,25.23,55.98,287.18857,305.52222
2018-05-12,0,0,25.23,55.98,285.24808,306.3551
2018-05-13,0,0,25.23,55.98,287.04718,308.93234
2018-05-14,0,0,25.23,55.98,286.22513,306.90344
2018-05-15,0,0,25.23,55.98,289.29852,306.27533
2018-05-16,0,0,25.23,55.98,287.99338,305.8817
2018-05-17,0,0,25.23,55.98,287.7186,305.91653
2018-05-18,0,0,25.23,55.98,288.1833,304.91766
2018-05-19,0,0,25.23,55.98,290.78082,304.28162
2018-05-20,0,0,25.23,55.98,288.85645,305.02115
2018-05-21,0,0,25.23,55.98,286.83167,305.31116
2018-05-22,0,0,25.23,55.98,284.57227,306.74747
2018-05-23,0,0,25.23,55.98,286.0347,307.4137
2018-05-24,0,0,25.23,55.98,286.5082,307.47253
2018-05-25,0,0,25.23,55.98,287.96448,307.20905
2018-05-26,0,0,25.23,55.98,292.33017,306.47342
2018-05-27,0,0,25.23,55.98,292.9552,306.4831
2018-05-28,0,0,25.23,55.98,291.81433,307.63974
2018-05-29,0,0,25.23,55.98,290.21106,308.07022
