date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2003-01-01 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 00:00:00,258.75616,260.18262
2003-01-01 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 03:00:00,258.73193,259.79858
2003-01-01 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 06:00:00,259.48798,260.65607
2003-01-01 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 09:00:00,260.01904,261.33636
2003-01-01 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 12:00:00,261.89417,263.06433
2003-01-01 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 15:00:00,261.85333,263.09967
2003-01-01 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 18:00:00,262.69247,263.7121
2003-01-01 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 21:00:00,262.0207,263.39325
2003-01-02 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 00:00:00,261.6792,262.83472
2003-01-02 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 03:00:00,261.3708,262.23163
2003-01-02 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 06:00:00,261.48773,262.41516
2003-01-02 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 09:00:00,261.18408,262.2835
2003-01-02 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 12:00:00,260.77222,261.91138
2003-01-02 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 15:00:00,259.9418,261.0418
2003-01-02 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 18:00:00,258.74875,259.94727
2003-01-02 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 21:00:00,258.00183,259.3587
2003-01-03 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 00:00:00,255.02281,256.69855
2003-01-03 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 03:00:00,253.97643,255.73575
2003-01-03 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 06:00:00,253.04883,254.6991
2003-01-03 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 09:00:00,251.47345,252.92079
2003-01-03 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 12:00:00,248.32994,249.7571
2003-01-03 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 15:00:00,246.84143,248.54817
2003-01-03 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 18:00:00,246.06004,248.67139
2003-01-03 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 21:00:00,245.47227,248.23239
2003-01-04 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 00:00:00,247.42628,249.74307
2003-01-04 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 03:00:00,247.50851,249.81902
2003-01-04 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 06:00:00,247.34918,249.75612
2003-01-04 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 09:00:00,247.92642,250.28993
2003-01-04 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 12:00:00,248.35216,250.49484
2003-01-04 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 15:00:00,246.35045,248.43893
2003-01-04 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 18:00:00,246.42291,248.65918
2003-01-04 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 21:00:00,245.24727,247.64796
2003-01-05 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 00:00:00,246.08278,248.40489
2003-01-05 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 03:00:00,245.82869,248.14412
2003-01-05 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 06:00:00,245.21933,247.34895
2003-01-05 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 09:00:00,244.69359,246.91377
