date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2009-01-01 00:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 00:00:00,268.23853,268.72394
2009-01-01 03:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 03:00:00,268.17053,269.06738
2009-01-01 06:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 06:00:00,268.46674,269.44348
2009-01-01 09:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 09:00:00,269.6339,270.46295
2009-01-01 12:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 12:00:00,271.37277,272.4807
2009-01-01 15:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 15:00:00,271.79086,272.55856
2009-01-01 18:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 18:00:00,271.72614,272.13638
2009-01-01 21:00:00,0,0 days,0.0,52.8,10.76,2009-01-01 21:00:00,271.91254,272.2008
2009-01-02 00:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 00:00:00,271.72833,272.0661
2009-01-02 03:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 03:00:00,271.6915,272.05338
2009-01-02 06:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 06:00:00,271.45056,271.83374
2009-01-02 09:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 09:00:00,271.34082,271.71024
2009-01-02 12:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 12:00:00,270.44357,272.87793
2009-01-02 15:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 15:00:00,268.66162,271.5747
2009-01-02 18:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 18:00:00,266.72574,268.08865
2009-01-02 21:00:00,0,0 days,0.0,52.8,10.76,2009-01-02 21:00:00,265.52197,266.44708
2009-01-03 00:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 00:00:00,263.68152,264.32013
2009-01-03 03:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 03:00:00,264.4461,265.3415
2009-01-03 06:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 06:00:00,264.87976,266.27917
2009-01-03 09:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 09:00:00,266.36676,267.98822
2009-01-03 12:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 12:00:00,268.66553,270.92792
2009-01-03 15:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 15:00:00,269.8609,272.1225
2009-01-03 18:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 18:00:00,271.15277,272.93243
2009-01-03 21:00:00,0,0 days,0.0,52.8,10.76,2009-01-03 21:00:00,272.51556,273.81213
2009-01-04 00:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 00:00:00,273.84402,274.42932
2009-01-04 03:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 03:00:00,274.23886,274.7299
2009-01-04 06:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 06:00:00,274.0457,274.37817
2009-01-04 09:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 09:00:00,273.77466,274.08173
2009-01-04 12:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 12:00:00,273.8673,273.95978
2009-01-04 15:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 15:00:00,273.87283,274.0927
2009-01-04 18:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 18:00:00,273.83777,273.92334
2009-01-04 21:00:00,0,0 days,0.0,52.8,10.76,2009-01-04 21:00:00,273.43814,273.5558
2009-01-05 00:00:00,0,0 days,0.0,52.8,10.76,2009-01-05 00:00:00,271.9298,272.7293
2009-01-05 03:00:00,0,0 days,0.0,52.8,10.76,2009-01-05 03:00:00,269.70065,270.98135
2009-01-05 06:00:00,0,0 days,0.0,52.8,10.76,2009-01-05 06:00:00,268.9505,270.11353
