date,number,step,surface,latitude,longitude,valid_time,d2m,t2m
2006-10-01 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 00:00:00,274.04123,274.75803
2006-10-01 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 03:00:00,273.80328,274.32782
2006-10-01 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 06:00:00,272.76984,274.33047
2006-10-01 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 09:00:00,270.5384,272.67413
2006-10-01 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 12:00:00,268.028,273.07196
2006-10-01 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 15:00:00,267.8591,272.31775
2006-10-01 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 18:00:00,267.26047,272.0998
2006-10-01 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 21:00:00,267.4935,272.0678
2006-10-02 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 00:00:00,267.80655,271.70105
2006-10-02 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 03:00:00,267.92102,272.62872
2006-10-02 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 06:00:00,268.02185,275.1639
2006-10-02 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 09:00:00,269.176,275.6811
2006-10-02 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 12:00:00,268.1219,273.83176
2006-10-02 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 15:00:00,268.3726,272.58957
2006-10-02 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 18:00:00,268.01852,270.62415
2006-10-02 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 21:00:00,267.64124,269.3088
2006-10-03 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 00:00:00,267.58475,268.89645
2006-10-03 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 03:00:00,268.22766,271.45554
2006-10-03 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 06:00:00,266.5183,275.2484
2006-10-03 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 09:00:00,266.72098,276.30643
2006-10-03 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 12:00:00,268.59473,273.95547
