date,number,step,surface,latitude,longitude,valid_time,blh
2012-01-01 00:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 00:00:00,11.682527
2012-01-01 03:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 03:00:00,10.022914
2012-01-01 06:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 06:00:00,10.221365
2012-01-01 09:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 09:00:00,12.504696
2012-01-01 12:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 12:00:00,14.420309
2012-01-01 15:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 15:00:00,13.141461
2012-01-01 18:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 18:00:00,16.971878
2012-01-01 21:00:00,0,0 days,0.0,82.492,-62.508,2012-01-01 21:00:00,16.025696
2012-01-02 00:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 00:00:00,13.515471
2012-01-02 03:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 03:00:00,14.514971
2012-01-02 06:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 06:00:00,18.515915
2012-01-02 09:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 09:00:00,18.428833
2012-01-02 12:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 12:00:00,25.616455
2012-01-02 15:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 15:00:00,25.27089
2012-01-02 18:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 18:00:00,40.487762
2012-01-02 21:00:00,0,0 days,0.0,82.492,-62.508,2012-01-02 21:00:00,68.81943
2012-01-03 00:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 00:00:00,174.55804
2012-01-03 03:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 03:00:00,218.60553
2012-01-03 06:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 06:00:00,216.08891
2012-01-03 09:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 09:00:00,203.98276
2012-01-03 12:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 12:00:00,221.98564
2012-01-03 15:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 15:00:00,131.75131
2012-01-03 18:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 18:00:00,41.107117
2012-01-03 21:00:00,0,0 days,0.0,82.492,-62.508,2012-01-03 21:00:00,21.790558
2012-01-04 00:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 00:00:00,11.8584
2012-01-04 03:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 03:00:00,24.70097
2012-01-04 06:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 06:00:00,29.865097
2012-01-04 09:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 09:00:00,44.740234
2012-01-04 12:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 12:00:00,35.531174
2012-01-04 15:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 15:00:00,23.921005
2012-01-04 18:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 18:00:00,15.650561
2012-01-04 21:00:00,0,0 days,0.0,82.492,-62.508,2012-01-04 21:00:00,13.2478895
2012-01-05 00:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 00:00:00,25.578201
2012-01-05 03:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 03:00:00,136.63347
2012-01-05 06:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 06:00:00,228.64232
2012-01-05 09:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 09:00:00,195.12756
2012-01-05 12:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 12:00:00,59.173798
2012-01-05 15:00:00,0,0 days,0.0,82.492,-62.508,2012-01-05 15:00:00,23.082031
