date,number,step,surface,latitude,longitude,valid_time,blh
2015-01-01 00:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 00:00:00,22.364786
2015-01-01 03:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 03:00:00,19.715347
2015-01-01 06:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 06:00:00,21.392578
2015-01-01 09:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 09:00:00,31.333725
2015-01-01 12:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 12:00:00,220.51054
2015-01-01 15:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 15:00:00,1418.1765
2015-01-01 18:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 18:00:00,1127.4546
2015-01-01 21:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-01 21:00:00,422.5002
2015-01-02 00:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 00:00:00,65.96896
2015-01-02 03:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 03:00:00,44.56653
2015-01-02 06:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 06:00:00,41.6183
2015-01-02 09:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 09:00:00,29.799591
2015-01-02 12:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 12:00:00,84.37924
2015-01-02 15:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 15:00:00,1116.5947
2015-01-02 18:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 18:00:00,354.92822
2015-01-02 21:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-02 21:00:00,61.406693
2015-01-03 00:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 00:00:00,34.85887
2015-01-03 03:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 03:00:00,49.176865
2015-01-03 06:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 06:00:00,82.54288
2015-01-03 09:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 09:00:00,69.193665
2015-01-03 12:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 12:00:00,139.62912
2015-01-03 15:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 15:00:00,1232.8655
2015-01-03 18:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 18:00:00,1262.8748
2015-01-03 21:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-03 21:00:00,177.2331
2015-01-04 00:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 00:00:00,52.27704
2015-01-04 03:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 03:00:00,36.112244
2015-01-04 06:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 06:00:00,35.521454
2015-01-04 09:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 09:00:00,39.75479
2015-01-04 12:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 12:00:00,131.76381
2015-01-04 15:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 15:00:00,717.34717
2015-01-04 18:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 18:00:00,1379.7456
2015-01-04 21:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-04 21:00:00,55.318726
2015-01-05 00:00:00,0,0 days,0.0,-2.146,-59.006,2015-01-05 00:00:00,36.795975
