date,number,step,surface,latitude,longitude,valid_time,blh
2016-08-01 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 00:00:00,93.12695
2016-08-01 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 03:00:00,50.852005
2016-08-01 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 06:00:00,303.3396
2016-08-01 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 09:00:00,962.79175
2016-08-01 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 12:00:00,1369.1877
2016-08-01 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 15:00:00,838.6118
2016-08-01 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 18:00:00,284.81967
2016-08-01 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-01 21:00:00,126.99806
2016-08-02 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 00:00:00,92.812546
2016-08-02 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 03:00:00,55.711777
2016-08-02 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 06:00:00,333.96313
2016-08-02 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 09:00:00,827.8137
2016-08-02 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 12:00:00,1348.4897
2016-08-02 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 15:00:00,935.4248
2016-08-02 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 18:00:00,382.6982
2016-08-02 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-02 21:00:00,187.70241
2016-08-03 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 00:00:00,103.52449
2016-08-03 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 03:00:00,61.138153
2016-08-03 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 06:00:00,450.5
2016-08-03 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 09:00:00,1171.5212
2016-08-03 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 12:00:00,1533.5403
2016-08-03 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 15:00:00,1183.8052
2016-08-03 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 18:00:00,436.45703
2016-08-03 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-03 21:00:00,193.1035
2016-08-04 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 00:00:00,87.803635
2016-08-04 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 03:00:00,59.843643
2016-08-04 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 06:00:00,511.64697
2016-08-04 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 09:00:00,1153.8015
2016-08-04 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 12:00:00,1533.3357
2016-08-04 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 15:00:00,1265.6814
2016-08-04 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 18:00:00,412.20312
2016-08-04 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-04 21:00:00,132.11246
2016-08-05 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 00:00:00,71.71326
2016-08-05 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 03:00:00,39.847855
2016-08-05 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 06:00:00,410.95068
2016-08-05 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 09:00:00,1079.8965
2016-08-05 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 12:00:00,1532.0449
2016-08-05 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 15:00:00,1279.8726
2016-08-05 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 18:00:00,397.41357
2016-08-05 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-05 21:00:00,156.7269
2016-08-06 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 00:00:00,116.92467
2016-08-06 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 03:00:00,86.97548
2016-08-06 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 06:00:00,604.6582
2016-08-06 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 09:00:00,1121.8762
2016-08-06 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 12:00:00,1504.2615
2016-08-06 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 15:00:00,1167.3799
2016-08-06 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 18:00:00,555.54175
2016-08-06 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-06 21:00:00,213.88635
2016-08-07 00:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 00:00:00,118.30362
2016-08-07 03:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 03:00:00,80.93713
2016-08-07 06:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 06:00:00,538.02686
2016-08-07 09:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 09:00:00,1110.2026
2016-08-07 12:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 12:00:00,1544.0984
2016-08-07 15:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 15:00:00,1229.3828
2016-08-07 18:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 18:00:00,623.4846
2016-08-07 21:00:00,0,0 days,0.0,32.01,35.87,2016-08-07 21:00:00,228.65334
