date,number,surface,latitude,longitude,blh
2005-01-01,0,0,58.8,17.38,343.23322
2005-01-02,0,0,58.8,17.38,925.37067
2005-01-03,0,0,58.8,17.38,878.0788
2005-01-04,0,0,58.8,17.38,322.45514
2005-01-05,0,0,58.8,17.38,750.2852
2005-01-06,0,0,58.8,17.38,790.1063
2005-01-07,0,0,58.8,17.38,1080.3169
2005-01-08,0,0,58.8,17.38,1134.5598
2005-01-09,0,0,58.8,17.38,1448.0232
2005-01-10,0,0,58.8,17.38,890.5331
2005-01-11,0,0,58.8,17.38,921.17194
2005-01-12,0,0,58.8,17.38,1111.2319
2005-01-13,0,0,58.8,17.38,1137.1599
2005-01-14,0,0,58.8,17.38,578.63495
2005-01-15,0,0,58.8,17.38,305.611
2005-01-16,0,0,58.8,17.38,556.4265
2005-01-17,0,0,58.8,17.38,500.8802
2005-01-18,0,0,58.8,17.38,698.58856
2005-01-19,0,0,58.8,17.38,317.4547
2005-01-20,0,0,58.8,17.38,707.50116
2005-01-21,0,0,58.8,17.38,857.479
2005-01-22,0,0,58.8,17.38,773.10565
2005-01-23,0,0,58.8,17.38,536.098
2005-01-24,0,0,58.8,17.38,895.5327
2005-01-25,0,0,58.8,17.38,689.44165
2005-01-26,0,0,58.8,17.38,346.3354
2005-01-27,0,0,58.8,17.38,184.3211
2005-01-28,0,0,58.8,17.38,605.2928
2005-01-29,0,0,58.8,17.38,740.3796
2005-01-30,0,0,58.8,17.38,434.9295
2005-01-31,0,0,58.8,17.38,659.2792
2005-02-01,0,0,58.8,17.38,719.5924
2005-02-02,0,0,58.8,17.38,304.51907
2005-02-03,0,0,58.8,17.38,281.39368
2005-02-04,0,0,58.8,17.38,570.308
2005-02-05,0,0,58.8,17.38,580.3217
2005-02-06,0,0,58.8,17.38,368.50107
2005-02-07,0,0,58.8,17.38,415.26825
2005-02-08,0,0,58.8,17.38,481.9583
2005-02-09,0,0,58.8,17.38,677.06824
2005-02-10,0,0,58.8,17.38,905.5995
2005-02-11,0,0,58.8,17.38,552.5084
2005-02-12,0,0,58.8,17.38,494.00677
2005-02-13,0,0,58.8,17.38,1038.5956
2005-02-14,0,0,58.8,17.38,803.09174
2005-02-15,0,0,58.8,17.38,1027.4602
2005-02-16,0,0,58.8,17.38,578.9954
2005-02-17,0,0,58.8,17.38,269.69
2005-02-18,0,0,58.8,17.38,458.49283
2005-02-19,0,0,58.8,17.38,391.0514
2005-02-20,0,0,58.8,17.38,202.11583
2005-02-21,0,0,58.8,17.38,574.8601
2005-02-22,0,0,58.8,17.38,838.2602
2005-02-23,0,0,58.8,17.38,926.38135
2005-02-24,0,0,58.8,17.38,608.203
2005-02-25,0,0,58.8,17.38,340.96957
2005-02-26,0,0,58.8,17.38,818.2804
2005-02-27,0,0,58.8,17.38,752.7345
2005-02-28,0,0,58.8,17.38,379.32785
2005-03-01,0,0,58.8,17.38,627.9263
2005-03-02,0,0,58.8,17.38,256.0992
2005-03-03,0,0,58.8,17.38,356.05954
2005-03-04,0,0,58.8,17.38,306.64722
2005-03-05,0,0,58.8,17.38,463.05768
2005-03-06,0,0,58.8,17.38,253.8543
2005-03-07,0,0,58.8,17.38,267.62775
2005-03-08,0,0,58.8,17.38,1019.32556
2005-03-09,0,0,58.8,17.38,730.34845
2005-03-10,0,0,58.8,17.38,223.94893
2005-03-11,0,0,58.8,17.38,494.899
2005-03-12,0,0,58.8,17.38,990.04175
2005-03-13,0,0,58.8,17.38,460.51065
2005-03-14,0,0,58.8,17.38,336.06555
2005-03-15,0,0,58.8,17.38,333.2471
2005-03-16,0,0,58.8,17.38,514.79004
2005-03-17,0,0,58.8,17.38,395.1767
2005-03-18,0,0,58.8,17.38,955.0178
2005-03-19,0,0,58.8,17.38,520.5184
2005-03-20,0,0,58.8,17.38,363.526
2005-03-21,0,0,58.8,17.38,318.6019
2005-03-22,0,0,58.8,17.38,249.28413
2005-03-23,0,0,58.8,17.38,114.17168
2005-03-24,0,0,58.8,17.38,270.04004
2005-03-25,0,0,58.8,17.38,109.390564
2005-03-26,0,0,58.8,17.38,179.44995
2005-03-27,0,0,58.8,17.38,261.12262
2005-03-28,0,0,58.8,17.38,114.36888
2005-03-29,0,0,58.8,17.38,216.14648
2005-03-30,0,0,58.8,17.38,310.30347
2005-03-31,0,0,58.8,17.38,179.1257
2005-04-01,0,0,58.8,17.38,189.15489
2005-04-02,0,0,58.8,17.38,333.6766
2005-04-03,0,0,58.8,17.38,261.2143
2005-04-04,0,0,58.8,17.38,150.9161
2005-04-05,0,0,58.8,17.38,699.8965
2005-04-06,0,0,58.8,17.38,734.96
2005-04-07,0,0,58.8,17.38,443.83466
2005-04-08,0,0,58.8,17.38,702.69275
2005-04-09,0,0,58.8,17.38,239.73152
2005-04-10,0,0,58.8,17.38,388.4774
2005-04-11,0,0,58.8,17.38,898.29315
2005-04-12,0,0,58.8,17.38,797.41235
2005-04-13,0,0,58.8,17.38,483.32645
2005-04-14,0,0,58.8,17.38,130.05362
2005-04-15,0,0,58.8,17.38,147.82799
2005-04-16,0,0,58.8,17.38,341.14294
2005-04-17,0,0,58.8,17.38,462.50745
2005-04-18,0,0,58.8,17.38,635.2101
2005-04-19,0,0,58.8,17.38,579.55945
2005-04-20,0,0,58.8,17.38,741.6395
2005-04-21,0,0,58.8,17.38,382.99704
2005-04-22,0,0,58.8,17.38,545.19574
2005-04-23,0,0,58.8,17.38,435.99808
2005-04-24,0,0,58.8,17.38,339.82367
2005-04-25,0,0,58.8,17.38,260.7267
2005-04-26,0,0,58.8,17.38,270.77493
2005-04-27,0,0,58.8,17.38,323.8568
2005-04-28,0,0,58.8,17.38,502.70395
2005-04-29,0,0,58.8,17.38,437.87576
2005-04-30,0,0,58.8,17.38,332.12372
2005-05-01,0,0,58.8,17.38,254.38307
2005-05-02,0,0,58.8,17.38,322.22452
2005-05-03,0,0,58.8,17.38,335.12384
2005-05-04,0,0,58.8,17.38,206.9866
2005-05-05,0,0,58.8,17.38,428.61115
2005-05-06,0,0,58.8,17.38,303.54977
2005-05-07,0,0,58.8,17.38,411.77362
2005-05-08,0,0,58.8,17.38,349.8655
2005-05-09,0,0,58.8,17.38,268.73373
2005-05-10,0,0,58.8,17.38,367.02887
2005-05-11,0,0,58.8,17.38,540.75195
2005-05-12,0,0,58.8,17.38,287.15295
2005-05-13,0,0,58.8,17.38,511.30338
2005-05-14,0,0,58.8,17.38,416.2062
2005-05-15,0,0,58.8,17.38,505.38715
2005-05-16,0,0,58.8,17.38,387.98975
2005-05-17,0,0,58.8,17.38,990.6835
2005-05-18,0,0,58.8,17.38,646.1786
2005-05-19,0,0,58.8,17.38,1015.1714
2005-05-20,0,0,58.8,17.38,384.60507
2005-05-21,0,0,58.8,17.38,532.7302
2005-05-22,0,0,58.8,17.38,218.37852
2005-05-23,0,0,58.8,17.38,147.00755
2005-05-24,0,0,58.8,17.38,466.35883
2005-05-25,0,0,58.8,17.38,379.64536
2005-05-26,0,0,58.8,17.38,440.4776
2005-05-27,0,0,58.8,17.38,897.79724
2005-05-28,0,0,58.8,17.38,409.78787
2005-05-29,0,0,58.8,17.38,895.4967
2005-05-30,0,0,58.8,17.38,691.00745
2005-05-31,0,0,58.8,17.38,631.6371
2005-06-01,0,0,58.8,17.38,850.08356
2005-06-02,0,0,58.8,17.38,400.79764
2005-06-03,0,0,58.8,17.38,244.7935
2005-06-04,0,0,58.8,17.38,400.77267
2005-06-05,0,0,58.8,17.38,708.3463
2005-06-06,0,0,58.8,17.38,520.8309
2005-06-07,0,0,58.8,17.38,652.9134
2005-06-08,0,0,58.8,17.38,517.76294
2005-06-09,0,0,58.8,17.38,336.96432
2005-06-10,0,0,58.8,17.38,240.82492
