date,number,surface,latitude,longitude,blh
2006-07-01,0,0,-25.5,25.8,466.98026
2006-07-02,0,0,-25.5,25.8,474.39496
2006-07-03,0,0,-25.5,25.8,369.37454
2006-07-04,0,0,-25.5,25.8,299.02252
2006-07-05,0,0,-25.5,25.8,368.13547
2006-07-06,0,0,-25.5,25.8,318.77957
2006-07-07,0,0,-25.5,25.8,342.81992
2006-07-08,0,0,-25.5,25.8,358.52863
2006-07-09,0,0,-25.5,25.8,275.3514
2006-07-10,0,0,-25.5,25.8,235.56665
2006-07-11,0,0,-25.5,25.8,238.76514
2006-07-12,0,0,-25.5,25.8,301.9959
2006-07-13,0,0,-25.5,25.8,398.89587
2006-07-14,0,0,-25.5,25.8,798.232
2006-07-15,0,0,-25.5,25.8,791.3376
2006-07-16,0,0,-25.5,25.8,689.5565
2006-07-17,0,0,-25.5,25.8,474.4768
2006-07-18,0,0,-25.5,25.8,590.66547
2006-07-19,0,0,-25.5,25.8,511.24924
2006-07-20,0,0,-25.5,25.8,428.84033
2006-07-21,0,0,-25.5,25.8,589.481
2006-07-22,0,0,-25.5,25.8,730.0904
2006-07-23,0,0,-25.5,25.8,389.21167
2006-07-24,0,0,-25.5,25.8,614.053
2006-07-25,0,0,-25.5,25.8,466.44882
2006-07-26,0,0,-25.5,25.8,594.77
2006-07-27,0,0,-25.5,25.8,384.6772
2006-07-28,0,0,-25.5,25.8,366.83176
2006-07-29,0,0,-25.5,25.8,310.2587
2006-07-30,0,0,-25.5,25.8,340.541
2006-07-31,0,0,-25.5,25.8,565.289
2006-08-01,0,0,-25.5,25.8,680.69995
2006-08-02,0,0,-25.5,25.8,1088.9252
2006-08-03,0,0,-25.5,25.8,864.7949
2006-08-04,0,0,-25.5,25.8,662.69324
2006-08-05,0,0,-25.5,25.8,433.46072
2006-08-06,0,0,-25.5,25.8,265.79834
2006-08-07,0,0,-25.5,25.8,399.73666
2006-08-08,0,0,-25.5,25.8,425.4157
2006-08-09,0,0,-25.5,25.8,446.61737
2006-08-10,0,0,-25.5,25.8,504.13342
2006-08-11,0,0,-25.5,25.8,410.07605
2006-08-12,0,0,-25.5,25.8,464.11795
2006-08-13,0,0,-25.5,25.8,630.07227
2006-08-14,0,0,-25.5,25.8,572.6683
2006-08-15,0,0,-25.5,25.8,712.7651
2006-08-16,0,0,-25.5,25.8,550.7261
2006-08-17,0,0,-25.5,25.8,444.70316
2006-08-18,0,0,-25.5,25.8,490.09436
2006-08-19,0,0,-25.5,25.8,423.48135
2006-08-20,0,0,-25.5,25.8,601.3813
2006-08-21,0,0,-25.5,25.8,971.9524
2006-08-22,0,0,-25.5,25.8,1112.2654
2006-08-23,0,0,-25.5,25.8,1055.9286
2006-08-24,0,0,-25.5,25.8,800.8025
2006-08-25,0,0,-25.5,25.8,615.6073
2006-08-26,0,0,-25.5,25.8,672.34625
2006-08-27,0,0,-25.5,25.8,720.9567
2006-08-28,0,0,-25.5,25.8,538.46454
2006-08-29,0,0,-25.5,25.8,842.9408
2006-08-30,0,0,-25.5,25.8,549.2527
2006-08-31,0,0,-25.5,25.8,483.04953
2006-09-01,0,0,-25.5,25.8,456.85117
2006-09-02,0,0,-25.5,25.8,405.3776
2006-09-03,0,0,-25.5,25.8,526.07996
2006-09-04,0,0,-25.5,25.8,653.3388
2006-09-05,0,0,-25.5,25.8,674.7818
2006-09-06,0,0,-25.5,25.8,530.1864
2006-09-07,0,0,-25.5,25.8,767.99976
2006-09-08,0,0,-25.5,25.8,709.99854
2006-09-09,0,0,-25.5,25.8,537.1139
2006-09-10,0,0,-25.5,25.8,441.2257
2006-09-11,0,0,-25.5,25.8,483.98306
2006-09-12,0,0,-25.5,25.8,575.43005
2006-09-13,0,0,-25.5,25.8,583.52026
2006-09-14,0,0,-25.5,25.8,436.66888
2006-09-15,0,0,-25.5,25.8,613.4334
2006-09-16,0,0,-25.5,25.8,896.1642
2006-09-17,0,0,-25.5,25.8,859.53754
2006-09-18,0,0,-25.5,25.8,764.75116
2006-09-19,0,0,-25.5,25.8,529.9482
2006-09-20,0,0,-25.5,25.8,674.671
2006-09-21,0,0,-25.5,25.8,719.46356
2006-09-22,0,0,-25.5,25.8,851.93884
2006-09-23,0,0,-25.5,25.8,740.0519
2006-09-24,0,0,-25.5,25.8,743.91895
2006-09-25,0,0,-25.5,25.8,1103.7355
2006-09-26,0,0,-25.5,25.8,777.8332
2006-09-27,0,0,-25.5,25.8,673.5973
2006-09-28,0,0,-25.5,25.8,855.82635
2006-09-29,0,0,-25.5,25.8,838.23047
2006-09-30,0,0,-25.5,25.8,1011.5797
2006-10-01,0,0,-25.5,25.8,982.60767
2006-10-02,0,0,-25.5,25.8,694.5929
2006-10-03,0,0,-25.5,25.8,906.50543
2006-10-04,0,0,-25.5,25.8,570.8938
2006-10-05,0,0,-25.5,25.8,513.06244
2006-10-06,0,0,-25.5,25.8,675.2761
2006-10-07,0,0,-25.5,25.8,624.1691
2006-10-08,0,0,-25.5,25.8,547.7471
2006-10-09,0,0,-25.5,25.8,336.5317
2006-10-10,0,0,-25.5,25.8,928.7055
2006-10-11,0,0,-25.5,25.8,906.67145
2006-10-12,0,0,-25.5,25.8,797.7074
2006-10-13,0,0,-25.5,25.8,950.9829
2006-10-14,0,0,-25.5,25.8,874.0026
2006-10-15,0,0,-25.5,25.8,964.0102
2006-10-16,0,0,-25.5,25.8,1004.74274
2006-10-17,0,0,-25.5,25.8,878.99695
2006-10-18,0,0,-25.5,25.8,801.0862
2006-10-19,0,0,-25.5,25.8,796.5294
2006-10-20,0,0,-25.5,25.8,793.3441
2006-10-21,0,0,-25.5,25.8,504.78925
2006-10-22,0,0,-25.5,25.8,907.40027
2006-10-23,0,0,-25.5,25.8,849.48737
2006-10-24,0,0,-25.5,25.8,896.40265
2006-10-25,0,0,-25.5,25.8,1155.5992
2006-10-26,0,0,-25.5,25.8,1084.8281
2006-10-27,0,0,-25.5,25.8,940.2741
2006-10-28,0,0,-25.5,25.8,627.5749
2006-10-29,0,0,-25.5,25.8,719.34937
2006-10-30,0,0,-25.5,25.8,557.0202
2006-10-31,0,0,-25.5,25.8,866.94855
2006-11-01,0,0,-25.5,25.8,722.94763
2006-11-02,0,0,-25.5,25.8,358.9766
2006-11-03,0,0,-25.5,25.8,535.33105
2006-11-04,0,0,-25.5,25.8,512.45447
2006-11-05,0,0,-25.5,25.8,736.55255
2006-11-06,0,0,-25.5,25.8,638.7043
2006-11-07,0,0,-25.5,25.8,749.8203
2006-11-08,0,0,-25.5,25.8,726.2031
2006-11-09,0,0,-25.5,25.8,860.26263
2006-11-10,0,0,-25.5,25.8,857.53046
2006-11-11,0,0,-25.5,25.8,1004.49316
2006-11-12,0,0,-25.5,25.8,960.2954
2006-11-13,0,0,-25.5,25.8,329.2838
2006-11-14,0,0,-25.5,25.8,565.6395
2006-11-15,0,0,-25.5,25.8,635.78973
2006-11-16,0,0,-25.5,25.8,712.7074
2006-11-17,0,0,-25.5,25.8,651.97534
