date,number,step,surface,latitude,longitude,valid_time,blh
2010-01-01 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 00:00:00,829.88086
2010-01-01 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 03:00:00,738.60205
2010-01-01 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 06:00:00,616.0393
2010-01-01 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 09:00:00,460.07788
2010-01-01 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 12:00:00,560.5896
2010-01-01 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 15:00:00,433.8462
2010-01-01 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 18:00:00,342.31232
2010-01-01 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-01 21:00:00,265.3044
2010-01-02 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 00:00:00,210.5395
2010-01-02 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 03:00:00,74.354034
2010-01-02 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 06:00:00,72.00525
2010-01-02 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 09:00:00,131.7762
2010-01-02 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 12:00:00,219.27515
2010-01-02 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 15:00:00,259.30304
2010-01-02 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 18:00:00,159.83783
2010-01-02 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-02 21:00:00,208.5281
2010-01-03 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 00:00:00,110.90765
2010-01-03 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 03:00:00,88.22655
2010-01-03 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 06:00:00,127.74155
2010-01-03 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 09:00:00,137.83136
2010-01-03 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 12:00:00,466.61353
2010-01-03 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 15:00:00,353.47632
2010-01-03 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 18:00:00,54.244446
2010-01-03 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-03 21:00:00,27.336533
2010-01-04 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 00:00:00,61.5224
2010-01-04 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 03:00:00,118.23425
2010-01-04 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 06:00:00,180.68895
2010-01-04 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 09:00:00,277.41748
2010-01-04 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 12:00:00,380.0569
2010-01-04 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 15:00:00,436.77026
2010-01-04 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 18:00:00,368.27567
2010-01-04 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-04 21:00:00,324.99756
2010-01-05 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 00:00:00,292.31152
2010-01-05 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 03:00:00,347.34302
2010-01-05 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 06:00:00,354.97778
2010-01-05 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 09:00:00,374.552
2010-01-05 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 12:00:00,427.85986
2010-01-05 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 15:00:00,464.13647
2010-01-05 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 18:00:00,379.73828
2010-01-05 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-05 21:00:00,356.8147
2010-01-06 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 00:00:00,281.00336
2010-01-06 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 03:00:00,110.58917
2010-01-06 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 06:00:00,156.72592
2010-01-06 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 09:00:00,175.98195
2010-01-06 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 12:00:00,282.80347
2010-01-06 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 15:00:00,277.1952
2010-01-06 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 18:00:00,267.80084
2010-01-06 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-06 21:00:00,231.45953
2010-01-07 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 00:00:00,137.35597
2010-01-07 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 03:00:00,184.68149
2010-01-07 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 06:00:00,99.002625
2010-01-07 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 09:00:00,124.98964
2010-01-07 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 12:00:00,280.38718
2010-01-07 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 15:00:00,126.95119
2010-01-07 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 18:00:00,93.3121
2010-01-07 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-07 21:00:00,48.94191
2010-01-08 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 00:00:00,51.615112
2010-01-08 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 03:00:00,46.75856
2010-01-08 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 06:00:00,45.010406
2010-01-08 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 09:00:00,423.38525
2010-01-08 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 12:00:00,634.07837
2010-01-08 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 15:00:00,895.7793
2010-01-08 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 18:00:00,787.3181
2010-01-08 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-08 21:00:00,866.31885
2010-01-09 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 00:00:00,850.2649
2010-01-09 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 03:00:00,797.46924
2010-01-09 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 06:00:00,804.68726
2010-01-09 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 09:00:00,1128.8347
2010-01-09 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 12:00:00,1202.1914
2010-01-09 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 15:00:00,1279.2761
2010-01-09 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 18:00:00,1244.8254
2010-01-09 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-09 21:00:00,1331.075
2010-01-10 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 00:00:00,1305.875
2010-01-10 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 03:00:00,1225.49
2010-01-10 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 06:00:00,1119.5706
2010-01-10 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 09:00:00,1115.3315
2010-01-10 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 12:00:00,1057.8848
2010-01-10 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 15:00:00,1011.6455
2010-01-10 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 18:00:00,930.42847
2010-01-10 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-10 21:00:00,735.614
2010-01-11 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 00:00:00,756.095
2010-01-11 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 03:00:00,713.0215
2010-01-11 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 06:00:00,608.126
2010-01-11 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 09:00:00,603.5012
2010-01-11 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 12:00:00,693.3169
2010-01-11 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 15:00:00,585.4341
2010-01-11 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 18:00:00,469.2273
2010-01-11 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-11 21:00:00,451.12256
2010-01-12 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 00:00:00,356.89743
2010-01-12 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 03:00:00,250.64062
2010-01-12 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 06:00:00,209.28084
2010-01-12 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 09:00:00,228.199
2010-01-12 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 12:00:00,552.5762
2010-01-12 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 15:00:00,637.2742
2010-01-12 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 18:00:00,682.74805
2010-01-12 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-12 21:00:00,528.0276
2010-01-13 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 00:00:00,592.6941
2010-01-13 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 03:00:00,602.56616
2010-01-13 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 06:00:00,536.4038
2010-01-13 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 09:00:00,544.75586
2010-01-13 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 12:00:00,576.761
2010-01-13 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 15:00:00,622.11255
2010-01-13 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 18:00:00,689.6975
2010-01-13 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-13 21:00:00,561.76953
2010-01-14 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 00:00:00,491.01318
2010-01-14 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 03:00:00,394.3369
2010-01-14 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 06:00:00,316.72803
2010-01-14 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 09:00:00,276.6848
2010-01-14 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 12:00:00,300.6277
2010-01-14 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 15:00:00,330.74194
2010-01-14 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 18:00:00,302.948
2010-01-14 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-14 21:00:00,286.12573
2010-01-15 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 00:00:00,224.14043
2010-01-15 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 03:00:00,223.98495
2010-01-15 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 06:00:00,230.41576
2010-01-15 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 09:00:00,231.0234
2010-01-15 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 12:00:00,280.16016
2010-01-15 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 15:00:00,256.61133
2010-01-15 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 18:00:00,217.07486
2010-01-15 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-15 21:00:00,177.54662
2010-01-16 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 00:00:00,206.21095
2010-01-16 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 03:00:00,230.80432
2010-01-16 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 06:00:00,272.9869
2010-01-16 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 09:00:00,422.20264
2010-01-16 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 12:00:00,528.71484
2010-01-16 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 15:00:00,470.33398
2010-01-16 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 18:00:00,483.16357
2010-01-16 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-16 21:00:00,450.99756
2010-01-17 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 00:00:00,350.69287
2010-01-17 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 03:00:00,297.9795
2010-01-17 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 06:00:00,164.2442
2010-01-17 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 09:00:00,53.811813
2010-01-17 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 12:00:00,238.29402
2010-01-17 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 15:00:00,356.74805
2010-01-17 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 18:00:00,252.32733
2010-01-17 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-17 21:00:00,202.95323
2010-01-18 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 00:00:00,278.61115
2010-01-18 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 03:00:00,242.47673
2010-01-18 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 06:00:00,199.22388
2010-01-18 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 09:00:00,189.74428
2010-01-18 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 12:00:00,289.61078
2010-01-18 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 15:00:00,381.41623
2010-01-18 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 18:00:00,392.52203
2010-01-18 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-18 21:00:00,399.23584
2010-01-19 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 00:00:00,309.02612
2010-01-19 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 03:00:00,212.15442
2010-01-19 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 06:00:00,221.95937
2010-01-19 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 09:00:00,199.85005
2010-01-19 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 12:00:00,161.9693
2010-01-19 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 15:00:00,271.35474
2010-01-19 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 18:00:00,328.8086
2010-01-19 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-19 21:00:00,338.12695
2010-01-20 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 00:00:00,334.5144
2010-01-20 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 03:00:00,319.62476
2010-01-20 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 06:00:00,257.51437
2010-01-20 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 09:00:00,276.71265
2010-01-20 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 12:00:00,335.48218
2010-01-20 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 15:00:00,448.44067
2010-01-20 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 18:00:00,607.3374
2010-01-20 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-20 21:00:00,483.43115
2010-01-21 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 00:00:00,458.6018
2010-01-21 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 03:00:00,391.61914
2010-01-21 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 06:00:00,403.75586
2010-01-21 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 09:00:00,461.50513
2010-01-21 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 12:00:00,510.89453
2010-01-21 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 15:00:00,532.4292
2010-01-21 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 18:00:00,566.3511
2010-01-21 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-21 21:00:00,528.334
2010-01-22 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 00:00:00,433.75854
2010-01-22 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 03:00:00,393.22803
2010-01-22 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 06:00:00,411.98633
2010-01-22 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 09:00:00,387.95825
2010-01-22 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 12:00:00,411.31396
2010-01-22 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 15:00:00,409.1223
2010-01-22 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 18:00:00,378.87256
2010-01-22 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-22 21:00:00,341.24756
2010-01-23 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 00:00:00,306.69702
2010-01-23 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 03:00:00,284.75537
2010-01-23 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 06:00:00,312.87695
2010-01-23 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 09:00:00,355.47046
2010-01-23 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 12:00:00,456.5581
2010-01-23 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 15:00:00,487.92676
2010-01-23 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 18:00:00,468.51758
2010-01-23 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-23 21:00:00,421.83838
2010-01-24 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 00:00:00,437.32544
2010-01-24 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 03:00:00,418.09497
2010-01-24 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 06:00:00,389.10742
2010-01-24 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 09:00:00,377.10034
2010-01-24 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 12:00:00,395.67578
2010-01-24 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 15:00:00,424.67676
2010-01-24 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 18:00:00,384.2146
2010-01-24 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-24 21:00:00,362.65967
2010-01-25 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 00:00:00,378.87427
2010-01-25 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 03:00:00,387.47046
2010-01-25 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 06:00:00,391.23218
2010-01-25 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 09:00:00,367.53564
2010-01-25 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 12:00:00,528.7471
2010-01-25 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 15:00:00,542.45874
2010-01-25 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 18:00:00,460.43726
2010-01-25 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-25 21:00:00,339.37466
2010-01-26 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 00:00:00,274.70572
2010-01-26 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 03:00:00,230.05615
2010-01-26 06:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 06:00:00,218.86247
2010-01-26 09:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 09:00:00,227.86824
2010-01-26 12:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 12:00:00,292.05325
2010-01-26 15:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 15:00:00,309.39795
2010-01-26 18:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 18:00:00,169.96516
2010-01-26 21:00:00,0,0 days,0.0,53.0,7.95,2010-01-26 21:00:00,97.32083
2010-01-27 00:00:00,0,0 days,0.0,53.0,7.95,2010-01-27 00:00:00,57.203552
2010-01-27 03:00:00,0,0 days,0.0,53.0,7.95,2010-01-27 03:00:00,109.90961
