date,number,surface,latitude,longitude,blh
2017-01-01,0,0,28.55,77.19,265.08115
2017-01-02,0,0,28.55,77.19,134.6412
2017-01-03,0,0,28.55,77.19,163.46681
2017-01-04,0,0,28.55,77.19,204.29042
2017-01-05,0,0,28.55,77.19,121.36127
2017-01-06,0,0,28.55,77.19,215.55435
2017-01-07,0,0,28.55,77.19,175.40158
2017-01-08,0,0,28.55,77.19,230.49957
2017-01-09,0,0,28.55,77.19,210.53209
2017-01-10,0,0,28.55,77.19,326.52765
2017-01-11,0,0,28.55,77.19,290.22565
2017-01-12,0,0,28.55,77.19,222.58247
2017-01-13,0,0,28.55,77.19,197.52258
2017-01-14,0,0,28.55,77.19,166.28629
2017-01-15,0,0,28.55,77.19,156.10551
2017-01-16,0,0,28.55,77.19,308.77737
2017-01-17,0,0,28.55,77.19,277.07986
2017-01-18,0,0,28.55,77.19,232.07607
2017-01-19,0,0,28.55,77.19,287.55722
2017-01-20,0,0,28.55,77.19,231.86322
2017-01-21,0,0,28.55,77.19,157.08322
2017-01-22,0,0,28.55,77.19,135.67181
2017-01-23,0,0,28.55,77.19,157.49565
2017-01-24,0,0,28.55,77.19,130.5937
2017-01-25,0,0,28.55,77.19,227.2423
2017-01-26,0,0,28.55,77.19,188.04318
2017-01-27,0,0,28.55,77.19,507.9249
2017-01-28,0,0,28.55,77.19,352.4143
2017-01-29,0,0,28.55,77.19,265.86502
2017-01-30,0,0,28.55,77.19,191.88522
2017-01-31,0,0,28.55,77.19,152.0081
2017-02-01,0,0,28.55,77.19,187.29797
2017-02-02,0,0,28.55,77.19,197.81789
2017-02-03,0,0,28.55,77.19,147.2238
2017-02-04,0,0,28.55,77.19,332.31912
2017-02-05,0,0,28.55,77.19,270.3353
2017-02-06,0,0,28.55,77.19,260.499
2017-02-07,0,0,28.55,77.19,266.10095
2017-02-08,0,0,28.55,77.19,210.36978
2017-02-09,0,0,28.55,77.19,420.4027
2017-02-10,0,0,28.55,77.19,332.74738
2017-02-11,0,0,28.55,77.19,204.66989
2017-02-12,0,0,28.55,77.19,299.62326
2017-02-13,0,0,28.55,77.19,308.76288
2017-02-14,0,0,28.55,77.19,209.02788
