date,number,step,surface,latitude,longitude,valid_time,blh
2007-05-01 00:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 00:00:00,336.25897
2007-05-01 03:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 03:00:00,153.4778
2007-05-01 06:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 06:00:00,63.261932
2007-05-01 09:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 09:00:00,46.755615
2007-05-01 12:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 12:00:00,83.31467
2007-05-01 15:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 15:00:00,523.8872
2007-05-01 18:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 18:00:00,580.5615
2007-05-01 21:00:00,0,0 days,0.0,44.2,-79.8,2007-05-01 21:00:00,487.78906
2007-05-02 00:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 00:00:00,243.72813
2007-05-02 03:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 03:00:00,65.461716
2007-05-02 06:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 06:00:00,60.883957
2007-05-02 09:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 09:00:00,158.33777
2007-05-02 12:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 12:00:00,190.68398
2007-05-02 15:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 15:00:00,975.1577
2007-05-02 18:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 18:00:00,1839.2314
2007-05-02 21:00:00,0,0 days,0.0,44.2,-79.8,2007-05-02 21:00:00,1160.7388
2007-05-03 00:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 00:00:00,362.4101
2007-05-03 03:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 03:00:00,213.89684
2007-05-03 06:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 06:00:00,165.8301
2007-05-03 09:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 09:00:00,112.729675
2007-05-03 12:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 12:00:00,188.34642
2007-05-03 15:00:00,0,0 days,0.0,44.2,-79.8,2007-05-03 15:00:00,1033.6831
