date,number,step,surface,latitude,longitude,valid_time,blh
2008-06-01 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 00:00:00,37.5045
2008-06-01 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 03:00:00,30.44629
2008-06-01 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 06:00:00,362.1553
2008-06-01 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 09:00:00,1233.5641
2008-06-01 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 12:00:00,1332.7886
2008-06-01 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 15:00:00,864.1614
2008-06-01 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 18:00:00,301.08923
2008-06-01 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-01 21:00:00,153.57466
2008-06-02 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 00:00:00,127.99994
2008-06-02 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 03:00:00,111.41455
2008-06-02 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 06:00:00,619.9424
2008-06-02 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 09:00:00,1140.4292
2008-06-02 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 12:00:00,1374.2954
2008-06-02 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 15:00:00,1181.0325
2008-06-02 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 18:00:00,523.99146
2008-06-02 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-02 21:00:00,235.8844
2008-06-03 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 00:00:00,160.9448
2008-06-03 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 03:00:00,156.24359
2008-06-03 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 06:00:00,602.17065
2008-06-03 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 09:00:00,876.9341
2008-06-03 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 12:00:00,919.3501
2008-06-03 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 15:00:00,786.7195
2008-06-03 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 18:00:00,265.45654
2008-06-03 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-03 21:00:00,118.72453
2008-06-04 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 00:00:00,72.60866
2008-06-04 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 03:00:00,53.266876
2008-06-04 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 06:00:00,276.34363
2008-06-04 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 09:00:00,1162.0629
2008-06-04 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 12:00:00,1175.5466
2008-06-04 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 15:00:00,964.8618
2008-06-04 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 18:00:00,342.9448
2008-06-04 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-04 21:00:00,238.79633
2008-06-05 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 00:00:00,156.0313
2008-06-05 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 03:00:00,97.22525
2008-06-05 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 06:00:00,695.2671
2008-06-05 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 09:00:00,1528.0632
2008-06-05 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 12:00:00,1791.3167
2008-06-05 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 15:00:00,1304.363
2008-06-05 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 18:00:00,334.91132
2008-06-05 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-05 21:00:00,91.72235
2008-06-06 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 00:00:00,38.82521
2008-06-06 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 03:00:00,51.658615
2008-06-06 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 06:00:00,560.84155
2008-06-06 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 09:00:00,1912.426
2008-06-06 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 12:00:00,1977.8186
2008-06-06 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 15:00:00,1234.4731
2008-06-06 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 18:00:00,306.93262
2008-06-06 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-06 21:00:00,26.8255
2008-06-07 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 00:00:00,21.34346
2008-06-07 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 03:00:00,30.697235
2008-06-07 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 06:00:00,599.9802
2008-06-07 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 09:00:00,1290.2537
2008-06-07 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 12:00:00,1550.9697
2008-06-07 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 15:00:00,1081.5408
2008-06-07 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 18:00:00,162.21347
2008-06-07 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-07 21:00:00,102.523834
2008-06-08 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 00:00:00,47.926422
2008-06-08 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 03:00:00,38.753998
2008-06-08 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 06:00:00,356.13544
2008-06-08 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 09:00:00,1351.0253
2008-06-08 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 12:00:00,1449.8604
2008-06-08 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 15:00:00,1076.5724
2008-06-08 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 18:00:00,267.38226
2008-06-08 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-08 21:00:00,183.91733
2008-06-09 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 00:00:00,90.530014
2008-06-09 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 03:00:00,75.37686
2008-06-09 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 06:00:00,576.0261
2008-06-09 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 09:00:00,1424.0339
2008-06-09 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 12:00:00,1798.6194
2008-06-09 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 15:00:00,1206.3936
2008-06-09 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 18:00:00,653.417
2008-06-09 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-09 21:00:00,424.6001
2008-06-10 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 00:00:00,308.812
2008-06-10 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 03:00:00,309.41187
2008-06-10 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 06:00:00,941.3828
2008-06-10 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 09:00:00,1216.0403
2008-06-10 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 12:00:00,1219.6274
2008-06-10 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 15:00:00,1021.2693
2008-06-10 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 18:00:00,699.4082
2008-06-10 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-10 21:00:00,434.85596
2008-06-11 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 00:00:00,235.79337
2008-06-11 03:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 03:00:00,233.92465
2008-06-11 06:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 06:00:00,907.48364
2008-06-11 09:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 09:00:00,1262.5991
2008-06-11 12:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 12:00:00,1250.74
2008-06-11 15:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 15:00:00,1000.70605
2008-06-11 18:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 18:00:00,582.56494
2008-06-11 21:00:00,0,0 days,0.0,35.2,25.4,2008-06-11 21:00:00,172.34006
2008-06-12 00:00:00,0,0 days,0.0,35.2,25.4,2008-06-12 00:00:00,131.11044
