date,number,surface,latitude,longitude,blh
2013-02-01,0,0,21.802,39.729,746.83154
2013-02-02,0,0,21.802,39.729,756.62756
2013-02-03,0,0,21.802,39.729,861.9072
2013-02-04,0,0,21.802,39.729,810.26215
2013-02-05,0,0,21.802,39.729,838.6133
2013-02-06,0,0,21.802,39.729,669.9352
2013-02-07,0,0,21.802,39.729,669.0895
2013-02-08,0,0,21.802,39.729,577.0966
2013-02-09,0,0,21.802,39.729,621.6968
2013-02-10,0,0,21.802,39.729,600.54346
2013-02-11,0,0,21.802,39.729,599.89935
2013-02-12,0,0,21.802,39.729,534.15125
2013-02-13,0,0,21.802,39.729,749.19586
2013-02-14,0,0,21.802,39.729,537.8193
2013-02-15,0,0,21.802,39.729,615.23596
2013-02-16,0,0,21.802,39.729,499.1285
2013-02-17,0,0,21.802,39.729,505.39178
2013-02-18,0,0,21.802,39.729,546.29315
2013-02-19,0,0,21.802,39.729,586.87146
2013-02-20,0,0,21.802,39.729,567.03094
2013-02-21,0,0,21.802,39.729,485.9713
2013-02-22,0,0,21.802,39.729,604.5216
2013-02-23,0,0,21.802,39.729,664.18884
2013-02-24,0,0,21.802,39.729,672.42053
2013-02-25,0,0,21.802,39.729,912.1618
2013-02-26,0,0,21.802,39.729,658.65594
2013-02-27,0,0,21.802,39.729,717.5346
2013-02-28,0,0,21.802,39.729,726.9291
2013-03-01,0,0,21.802,39.729,627.493
2013-03-02,0,0,21.802,39.729,676.10974
2013-03-03,0,0,21.802,39.729,668.6925
2013-03-04,0,0,21.802,39.729,561.45795
2013-03-05,0,0,21.802,39.729,697.30444
2013-03-06,0,0,21.802,39.729,663.9033
2013-03-07,0,0,21.802,39.729,848.08246
2013-03-08,0,0,21.802,39.729,701.4472
2013-03-09,0,0,21.802,39.729,709.9796
2013-03-10,0,0,21.802,39.729,689.70935
2013-03-11,0,0,21.802,39.729,745.77106
2013-03-12,0,0,21.802,39.729,982.40015
2013-03-13,0,0,21.802,39.729,732.53455
2013-03-14,0,0,21.802,39.729,827.65125
2013-03-15,0,0,21.802,39.729,637.07544
2013-03-16,0,0,21.802,39.729,827.9373
2013-03-17,0,0,21.802,39.729,783.6519
2013-03-18,0,0,21.802,39.729,578.95233
2013-03-19,0,0,21.802,39.729,647.5906
2013-03-20,0,0,21.802,39.729,722.99915
2013-03-21,0,0,21.802,39.729,747.64526
2013-03-22,0,0,21.802,39.729,870.4833
2013-03-23,0,0,21.802,39.729,829.64417
2013-03-24,0,0,21.802,39.729,692.5053
2013-03-25,0,0,21.802,39.729,676.6708
2013-03-26,0,0,21.802,39.729,865.60913
2013-03-27,0,0,21.802,39.729,960.70856
2013-03-28,0,0,21.802,39.729,843.31854
2013-03-29,0,0,21.802,39.729,834.6385
2013-03-30,0,0,21.802,39.729,908.61444
2013-03-31,0,0,21.802,39.729,1034.5208
2013-04-01,0,0,21.802,39.729,1106.0022
2013-04-02,0,0,21.802,39.729,847.2006
2013-04-03,0,0,21.802,39.729,673.1333
2013-04-04,0,0,21.802,39.729,879.9348
2013-04-05,0,0,21.802,39.729,777.42236
2013-04-06,0,0,21.802,39.729,862.93896
2013-04-07,0,0,21.802,39.729,926.73315
2013-04-08,0,0,21.802,39.729,701.4328
2013-04-09,0,0,21.802,39.729,723.04083
2013-04-10,0,0,21.802,39.729,620.15094
2013-04-11,0,0,21.802,39.729,623.5475
2013-04-12,0,0,21.802,39.729,793.33496
2013-04-13,0,0,21.802,39.729,764.46936
2013-04-14,0,0,21.802,39.729,733.8542
