date,number,surface,latitude,longitude,blh
2005-01-01,0,0,60.2,24.96,485.2774
2005-01-02,0,0,60.2,24.96,793.58655
2005-01-03,0,0,60.2,24.96,550.669
2005-01-04,0,0,60.2,24.96,248.05397
2005-01-05,0,0,60.2,24.96,559.864
2005-01-06,0,0,60.2,24.96,375.35345
2005-01-07,0,0,60.2,24.96,621.89404
2005-01-08,0,0,60.2,24.96,551.5937
2005-01-09,0,0,60.2,24.96,934.01263
2005-01-10,0,0,60.2,24.96,481.00827
2005-01-11,0,0,60.2,24.96,554.03253
2005-01-12,0,0,60.2,24.96,575.69476
2005-01-13,0,0,60.2,24.96,1077.4038
2005-01-14,0,0,60.2,24.96,766.1759
2005-01-15,0,0,60.2,24.96,338.96164
2005-01-16,0,0,60.2,24.96,617.30383
2005-01-17,0,0,60.2,24.96,693.545
2005-01-18,0,0,60.2,24.96,639.62
2005-01-19,0,0,60.2,24.96,654.1485
2005-01-20,0,0,60.2,24.96,743.1698
2005-01-21,0,0,60.2,24.96,713.87366
2005-01-22,0,0,60.2,24.96,201.23018
2005-01-23,0,0,60.2,24.96,213.77617
2005-01-24,0,0,60.2,24.96,291.71533
2005-01-25,0,0,60.2,24.96,360.34186
2005-01-26,0,0,60.2,24.96,191.50302
2005-01-27,0,0,60.2,24.96,660.26575
2005-01-28,0,0,60.2,24.96,590.92645
2005-01-29,0,0,60.2,24.96,411.88235
2005-01-30,0,0,60.2,24.96,394.21802
2005-01-31,0,0,60.2,24.96,439.43683
2005-02-01,0,0,60.2,24.96,126.66165
2005-02-02,0,0,60.2,24.96,254.74954
2005-02-03,0,0,60.2,24.96,245.74002
2005-02-04,0,0,60.2,24.96,431.45898
2005-02-05,0,0,60.2,24.96,678.7954
2005-02-06,0,0,60.2,24.96,581.24
2005-02-07,0,0,60.2,24.96,481.41812
2005-02-08,0,0,60.2,24.96,243.58356
2005-02-09,0,0,60.2,24.96,277.99094
2005-02-10,0,0,60.2,24.96,720.6413
2005-02-11,0,0,60.2,24.96,543.18884
2005-02-12,0,0,60.2,24.96,462.22537
2005-02-13,0,0,60.2,24.96,994.4487
2005-02-14,0,0,60.2,24.96,884.4149
2005-02-15,0,0,60.2,24.96,560.0169
2005-02-16,0,0,60.2,24.96,299.17404
2005-02-17,0,0,60.2,24.96,273.02454
2005-02-18,0,0,60.2,24.96,292.08936
2005-02-19,0,0,60.2,24.96,359.4959
2005-02-20,0,0,60.2,24.96,306.85876
2005-02-21,0,0,60.2,24.96,474.15924
2005-02-22,0,0,60.2,24.96,706.0066
2005-02-23,0,0,60.2,24.96,394.2771
2005-02-24,0,0,60.2,24.96,158.61174
2005-02-25,0,0,60.2,24.96,354.67853
2005-02-26,0,0,60.2,24.96,431.96713
2005-02-27,0,0,60.2,24.96,508.42834
2005-02-28,0,0,60.2,24.96,432.65277
2005-03-01,0,0,60.2,24.96,482.94067
2005-03-02,0,0,60.2,24.96,199.25462
2005-03-03,0,0,60.2,24.96,199.99724
2005-03-04,0,0,60.2,24.96,127.73009
2005-03-05,0,0,60.2,24.96,207.2217
2005-03-06,0,0,60.2,24.96,416.7049
2005-03-07,0,0,60.2,24.96,365.4493
2005-03-08,0,0,60.2,24.96,744.25055
2005-03-09,0,0,60.2,24.96,657.47876
2005-03-10,0,0,60.2,24.96,224.56522
2005-03-11,0,0,60.2,24.96,190.62816
2005-03-12,0,0,60.2,24.96,646.5278
2005-03-13,0,0,60.2,24.96,546.52484
2005-03-14,0,0,60.2,24.96,251.96532
2005-03-15,0,0,60.2,24.96,183.75449
