date,number,step,surface,latitude,longitude,valid_time,blh
2010-01-01 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 00:00:00,24.948227
2010-01-01 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 03:00:00,29.931793
2010-01-01 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 06:00:00,29.772552
2010-01-01 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 09:00:00,30.615128
2010-01-01 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 12:00:00,211.59322
2010-01-01 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 15:00:00,194.19415
2010-01-01 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 18:00:00,180.45872
2010-01-01 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-01 21:00:00,274.62958
2010-01-02 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 00:00:00,755.8589
2010-01-02 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 03:00:00,958.1304
2010-01-02 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 06:00:00,1027.7759
2010-01-02 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 09:00:00,886.23145
2010-01-02 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 12:00:00,1098.0774
2010-01-02 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 15:00:00,857.60425
2010-01-02 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 18:00:00,885.6531
2010-01-02 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-02 21:00:00,664.2517
2010-01-03 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 00:00:00,194.02763
2010-01-03 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 03:00:00,116.45766
2010-01-03 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 06:00:00,108.438
2010-01-03 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 09:00:00,114.97598
2010-01-03 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 12:00:00,553.5752
2010-01-03 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 15:00:00,135.28178
2010-01-03 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 18:00:00,41.716553
2010-01-03 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-03 21:00:00,30.391464
2010-01-04 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 00:00:00,36.086746
2010-01-04 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 03:00:00,29.863007
2010-01-04 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 06:00:00,23.640823
2010-01-04 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 09:00:00,29.143814
2010-01-04 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 12:00:00,245.65169
2010-01-04 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 15:00:00,195.63179
2010-01-04 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 18:00:00,15.520831
2010-01-04 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-04 21:00:00,11.570564
2010-01-05 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 00:00:00,15.347833
2010-01-05 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 03:00:00,20.09253
2010-01-05 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 06:00:00,27.728943
2010-01-05 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 09:00:00,49.827545
2010-01-05 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 12:00:00,271.13605
2010-01-05 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 15:00:00,166.9619
2010-01-05 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 18:00:00,84.01784
2010-01-05 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-05 21:00:00,36.664474
2010-01-06 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 00:00:00,61.424072
2010-01-06 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 03:00:00,52.993347
2010-01-06 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 06:00:00,26.978455
2010-01-06 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 09:00:00,73.41269
2010-01-06 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 12:00:00,205.08357
2010-01-06 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 15:00:00,271.39557
2010-01-06 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 18:00:00,83.28801
2010-01-06 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-06 21:00:00,17.44505
2010-01-07 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 00:00:00,23.292227
2010-01-07 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 03:00:00,24.412155
2010-01-07 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 06:00:00,23.676239
2010-01-07 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 09:00:00,42.387253
2010-01-07 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 12:00:00,664.02783
2010-01-07 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 15:00:00,135.86488
2010-01-07 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 18:00:00,60.12381
2010-01-07 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-07 21:00:00,40.51944
2010-01-08 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 00:00:00,57.30435
2010-01-08 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 03:00:00,170.03467
2010-01-08 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 06:00:00,225.08134
2010-01-08 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 09:00:00,292.8579
2010-01-08 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 12:00:00,472.28003
2010-01-08 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 15:00:00,481.88403
2010-01-08 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 18:00:00,276.81955
2010-01-08 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-08 21:00:00,153.86363
2010-01-09 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 00:00:00,156.48918
2010-01-09 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 03:00:00,85.822784
2010-01-09 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 06:00:00,130.14551
2010-01-09 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 09:00:00,236.37123
2010-01-09 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 12:00:00,479.4109
2010-01-09 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 15:00:00,392.28784
2010-01-09 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 18:00:00,196.53642
2010-01-09 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-09 21:00:00,80.64659
2010-01-10 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 00:00:00,39.59961
2010-01-10 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 03:00:00,26.35205
2010-01-10 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 06:00:00,72.50177
2010-01-10 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 09:00:00,160.75024
2010-01-10 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 12:00:00,511.386
2010-01-10 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 15:00:00,430.54688
2010-01-10 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 18:00:00,143.31168
2010-01-10 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-10 21:00:00,100.16054
2010-01-11 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 00:00:00,98.57947
2010-01-11 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 03:00:00,106.84064
2010-01-11 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 06:00:00,80.48546
2010-01-11 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 09:00:00,166.25572
2010-01-11 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 12:00:00,352.51562
2010-01-11 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 15:00:00,260.1926
2010-01-11 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 18:00:00,130.26575
2010-01-11 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-11 21:00:00,79.05443
2010-01-12 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 00:00:00,40.5251
2010-01-12 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 03:00:00,28.182892
2010-01-12 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 06:00:00,25.79197
2010-01-12 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 09:00:00,40.351166
2010-01-12 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 12:00:00,330.4226
2010-01-12 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 15:00:00,174.2608
2010-01-12 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 18:00:00,103.43791
2010-01-12 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-12 21:00:00,37.613037
2010-01-13 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 00:00:00,38.727997
2010-01-13 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 03:00:00,35.000412
2010-01-13 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 06:00:00,32.7352
2010-01-13 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 09:00:00,36.360153
2010-01-13 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 12:00:00,123.515625
2010-01-13 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 15:00:00,45.09178
2010-01-13 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 18:00:00,25.356201
2010-01-13 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-13 21:00:00,29.332
2010-01-14 00:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 00:00:00,33.302734
2010-01-14 03:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 03:00:00,39.37355
2010-01-14 06:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 06:00:00,26.711273
2010-01-14 09:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 09:00:00,38.466843
2010-01-14 12:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 12:00:00,294.90845
2010-01-14 15:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 15:00:00,143.19908
2010-01-14 18:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 18:00:00,42.97879
2010-01-14 21:00:00,0,0 days,0.0,47.8,11.0,2010-01-14 21:00:00,23.133743
