date,number,surface,latitude,longitude,blh
2006-01-01,0,0,51.6,-1.3,800.4882
2006-01-02,0,0,51.6,-1.3,148.81729
2006-01-03,0,0,51.6,-1.3,211.2404
2006-01-04,0,0,51.6,-1.3,499.2665
2006-01-05,0,0,51.6,-1.3,572.49225
2006-01-06,0,0,51.6,-1.3,346.20145
2006-01-07,0,0,51.6,-1.3,156.47473
2006-01-08,0,0,51.6,-1.3,400.9401
2006-01-09,0,0,51.6,-1.3,353.7889
2006-01-10,0,0,51.6,-1.3,782.0671
2006-01-11,0,0,51.6,-1.3,772.80035
2006-01-12,0,0,51.6,-1.3,299.55685
2006-01-13,0,0,51.6,-1.3,671.2702
2006-01-14,0,0,51.6,-1.3,447.11658
2006-01-15,0,0,51.6,-1.3,548.0646
2006-01-16,0,0,51.6,-1.3,612.6954
2006-01-17,0,0,51.6,-1.3,668.5025
2006-01-18,0,0,51.6,-1.3,548.4649
2006-01-19,0,0,51.6,-1.3,540.19604
2006-01-20,0,0,51.6,-1.3,1117.3054
2006-01-21,0,0,51.6,-1.3,467.16034
2006-01-22,0,0,51.6,-1.3,84.171295
2006-01-23,0,0,51.6,-1.3,324.87424
2006-01-24,0,0,51.6,-1.3,127.47279
2006-01-25,0,0,51.6,-1.3,472.72327
2006-01-26,0,0,51.6,-1.3,973.34753
2006-01-27,0,0,51.6,-1.3,867.76855
2006-01-28,0,0,51.6,-1.3,591.63245
2006-01-29,0,0,51.6,-1.3,459.54407
2006-01-30,0,0,51.6,-1.3,592.6283
2006-01-31,0,0,51.6,-1.3,351.10022
2006-02-01,0,0,51.6,-1.3,183.25621
2006-02-02,0,0,51.6,-1.3,285.2577
2006-02-03,0,0,51.6,-1.3,355.96317
2006-02-04,0,0,51.6,-1.3,240.14229
2006-02-05,0,0,51.6,-1.3,182.86748
2006-02-06,0,0,51.6,-1.3,453.64856
2006-02-07,0,0,51.6,-1.3,802.498
2006-02-08,0,0,51.6,-1.3,948.6757
2006-02-09,0,0,51.6,-1.3,557.2667
2006-02-10,0,0,51.6,-1.3,187.58276
2006-02-11,0,0,51.6,-1.3,216.13155
2006-02-12,0,0,51.6,-1.3,593.9663
2006-02-13,0,0,51.6,-1.3,484.09894
2006-02-14,0,0,51.6,-1.3,779.1723
2006-02-15,0,0,51.6,-1.3,1188.0491
2006-02-16,0,0,51.6,-1.3,861.05817
2006-02-17,0,0,51.6,-1.3,649.17725
2006-02-18,0,0,51.6,-1.3,115.971794
2006-02-19,0,0,51.6,-1.3,464.9043
2006-02-20,0,0,51.6,-1.3,1124.6027
2006-02-21,0,0,51.6,-1.3,1075.0494
2006-02-22,0,0,51.6,-1.3,940.4545
2006-02-23,0,0,51.6,-1.3,651.9049
2006-02-24,0,0,51.6,-1.3,913.2036
2006-02-25,0,0,51.6,-1.3,980.3251
2006-02-26,0,0,51.6,-1.3,1135.1951
2006-02-27,0,0,51.6,-1.3,646.0946
2006-02-28,0,0,51.6,-1.3,1015.09424
2006-03-01,0,0,51.6,-1.3,699.0452
2006-03-02,0,0,51.6,-1.3,424.1173
2006-03-03,0,0,51.6,-1.3,252.55069
2006-03-04,0,0,51.6,-1.3,366.98447
2006-03-05,0,0,51.6,-1.3,723.1551
2006-03-06,0,0,51.6,-1.3,394.35052
2006-03-07,0,0,51.6,-1.3,285.48322
2006-03-08,0,0,51.6,-1.3,573.4789
2006-03-09,0,0,51.6,-1.3,727.9937
2006-03-10,0,0,51.6,-1.3,1145.2117
2006-03-11,0,0,51.6,-1.3,818.9903
2006-03-12,0,0,51.6,-1.3,711.785
2006-03-13,0,0,51.6,-1.3,762.3223
2006-03-14,0,0,51.6,-1.3,486.8144
2006-03-15,0,0,51.6,-1.3,479.88925
2006-03-16,0,0,51.6,-1.3,871.3847
2006-03-17,0,0,51.6,-1.3,1085.5852
2006-03-18,0,0,51.6,-1.3,974.64575
2006-03-19,0,0,51.6,-1.3,676.7768
2006-03-20,0,0,51.6,-1.3,763.1738
2006-03-21,0,0,51.6,-1.3,1075.618
2006-03-22,0,0,51.6,-1.3,703.38684
2006-03-23,0,0,51.6,-1.3,606.1
2006-03-24,0,0,51.6,-1.3,732.87225
2006-03-25,0,0,51.6,-1.3,865.1139
2006-03-26,0,0,51.6,-1.3,997.979
2006-03-27,0,0,51.6,-1.3,1234.3639
2006-03-28,0,0,51.6,-1.3,1207.8885
2006-03-29,0,0,51.6,-1.3,666.1337
2006-03-30,0,0,51.6,-1.3,1128.6536
2006-03-31,0,0,51.6,-1.3,1155.1062
2006-04-01,0,0,51.6,-1.3,1053.5282
2006-04-02,0,0,51.6,-1.3,1162.3413
2006-04-03,0,0,51.6,-1.3,1023.3664
2006-04-04,0,0,51.6,-1.3,778.90234
2006-04-05,0,0,51.6,-1.3,573.81274
2006-04-06,0,0,51.6,-1.3,624.2435
2006-04-07,0,0,51.6,-1.3,757.5476
2006-04-08,0,0,51.6,-1.3,1135.8167
2006-04-09,0,0,51.6,-1.3,600.06995
2006-04-10,0,0,51.6,-1.3,746.65137
2006-04-11,0,0,51.6,-1.3,587.82294
2006-04-12,0,0,51.6,-1.3,801.55963
2006-04-13,0,0,51.6,-1.3,1042.9945
2006-04-14,0,0,51.6,-1.3,497.00638
2006-04-15,0,0,51.6,-1.3,323.12305
2006-04-16,0,0,51.6,-1.3,490.92548
2006-04-17,0,0,51.6,-1.3,733.6048
2006-04-18,0,0,51.6,-1.3,720.113
2006-04-19,0,0,51.6,-1.3,683.1162
2006-04-20,0,0,51.6,-1.3,655.2051
2006-04-21,0,0,51.6,-1.3,433.3476
2006-04-22,0,0,51.6,-1.3,448.26562
2006-04-23,0,0,51.6,-1.3,295.26288
2006-04-24,0,0,51.6,-1.3,402.82196
2006-04-25,0,0,51.6,-1.3,523.7868
2006-04-26,0,0,51.6,-1.3,529.6759
2006-04-27,0,0,51.6,-1.3,498.06335
2006-04-28,0,0,51.6,-1.3,852.6112
2006-04-29,0,0,51.6,-1.3,832.6194
2006-04-30,0,0,51.6,-1.3,373.62817
2006-05-01,0,0,51.6,-1.3,1075.3735
2006-05-02,0,0,51.6,-1.3,649.7052
2006-05-03,0,0,51.6,-1.3,772.7101
2006-05-04,0,0,51.6,-1.3,702.51416
2006-05-05,0,0,51.6,-1.3,609.4806
2006-05-06,0,0,51.6,-1.3,230.51392
2006-05-07,0,0,51.6,-1.3,447.26227
2006-05-08,0,0,51.6,-1.3,406.3609
2006-05-09,0,0,51.6,-1.3,246.50702
2006-05-10,0,0,51.6,-1.3,389.29883
2006-05-11,0,0,51.6,-1.3,237.07687
2006-05-12,0,0,51.6,-1.3,450.5769
2006-05-13,0,0,51.6,-1.3,467.8952
2006-05-14,0,0,51.6,-1.3,456.61472
2006-05-15,0,0,51.6,-1.3,502.73944
2006-05-16,0,0,51.6,-1.3,558.4169
2006-05-17,0,0,51.6,-1.3,488.21185
2006-05-18,0,0,51.6,-1.3,1089.5037
2006-05-19,0,0,51.6,-1.3,1179.8086
2006-05-20,0,0,51.6,-1.3,984.01245
2006-05-21,0,0,51.6,-1.3,702.7372
2006-05-22,0,0,51.6,-1.3,1005.5053
2006-05-23,0,0,51.6,-1.3,990.12836
2006-05-24,0,0,51.6,-1.3,1227.8036
2006-05-25,0,0,51.6,-1.3,736.45764
2006-05-26,0,0,51.6,-1.3,671.59595
2006-05-27,0,0,51.6,-1.3,549.78
2006-05-28,0,0,51.6,-1.3,954.863
2006-05-29,0,0,51.6,-1.3,890.3228
2006-05-30,0,0,51.6,-1.3,849.9863
2006-05-31,0,0,51.6,-1.3,1009.8419
2006-06-01,0,0,51.6,-1.3,671.98413
2006-06-02,0,0,51.6,-1.3,636.63477
2006-06-03,0,0,51.6,-1.3,569.959
2006-06-04,0,0,51.6,-1.3,316.5874
2006-06-05,0,0,51.6,-1.3,650.2411
2006-06-06,0,0,51.6,-1.3,521.99335
2006-06-07,0,0,51.6,-1.3,543.5716
2006-06-08,0,0,51.6,-1.3,425.72766
2006-06-09,0,0,51.6,-1.3,745.0757
2006-06-10,0,0,51.6,-1.3,617.2814
2006-06-11,0,0,51.6,-1.3,529.7109
2006-06-12,0,0,51.6,-1.3,507.91043
2006-06-13,0,0,51.6,-1.3,453.39386
2006-06-14,0,0,51.6,-1.3,596.7561
2006-06-15,0,0,51.6,-1.3,774.34094
2006-06-16,0,0,51.6,-1.3,537.5785
2006-06-17,0,0,51.6,-1.3,663.7011
2006-06-18,0,0,51.6,-1.3,626.6768
2006-06-19,0,0,51.6,-1.3,762.3693
2006-06-20,0,0,51.6,-1.3,942.6563
2006-06-21,0,0,51.6,-1.3,1279.757
2006-06-22,0,0,51.6,-1.3,1182.4258
2006-06-23,0,0,51.6,-1.3,703.3438
2006-06-24,0,0,51.6,-1.3,800.33746
2006-06-25,0,0,51.6,-1.3,511.44424
2006-06-26,0,0,51.6,-1.3,571.5463
2006-06-27,0,0,51.6,-1.3,470.75107
2006-06-28,0,0,51.6,-1.3,670.2746
2006-06-29,0,0,51.6,-1.3,636.42773
2006-06-30,0,0,51.6,-1.3,604.2242
2006-07-01,0,0,51.6,-1.3,649.9513
2006-07-02,0,0,51.6,-1.3,896.38586
2006-07-03,0,0,51.6,-1.3,905.3746
2006-07-04,0,0,51.6,-1.3,566.8856
2006-07-05,0,0,51.6,-1.3,262.95346
2006-07-06,0,0,51.6,-1.3,445.51764
2006-07-07,0,0,51.6,-1.3,636.1267
2006-07-08,0,0,51.6,-1.3,880.31177
2006-07-09,0,0,51.6,-1.3,1077.1987
2006-07-10,0,0,51.6,-1.3,473.7069
2006-07-11,0,0,51.6,-1.3,864.5719
2006-07-12,0,0,51.6,-1.3,534.2035
2006-07-13,0,0,51.6,-1.3,734.2863
2006-07-14,0,0,51.6,-1.3,862.8895
2006-07-15,0,0,51.6,-1.3,753.4854
2006-07-16,0,0,51.6,-1.3,786.7525
2006-07-17,0,0,51.6,-1.3,770.1867
2006-07-18,0,0,51.6,-1.3,805.5139
2006-07-19,0,0,51.6,-1.3,918.1605
2006-07-20,0,0,51.6,-1.3,816.7256
2006-07-21,0,0,51.6,-1.3,647.4703
2006-07-22,0,0,51.6,-1.3,326.85425
2006-07-23,0,0,51.6,-1.3,510.31116
2006-07-24,0,0,51.6,-1.3,835.31134
2006-07-25,0,0,51.6,-1.3,745.1711
2006-07-26,0,0,51.6,-1.3,493.1027
2006-07-27,0,0,51.6,-1.3,534.4829
2006-07-28,0,0,51.6,-1.3,809.901
2006-07-29,0,0,51.6,-1.3,611.23914
2006-07-30,0,0,51.6,-1.3,1007.75146
2006-07-31,0,0,51.6,-1.3,881.614
2006-08-01,0,0,51.6,-1.3,1094.5764
2006-08-02,0,0,51.6,-1.3,1139.3594
2006-08-03,0,0,51.6,-1.3,1080.4331
2006-08-04,0,0,51.6,-1.3,674.80774
2006-08-05,0,0,51.6,-1.3,484.63348
2006-08-06,0,0,51.6,-1.3,713.5828
2006-08-07,0,0,51.6,-1.3,763.7533
2006-08-08,0,0,51.6,-1.3,884.4144
2006-08-09,0,0,51.6,-1.3,1071.6494
2006-08-10,0,0,51.6,-1.3,1238.2937
2006-08-11,0,0,51.6,-1.3,1275.6698
2006-08-12,0,0,51.6,-1.3,1156.9141
2006-08-13,0,0,51.6,-1.3,758.91974
2006-08-14,0,0,51.6,-1.3,671.9378
2006-08-15,0,0,51.6,-1.3,687.2218
2006-08-16,0,0,51.6,-1.3,747.6863
2006-08-17,0,0,51.6,-1.3,457.56287
2006-08-18,0,0,51.6,-1.3,392.5472
2006-08-19,0,0,51.6,-1.3,664.5551
2006-08-20,0,0,51.6,-1.3,843.15704
2006-08-21,0,0,51.6,-1.3,950.2566
2006-08-22,0,0,51.6,-1.3,624.7287
2006-08-23,0,0,51.6,-1.3,499.5335
2006-08-24,0,0,51.6,-1.3,742.1926
2006-08-25,0,0,51.6,-1.3,556.2928
2006-08-26,0,0,51.6,-1.3,641.948
2006-08-27,0,0,51.6,-1.3,817.2677
2006-08-28,0,0,51.6,-1.3,1014.13245
2006-08-29,0,0,51.6,-1.3,1052.1284
2006-08-30,0,0,51.6,-1.3,794.06396
2006-08-31,0,0,51.6,-1.3,811.1968
