date,number,step,surface,latitude,longitude,valid_time,blh
2003-01-01 00:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 00:00:00,54.159866
2003-01-01 03:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 03:00:00,45.802704
2003-01-01 06:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 06:00:00,59.77736
2003-01-01 09:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 09:00:00,82.902954
2003-01-01 12:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 12:00:00,138.17708
2003-01-01 15:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 15:00:00,130.91629
2003-01-01 18:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 18:00:00,117.79721
2003-01-01 21:00:00,0,0 days,0.0,61.85,24.29,2003-01-01 21:00:00,104.14708
2003-01-02 00:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 00:00:00,51.277298
2003-01-02 03:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 03:00:00,53.53685
2003-01-02 06:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 06:00:00,61.48874
2003-01-02 09:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 09:00:00,42.270844
2003-01-02 12:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 12:00:00,39.02864
2003-01-02 15:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 15:00:00,34.099213
2003-01-02 18:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 18:00:00,15.127221
2003-01-02 21:00:00,0,0 days,0.0,61.85,24.29,2003-01-02 21:00:00,19.213602
2003-01-03 00:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 00:00:00,24.880917
2003-01-03 03:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 03:00:00,34.297455
2003-01-03 06:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 06:00:00,79.84593
2003-01-03 09:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 09:00:00,132.77481
2003-01-03 12:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 12:00:00,160.79951
2003-01-03 15:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 15:00:00,171.30803
2003-01-03 18:00:00,0,0 days,0.0,61.85,24.29,2003-01-03 18:00:00,160.21611
