date,number,step,surface,latitude,longitude,valid_time,blh
2009-01-01 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 00:00:00,127.08295
2009-01-01 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 03:00:00,124.020645
2009-01-01 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 06:00:00,84.81004
2009-01-01 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 09:00:00,273.25244
2009-01-01 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 12:00:00,526.1294
2009-01-01 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 15:00:00,590.42773
2009-01-01 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 18:00:00,619.2461
2009-01-01 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-01 21:00:00,561.6456
2009-01-02 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 00:00:00,295.87463
2009-01-02 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 03:00:00,216.04822
2009-01-02 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 06:00:00,129.75766
2009-01-02 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 09:00:00,242.66618
2009-01-02 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 12:00:00,435.79785
2009-01-02 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 15:00:00,459.2329
2009-01-02 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 18:00:00,463.3413
2009-01-02 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-02 21:00:00,460.90222
2009-01-03 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 00:00:00,301.9817
2009-01-03 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 03:00:00,231.92027
2009-01-03 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 06:00:00,209.84273
2009-01-03 09:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 09:00:00,324.5653
2009-01-03 12:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 12:00:00,508.0852
2009-01-03 15:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 15:00:00,491.3998
2009-01-03 18:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 18:00:00,187.2253
2009-01-03 21:00:00,0,0 days,0.0,49.56,15.08,2009-01-03 21:00:00,259.56836
2009-01-04 00:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 00:00:00,289.91324
2009-01-04 03:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 03:00:00,382.91113
2009-01-04 06:00:00,0,0 days,0.0,49.56,15.08,2009-01-04 06:00:00,490.6499
