date,number,step,surface,latitude,longitude,valid_time,blh
2008-05-01 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 00:00:00,175.49574
2008-05-01 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 03:00:00,183.50964
2008-05-01 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 06:00:00,627.4304
2008-05-01 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 09:00:00,1190.2832
2008-05-01 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 12:00:00,1650.439
2008-05-01 15:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 15:00:00,1548.7234
2008-05-01 18:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 18:00:00,183.71893
2008-05-01 21:00:00,0,0 days,0.0,46.97,19.55,2008-05-01 21:00:00,237.7657
2008-05-02 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 00:00:00,188.39297
2008-05-02 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 03:00:00,378.36047
2008-05-02 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 06:00:00,540.49994
2008-05-02 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 09:00:00,1649.887
2008-05-02 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 12:00:00,2187.873
2008-05-02 15:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 15:00:00,1922.6467
2008-05-02 18:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 18:00:00,165.895
2008-05-02 21:00:00,0,0 days,0.0,46.97,19.55,2008-05-02 21:00:00,157.34395
2008-05-03 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 00:00:00,75.32291
2008-05-03 03:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 03:00:00,139.95996
2008-05-03 06:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 06:00:00,284.771
2008-05-03 09:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 09:00:00,1768.7117
2008-05-03 12:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 12:00:00,2370.2007
2008-05-03 15:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 15:00:00,1148.6763
2008-05-03 18:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 18:00:00,137.20103
2008-05-03 21:00:00,0,0 days,0.0,46.97,19.55,2008-05-03 21:00:00,50.47075
2008-05-04 00:00:00,0,0 days,0.0,46.97,19.55,2008-05-04 00:00:00,48.08339
