date,number,step,surface,latitude,longitude,valid_time,blh
2008-02-01 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 00:00:00,90.491425
2008-02-01 03:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 03:00:00,65.298065
2008-02-01 06:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 06:00:00,392.04443
2008-02-01 09:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 09:00:00,1154.6306
2008-02-01 12:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 12:00:00,1598.908
2008-02-01 15:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 15:00:00,1543.8535
2008-02-01 18:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 18:00:00,66.494995
2008-02-01 21:00:00,0,0 days,0.0,-25.7,27.5,2008-02-01 21:00:00,32.352367
2008-02-02 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 00:00:00,35.832367
2008-02-02 03:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 03:00:00,23.977982
2008-02-02 06:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 06:00:00,424.24976
2008-02-02 09:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 09:00:00,1263.8547
2008-02-02 12:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 12:00:00,1459.5374
2008-02-02 15:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 15:00:00,643.7954
2008-02-02 18:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 18:00:00,56.578537
2008-02-02 21:00:00,0,0 days,0.0,-25.7,27.5,2008-02-02 21:00:00,47.809814
2008-02-03 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 00:00:00,26.482864
2008-02-03 03:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 03:00:00,23.139114
2008-02-03 06:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 06:00:00,583.3008
2008-02-03 09:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 09:00:00,1118.2378
2008-02-03 12:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 12:00:00,1588.1062
2008-02-03 15:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 15:00:00,1571.6194
2008-02-03 18:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 18:00:00,56.197006
2008-02-03 21:00:00,0,0 days,0.0,-25.7,27.5,2008-02-03 21:00:00,33.423134
2008-02-04 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 00:00:00,143.12112
2008-02-04 03:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 03:00:00,37.660553
2008-02-04 06:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 06:00:00,551.6633
2008-02-04 09:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 09:00:00,1193.6753
2008-02-04 12:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 12:00:00,1359.8875
2008-02-04 15:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 15:00:00,436.6477
2008-02-04 18:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 18:00:00,459.49072
2008-02-04 21:00:00,0,0 days,0.0,-25.7,27.5,2008-02-04 21:00:00,208.03616
2008-02-05 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 00:00:00,76.65953
2008-02-05 03:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 03:00:00,83.35985
2008-02-05 06:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 06:00:00,302.12244
2008-02-05 09:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 09:00:00,704.374
2008-02-05 12:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 12:00:00,1145.3835
2008-02-05 15:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 15:00:00,1125.1223
2008-02-05 18:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 18:00:00,30.758652
2008-02-05 21:00:00,0,0 days,0.0,-25.7,27.5,2008-02-05 21:00:00,46.515213
2008-02-06 00:00:00,0,0 days,0.0,-25.7,27.5,2008-02-06 00:00:00,142.3844
