date,number,step,surface,latitude,longitude,valid_time,blh
2005-01-01 00:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 00:00:00,1292.6665
2005-01-01 03:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 03:00:00,955.4595
2005-01-01 06:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 06:00:00,1085.3892
2005-01-01 09:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 09:00:00,1263.5198
2005-01-01 12:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 12:00:00,1406.3162
2005-01-01 15:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 15:00:00,1768.0608
2005-01-01 18:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 18:00:00,2108.1804
2005-01-01 21:00:00,0,0 days,0.0,53.32,-9.88,2005-01-01 21:00:00,1905.408
2005-01-02 00:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 00:00:00,1782.47
2005-01-02 03:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 03:00:00,1536.9448
2005-01-02 06:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 06:00:00,1393.4719
2005-01-02 09:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 09:00:00,1447.9912
2005-01-02 12:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 12:00:00,1497.106
2005-01-02 15:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 15:00:00,1293.4094
2005-01-02 18:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 18:00:00,1177.6133
2005-01-02 21:00:00,0,0 days,0.0,53.32,-9.88,2005-01-02 21:00:00,1013.5891
2005-01-03 00:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 00:00:00,1172.6221
2005-01-03 03:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 03:00:00,1058.9783
2005-01-03 06:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 06:00:00,1164.7734
2005-01-03 09:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 09:00:00,1364.9226
2005-01-03 12:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 12:00:00,1300.9006
2005-01-03 15:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 15:00:00,1292.1033
2005-01-03 18:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 18:00:00,1324.4856
2005-01-03 21:00:00,0,0 days,0.0,53.32,-9.88,2005-01-03 21:00:00,1631.7234
2005-01-04 00:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 00:00:00,1595.8862
2005-01-04 03:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 03:00:00,1579.5825
2005-01-04 06:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 06:00:00,1198.4116
2005-01-04 09:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 09:00:00,1570.917
2005-01-04 12:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 12:00:00,1509.0679
2005-01-04 15:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 15:00:00,1410.2124
2005-01-04 18:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 18:00:00,1391.0454
2005-01-04 21:00:00,0,0 days,0.0,53.32,-9.88,2005-01-04 21:00:00,1234.1191
2005-01-05 00:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 00:00:00,1358.802
2005-01-05 03:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 03:00:00,1474.0986
2005-01-05 06:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 06:00:00,1513.2207
2005-01-05 09:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 09:00:00,1708.8428
2005-01-05 12:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 12:00:00,1676.7937
2005-01-05 15:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 15:00:00,1560.5039
2005-01-05 18:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 18:00:00,1363.1462
2005-01-05 21:00:00,0,0 days,0.0,53.32,-9.88,2005-01-05 21:00:00,1294.5981
