date,number,surface,latitude,longitude,blh
2008-01-01,0,0,51.53,12.9,413.7907
2008-01-02,0,0,51.53,12.9,300.8356
2008-01-03,0,0,51.53,12.9,793.00073
2008-01-04,0,0,51.53,12.9,584.712
2008-01-05,0,0,51.53,12.9,317.8542
2008-01-06,0,0,51.53,12.9,474.78656
2008-01-07,0,0,51.53,12.9,515.3308
2008-01-08,0,0,51.53,12.9,820.02954
2008-01-09,0,0,51.53,12.9,405.00748
2008-01-10,0,0,51.53,12.9,384.2944
2008-01-11,0,0,51.53,12.9,473.51178
2008-01-12,0,0,51.53,12.9,491.74512
2008-01-13,0,0,51.53,12.9,210.15433
2008-01-14,0,0,51.53,12.9,261.98022
2008-01-15,0,0,51.53,12.9,536.6436
2008-01-16,0,0,51.53,12.9,678.53186
2008-01-17,0,0,51.53,12.9,455.20096
2008-01-18,0,0,51.53,12.9,773.07965
2008-01-19,0,0,51.53,12.9,1002.2142
2008-01-20,0,0,51.53,12.9,677.838
2008-01-21,0,0,51.53,12.9,1147.0203
2008-01-22,0,0,51.53,12.9,1146.9395
2008-01-23,0,0,51.53,12.9,481.07208
2008-01-24,0,0,51.53,12.9,586.1913
2008-01-25,0,0,51.53,12.9,914.919
2008-01-26,0,0,51.53,12.9,1117.5632
2008-01-27,0,0,51.53,12.9,1085.9215
2008-01-28,0,0,51.53,12.9,367.99008
2008-01-29,0,0,51.53,12.9,246.33923
2008-01-30,0,0,51.53,12.9,387.39838
2008-01-31,0,0,51.53,12.9,752.6129
2008-02-01,0,0,51.53,12.9,1019.4003
2008-02-02,0,0,51.53,12.9,794.4825
2008-02-03,0,0,51.53,12.9,359.10333
2008-02-04,0,0,51.53,12.9,191.37787
2008-02-05,0,0,51.53,12.9,599.4447
2008-02-06,0,0,51.53,12.9,1053.0266
2008-02-07,0,0,51.53,12.9,891.5512
2008-02-08,0,0,51.53,12.9,168.51694
2008-02-09,0,0,51.53,12.9,108.71729
2008-02-10,0,0,51.53,12.9,78.399765
2008-02-11,0,0,51.53,12.9,84.72011
2008-02-12,0,0,51.53,12.9,232.62732
2008-02-13,0,0,51.53,12.9,238.43423
2008-02-14,0,0,51.53,12.9,316.6454
2008-02-15,0,0,51.53,12.9,734.12836
2008-02-16,0,0,51.53,12.9,637.2349
2008-02-17,0,0,51.53,12.9,349.7654
2008-02-18,0,0,51.53,12.9,531.38
2008-02-19,0,0,51.53,12.9,444.5687
2008-02-20,0,0,51.53,12.9,237.8418
2008-02-21,0,0,51.53,12.9,536.05615
2008-02-22,0,0,51.53,12.9,1014.01605
2008-02-23,0,0,51.53,12.9,1136.2252
2008-02-24,0,0,51.53,12.9,336.2554
2008-02-25,0,0,51.53,12.9,422.29874
2008-02-26,0,0,51.53,12.9,925.20496
2008-02-27,0,0,51.53,12.9,1174.4185
2008-02-28,0,0,51.53,12.9,681.41907
2008-02-29,0,0,51.53,12.9,381.39218
2008-03-01,0,0,51.53,12.9,1771.6387
2008-03-02,0,0,51.53,12.9,1714.274
2008-03-03,0,0,51.53,12.9,1054.5311
2008-03-04,0,0,51.53,12.9,976.42993
2008-03-05,0,0,51.53,12.9,857.3484
2008-03-06,0,0,51.53,12.9,629.14716
2008-03-07,0,0,51.53,12.9,307.01477
2008-03-08,0,0,51.53,12.9,142.93285
2008-03-09,0,0,51.53,12.9,550.38324
2008-03-10,0,0,51.53,12.9,683.3439
2008-03-11,0,0,51.53,12.9,1095.5161
2008-03-12,0,0,51.53,12.9,1437.1907
2008-03-13,0,0,51.53,12.9,1595.0818
2008-03-14,0,0,51.53,12.9,769.62463
2008-03-15,0,0,51.53,12.9,434.40485
2008-03-16,0,0,51.53,12.9,284.4223
2008-03-17,0,0,51.53,12.9,957.8318
2008-03-18,0,0,51.53,12.9,904.64496
2008-03-19,0,0,51.53,12.9,616.04895
2008-03-20,0,0,51.53,12.9,704.94995
2008-03-21,0,0,51.53,12.9,945.7176
2008-03-22,0,0,51.53,12.9,772.45526
2008-03-23,0,0,51.53,12.9,678.89874
2008-03-24,0,0,51.53,12.9,498.74313
2008-03-25,0,0,51.53,12.9,880.68634
2008-03-26,0,0,51.53,12.9,971.59357
2008-03-27,0,0,51.53,12.9,398.33777
2008-03-28,0,0,51.53,12.9,482.98453
2008-03-29,0,0,51.53,12.9,984.1026
2008-03-30,0,0,51.53,12.9,392.19153
2008-03-31,0,0,51.53,12.9,496.75415
2008-04-01,0,0,51.53,12.9,337.56317
2008-04-02,0,0,51.53,12.9,731.8744
2008-04-03,0,0,51.53,12.9,458.9918
2008-04-04,0,0,51.53,12.9,361.4334
2008-04-05,0,0,51.53,12.9,503.44516
2008-04-06,0,0,51.53,12.9,433.46863
2008-04-07,0,0,51.53,12.9,255.12318
2008-04-08,0,0,51.53,12.9,494.6313
2008-04-09,0,0,51.53,12.9,278.50787
2008-04-10,0,0,51.53,12.9,339.1295
2008-04-11,0,0,51.53,12.9,314.1068
2008-04-12,0,0,51.53,12.9,709.0468
