date,number,surface,latitude,longitude,blh
2005-12-01,0,0,29.47,79.65,262.98376
2005-12-02,0,0,29.47,79.65,220.66658
2005-12-03,0,0,29.47,79.65,204.48222
2005-12-04,0,0,29.47,79.65,241.02245
2005-12-05,0,0,29.47,79.65,168.9703
2005-12-06,0,0,29.47,79.65,197.86482
2005-12-07,0,0,29.47,79.65,211.39879
2005-12-08,0,0,29.47,79.65,243.30089
2005-12-09,0,0,29.47,79.65,274.08536
2005-12-10,0,0,29.47,79.65,292.84537
2005-12-11,0,0,29.47,79.65,270.14328
2005-12-12,0,0,29.47,79.65,207.80496
2005-12-13,0,0,29.47,79.65,178.09909
2005-12-14,0,0,29.47,79.65,168.75806
2005-12-15,0,0,29.47,79.65,179.79243
2005-12-16,0,0,29.47,79.65,196.70776
2005-12-17,0,0,29.47,79.65,215.31412
2005-12-18,0,0,29.47,79.65,220.09431
2005-12-19,0,0,29.47,79.65,227.40942
2005-12-20,0,0,29.47,79.65,262.95517
2005-12-21,0,0,29.47,79.65,313.07144
2005-12-22,0,0,29.47,79.65,311.20856
2005-12-23,0,0,29.47,79.65,291.73453
2005-12-24,0,0,29.47,79.65,279.99588
2005-12-25,0,0,29.47,79.65,163.15105
2005-12-26,0,0,29.47,79.65,168.06535
2005-12-27,0,0,29.47,79.65,177.32095
2005-12-28,0,0,29.47,79.65,235.35533
2005-12-29,0,0,29.47,79.65,214.22803
2005-12-30,0,0,29.47,79.65,241.9769
2005-12-31,0,0,29.47,79.65,219.45244
2006-01-01,0,0,29.47,79.65,177.46584
2006-01-02,0,0,29.47,79.65,197.55028
2006-01-03,0,0,29.47,79.65,159.32068
2006-01-04,0,0,29.47,79.65,246.24258
2006-01-05,0,0,29.47,79.65,175.00331
2006-01-06,0,0,29.47,79.65,210.63031
2006-01-07,0,0,29.47,79.65,223.71584
2006-01-08,0,0,29.47,79.65,177.01071
2006-01-09,0,0,29.47,79.65,165.99806
2006-01-10,0,0,29.47,79.65,122.88933
2006-01-11,0,0,29.47,79.65,214.43651
2006-01-12,0,0,29.47,79.65,269.07404
2006-01-13,0,0,29.47,79.65,273.6505
2006-01-14,0,0,29.47,79.65,345.41205
2006-01-15,0,0,29.47,79.65,166.93922
2006-01-16,0,0,29.47,79.65,256.7417
2006-01-17,0,0,29.47,79.65,204.81197
2006-01-18,0,0,29.47,79.65,264.5281
2006-01-19,0,0,29.47,79.65,308.1479
2006-01-20,0,0,29.47,79.65,301.14145
2006-01-21,0,0,29.47,79.65,359.8066
2006-01-22,0,0,29.47,79.65,291.74905
2006-01-23,0,0,29.47,79.65,395.60046
2006-01-24,0,0,29.47,79.65,396.9003
2006-01-25,0,0,29.47,79.65,287.263
2006-01-26,0,0,29.47,79.65,334.21118
2006-01-27,0,0,29.47,79.65,293.94388
2006-01-28,0,0,29.47,79.65,264.1144
2006-01-29,0,0,29.47,79.65,267.965
2006-01-30,0,0,29.47,79.65,231.70642
2006-01-31,0,0,29.47,79.65,249.27437
2006-02-01,0,0,29.47,79.65,249.06036
2006-02-02,0,0,29.47,79.65,364.8315
2006-02-03,0,0,29.47,79.65,426.78275
2006-02-04,0,0,29.47,79.65,239.73427
2006-02-05,0,0,29.47,79.65,270.4507
2006-02-06,0,0,29.47,79.65,374.4592
2006-02-07,0,0,29.47,79.65,378.22308
2006-02-08,0,0,29.47,79.65,449.97522
2006-02-09,0,0,29.47,79.65,463.17245
2006-02-10,0,0,29.47,79.65,417.99823
2006-02-11,0,0,29.47,79.65,390.3534
2006-02-12,0,0,29.47,79.65,453.52817
2006-02-13,0,0,29.47,79.65,443.31378
2006-02-14,0,0,29.47,79.65,603.96454
2006-02-15,0,0,29.47,79.65,412.76053
2006-02-16,0,0,29.47,79.65,606.1021
2006-02-17,0,0,29.47,79.65,546.05646
2006-02-18,0,0,29.47,79.65,357.93054
2006-02-19,0,0,29.47,79.65,358.15027
2006-02-20,0,0,29.47,79.65,467.6203
2006-02-21,0,0,29.47,79.65,663.07336
2006-02-22,0,0,29.47,79.65,593.97455
2006-02-23,0,0,29.47,79.65,745.5943
2006-02-24,0,0,29.47,79.65,589.4996
2006-02-25,0,0,29.47,79.65,614.4123
2006-02-26,0,0,29.47,79.65,1038.0547
2006-02-27,0,0,29.47,79.65,954.15765
2006-02-28,0,0,29.47,79.65,611.81085
2006-03-01,0,0,29.47,79.65,511.83005
2006-03-02,0,0,29.47,79.65,623.3329
2006-03-03,0,0,29.47,79.65,580.5385
2006-03-04,0,0,29.47,79.65,642.37537
2006-03-05,0,0,29.47,79.65,829.81836
2006-03-06,0,0,29.47,79.65,785.65625
2006-03-07,0,0,29.47,79.65,758.36035
2006-03-08,0,0,29.47,79.65,717.2567
2006-03-09,0,0,29.47,79.65,614.61475
2006-03-10,0,0,29.47,79.65,382.5805
2006-03-11,0,0,29.47,79.65,369.86337
2006-03-12,0,0,29.47,79.65,404.94403
2006-03-13,0,0,29.47,79.65,328.94568
2006-03-14,0,0,29.47,79.65,439.1719
2006-03-15,0,0,29.47,79.65,438.92865
2006-03-16,0,0,29.47,79.65,618.3876
2006-03-17,0,0,29.47,79.65,577.0352
2006-03-18,0,0,29.47,79.65,426.38388
2006-03-19,0,0,29.47,79.65,457.41995
2006-03-20,0,0,29.47,79.65,737.5315
2006-03-21,0,0,29.47,79.65,690.52966
2006-03-22,0,0,29.47,79.65,533.001
2006-03-23,0,0,29.47,79.65,602.10455
2006-03-24,0,0,29.47,79.65,631.16376
2006-03-25,0,0,29.47,79.65,465.94788
2006-03-26,0,0,29.47,79.65,600.8717
2006-03-27,0,0,29.47,79.65,688.88367
2006-03-28,0,0,29.47,79.65,763.5601
2006-03-29,0,0,29.47,79.65,557.5128
2006-03-30,0,0,29.47,79.65,506.90396
2006-03-31,0,0,29.47,79.65,507.6514
2006-04-01,0,0,29.47,79.65,729.3672
2006-04-02,0,0,29.47,79.65,1013.6661
2006-04-03,0,0,29.47,79.65,846.90283
2006-04-04,0,0,29.47,79.65,778.7768
2006-04-05,0,0,29.47,79.65,687.76324
2006-04-06,0,0,29.47,79.65,868.81195
2006-04-07,0,0,29.47,79.65,831.69446
2006-04-08,0,0,29.47,79.65,847.5765
2006-04-09,0,0,29.47,79.65,618.0125
2006-04-10,0,0,29.47,79.65,486.41473
2006-04-11,0,0,29.47,79.65,714.5627
2006-04-12,0,0,29.47,79.65,938.5147
2006-04-13,0,0,29.47,79.65,767.58044
2006-04-14,0,0,29.47,79.65,685.9655
2006-04-15,0,0,29.47,79.65,931.7359
2006-04-16,0,0,29.47,79.65,818.6536
2006-04-17,0,0,29.47,79.65,644.78357
2006-04-18,0,0,29.47,79.65,405.69223
2006-04-19,0,0,29.47,79.65,636.03906
2006-04-20,0,0,29.47,79.65,687.57874
2006-04-21,0,0,29.47,79.65,575.9772
2006-04-22,0,0,29.47,79.65,888.0345
2006-04-23,0,0,29.47,79.65,719.8997
2006-04-24,0,0,29.47,79.65,851.9659
2006-04-25,0,0,29.47,79.65,755.0923
2006-04-26,0,0,29.47,79.65,790.3915
2006-04-27,0,0,29.47,79.65,630.34033
2006-04-28,0,0,29.47,79.65,480.58746
2006-04-29,0,0,29.47,79.65,772.0818
2006-04-30,0,0,29.47,79.65,804.9984
2006-05-01,0,0,29.47,79.65,861.24194
2006-05-02,0,0,29.47,79.65,947.00446
2006-05-03,0,0,29.47,79.65,1073.1603
2006-05-04,0,0,29.47,79.65,815.419
2006-05-05,0,0,29.47,79.65,904.6588
2006-05-06,0,0,29.47,79.65,998.0456
2006-05-07,0,0,29.47,79.65,790.06946
2006-05-08,0,0,29.47,79.65,447.76178
2006-05-09,0,0,29.47,79.65,397.715
2006-05-10,0,0,29.47,79.65,482.20435
2006-05-11,0,0,29.47,79.65,383.40744
2006-05-12,0,0,29.47,79.65,261.4524
2006-05-13,0,0,29.47,79.65,494.85397
2006-05-14,0,0,29.47,79.65,354.51355
2006-05-15,0,0,29.47,79.65,282.65073
2006-05-16,0,0,29.47,79.65,370.59683
2006-05-17,0,0,29.47,79.65,435.6237
2006-05-18,0,0,29.47,79.65,449.52124
2006-05-19,0,0,29.47,79.65,539.5719
2006-05-20,0,0,29.47,79.65,344.4334
2006-05-21,0,0,29.47,79.65,374.82013
2006-05-22,0,0,29.47,79.65,399.49527
2006-05-23,0,0,29.47,79.65,348.68527
2006-05-24,0,0,29.47,79.65,376.31165
2006-05-25,0,0,29.47,79.65,377.14838
2006-05-26,0,0,29.47,79.65,314.92847
2006-05-27,0,0,29.47,79.65,412.63345
2006-05-28,0,0,29.47,79.65,312.44638
2006-05-29,0,0,29.47,79.65,371.1251
2006-05-30,0,0,29.47,79.65,529.2578
2006-05-31,0,0,29.47,79.65,524.5424
2006-06-01,0,0,29.47,79.65,538.47424
2006-06-02,0,0,29.47,79.65,289.59598
2006-06-03,0,0,29.47,79.65,201.12979
2006-06-04,0,0,29.47,79.65,172.42719
2006-06-05,0,0,29.47,79.65,508.17908
2006-06-06,0,0,29.47,79.65,601.3476
2006-06-07,0,0,29.47,79.65,628.1788
2006-06-08,0,0,29.47,79.65,651.82794
2006-06-09,0,0,29.47,79.65,682.8064
2006-06-10,0,0,29.47,79.65,749.17847
2006-06-11,0,0,29.47,79.65,917.536
2006-06-12,0,0,29.47,79.65,867.1433
2006-06-13,0,0,29.47,79.65,934.3399
2006-06-14,0,0,29.47,79.65,743.8877
2006-06-15,0,0,29.47,79.65,811.74066
2006-06-16,0,0,29.47,79.65,694.248
2006-06-17,0,0,29.47,79.65,597.0341
2006-06-18,0,0,29.47,79.65,762.6237
2006-06-19,0,0,29.47,79.65,617.30176
2006-06-20,0,0,29.47,79.65,534.4775
2006-06-21,0,0,29.47,79.65,645.9792
2006-06-22,0,0,29.47,79.65,583.69586
2006-06-23,0,0,29.47,79.65,503.39838
2006-06-24,0,0,29.47,79.65,353.5888
2006-06-25,0,0,29.47,79.65,404.96707
2006-06-26,0,0,29.47,79.65,349.0978
2006-06-27,0,0,29.47,79.65,259.65363
2006-06-28,0,0,29.47,79.65,289.8535
2006-06-29,0,0,29.47,79.65,337.01984
2006-06-30,0,0,29.47,79.65,360.30347
2006-07-01,0,0,29.47,79.65,409.78918
2006-07-02,0,0,29.47,79.65,327.5354
2006-07-03,0,0,29.47,79.65,466.4647
2006-07-04,0,0,29.47,79.65,352.26785
2006-07-05,0,0,29.47,79.65,223.42813
2006-07-06,0,0,29.47,79.65,347.66858
2006-07-07,0,0,29.47,79.65,346.11536
2006-07-08,0,0,29.47,79.65,291.88495
2006-07-09,0,0,29.47,79.65,129.20541
2006-07-10,0,0,29.47,79.65,294.15466
2006-07-11,0,0,29.47,79.65,338.98386
2006-07-12,0,0,29.47,79.65,226.69463
2006-07-13,0,0,29.47,79.65,132.53604
2006-07-14,0,0,29.47,79.65,335.69272
2006-07-15,0,0,29.47,79.65,242.68805
2006-07-16,0,0,29.47,79.65,255.55782
2006-07-17,0,0,29.47,79.65,228.95796
2006-07-18,0,0,29.47,79.65,158.6051
2006-07-19,0,0,29.47,79.65,269.62708
2006-07-20,0,0,29.47,79.65,295.67416
2006-07-21,0,0,29.47,79.65,295.39505
2006-07-22,0,0,29.47,79.65,204.67586
2006-07-23,0,0,29.47,79.65,226.59282
2006-07-24,0,0,29.47,79.65,126.31685
2006-07-25,0,0,29.47,79.65,264.14597
2006-07-26,0,0,29.47,79.65,215.09145
2006-07-27,0,0,29.47,79.65,327.25073
2006-07-28,0,0,29.47,79.65,313.21796
2006-07-29,0,0,29.47,79.65,443.21118
2006-07-30,0,0,29.47,79.65,419.6219
2006-07-31,0,0,29.47,79.65,284.9199
2006-08-01,0,0,29.47,79.65,311.68018
2006-08-02,0,0,29.47,79.65,270.2085
2006-08-03,0,0,29.47,79.65,279.80206
2006-08-04,0,0,29.47,79.65,194.06323
2006-08-05,0,0,29.47,79.65,339.01294
2006-08-06,0,0,29.47,79.65,344.24905
2006-08-07,0,0,29.47,79.65,378.31586
2006-08-08,0,0,29.47,79.65,262.5499
2006-08-09,0,0,29.47,79.65,373.77454
2006-08-10,0,0,29.47,79.65,423.05203
2006-08-11,0,0,29.47,79.65,320.44012
2006-08-12,0,0,29.47,79.65,410.41495
2006-08-13,0,0,29.47,79.65,341.37988
