date,number,surface,latitude,longitude,blh
2011-12-01,0,0,32.2,118.9,909.37573
2011-12-02,0,0,32.2,118.9,412.42242
2011-12-03,0,0,32.2,118.9,361.1106
2011-12-04,0,0,32.2,118.9,408.22162
2011-12-05,0,0,32.2,118.9,525.90564
2011-12-06,0,0,32.2,118.9,329.57507
2011-12-07,0,0,32.2,118.9,425.47797
2011-12-08,0,0,32.2,118.9,902.85504
2011-12-09,0,0,32.2,118.9,543.73694
2011-12-10,0,0,32.2,118.9,486.56567
2011-12-11,0,0,32.2,118.9,269.46796
2011-12-12,0,0,32.2,118.9,275.8201
2011-12-13,0,0,32.2,118.9,229.20685
2011-12-14,0,0,32.2,118.9,356.9974
2011-12-15,0,0,32.2,118.9,503.82727
2011-12-16,0,0,32.2,118.9,481.2474
2011-12-17,0,0,32.2,118.9,280.911
2011-12-18,0,0,32.2,118.9,229.76799
2011-12-19,0,0,32.2,118.9,322.49173
2011-12-20,0,0,32.2,118.9,255.22673
2011-12-21,0,0,32.2,118.9,300.6897
2011-12-22,0,0,32.2,118.9,466.82016
2011-12-23,0,0,32.2,118.9,353.77026
2011-12-24,0,0,32.2,118.9,387.76
2011-12-25,0,0,32.2,118.9,288.29907
2011-12-26,0,0,32.2,118.9,480.08936
2011-12-27,0,0,32.2,118.9,447.61777
2011-12-28,0,0,32.2,118.9,347.1052
2011-12-29,0,0,32.2,118.9,600.4932
2011-12-30,0,0,32.2,118.9,377.28787
2011-12-31,0,0,32.2,118.9,363.60037
2012-01-01,0,0,32.2,118.9,420.89523
2012-01-02,0,0,32.2,118.9,322.2854
2012-01-03,0,0,32.2,118.9,670.24713
2012-01-04,0,0,32.2,118.9,478.83975
2012-01-05,0,0,32.2,118.9,339.57455
2012-01-06,0,0,32.2,118.9,384.04462
2012-01-07,0,0,32.2,118.9,517.453
2012-01-08,0,0,32.2,118.9,272.41052
2012-01-09,0,0,32.2,118.9,379.21387
2012-01-10,0,0,32.2,118.9,467.2247
2012-01-11,0,0,32.2,118.9,524.3048
2012-01-12,0,0,32.2,118.9,340.92163
2012-01-13,0,0,32.2,118.9,367.15625
2012-01-14,0,0,32.2,118.9,529.29724
2012-01-15,0,0,32.2,118.9,535.60693
2012-01-16,0,0,32.2,118.9,397.1289
2012-01-17,0,0,32.2,118.9,492.9212
2012-01-18,0,0,32.2,118.9,596.0814
2012-01-19,0,0,32.2,118.9,523.7489
2012-01-20,0,0,32.2,118.9,682.7706
2012-01-21,0,0,32.2,118.9,796.87335
2012-01-22,0,0,32.2,118.9,567.38116
2012-01-23,0,0,32.2,118.9,390.06558
2012-01-24,0,0,32.2,118.9,419.521
2012-01-25,0,0,32.2,118.9,392.02002
2012-01-26,0,0,32.2,118.9,306.8536
2012-01-27,0,0,32.2,118.9,388.65002
2012-01-28,0,0,32.2,118.9,506.6793
2012-01-29,0,0,32.2,118.9,771.13855
2012-01-30,0,0,32.2,118.9,419.9295
2012-01-31,0,0,32.2,118.9,386.13666
2012-02-01,0,0,32.2,118.9,662.988
2012-02-02,0,0,32.2,118.9,550.8852
2012-02-03,0,0,32.2,118.9,337.8316
2012-02-04,0,0,32.2,118.9,469.45953
2012-02-05,0,0,32.2,118.9,354.83948
2012-02-06,0,0,32.2,118.9,541.8345
2012-02-07,0,0,32.2,118.9,691.26154
2012-02-08,0,0,32.2,118.9,460.73465
2012-02-09,0,0,32.2,118.9,364.5285
2012-02-10,0,0,32.2,118.9,424.31528
2012-02-11,0,0,32.2,118.9,496.12592
2012-02-12,0,0,32.2,118.9,448.01276
2012-02-13,0,0,32.2,118.9,389.19473
2012-02-14,0,0,32.2,118.9,420.14612
2012-02-15,0,0,32.2,118.9,636.675
2012-02-16,0,0,32.2,118.9,495.80975
2012-02-17,0,0,32.2,118.9,664.7134
2012-02-18,0,0,32.2,118.9,481.5935
2012-02-19,0,0,32.2,118.9,503.87994
2012-02-20,0,0,32.2,118.9,341.71243
2012-02-21,0,0,32.2,118.9,249.79031
2012-02-22,0,0,32.2,118.9,320.56705
2012-02-23,0,0,32.2,118.9,798.18835
2012-02-24,0,0,32.2,118.9,441.91364
2012-02-25,0,0,32.2,118.9,889.94745
2012-02-26,0,0,32.2,118.9,695.89905
2012-02-27,0,0,32.2,118.9,690.67346
2012-02-28,0,0,32.2,118.9,444.05124
2012-02-29,0,0,32.2,118.9,357.9321
2012-03-01,0,0,32.2,118.9,356.14328
2012-03-02,0,0,32.2,118.9,570.633
2012-03-03,0,0,32.2,118.9,480.1552
2012-03-04,0,0,32.2,118.9,299.6105
2012-03-05,0,0,32.2,118.9,387.85107
2012-03-06,0,0,32.2,118.9,442.9555
2012-03-07,0,0,32.2,118.9,559.27936
2012-03-08,0,0,32.2,118.9,787.8959
2012-03-09,0,0,32.2,118.9,590.8199
2012-03-10,0,0,32.2,118.9,453.75104
2012-03-11,0,0,32.2,118.9,600.6727
2012-03-12,0,0,32.2,118.9,439.74664
2012-03-13,0,0,32.2,118.9,343.18884
2012-03-14,0,0,32.2,118.9,459.39468
2012-03-15,0,0,32.2,118.9,661.1935
2012-03-16,0,0,32.2,118.9,473.199
2012-03-17,0,0,32.2,118.9,300.37766
2012-03-18,0,0,32.2,118.9,738.69775
2012-03-19,0,0,32.2,118.9,677.89746
2012-03-20,0,0,32.2,118.9,551.40466
2012-03-21,0,0,32.2,118.9,536.75586
2012-03-22,0,0,32.2,118.9,468.6823
2012-03-23,0,0,32.2,118.9,827.0965
2012-03-24,0,0,32.2,118.9,486.13696
2012-03-25,0,0,32.2,118.9,547.4962
2012-03-26,0,0,32.2,118.9,409.06168
2012-03-27,0,0,32.2,118.9,339.4932
2012-03-28,0,0,32.2,118.9,487.4154
2012-03-29,0,0,32.2,118.9,316.33774
2012-03-30,0,0,32.2,118.9,263.42963
2012-03-31,0,0,32.2,118.9,487.0684
2012-04-01,0,0,32.2,118.9,484.81143
2012-04-02,0,0,32.2,118.9,825.3155
2012-04-03,0,0,32.2,118.9,589.7305
2012-04-04,0,0,32.2,118.9,501.4669
2012-04-05,0,0,32.2,118.9,405.63583
2012-04-06,0,0,32.2,118.9,433.0849
2012-04-07,0,0,32.2,118.9,538.7682
2012-04-08,0,0,32.2,118.9,238.2833
2012-04-09,0,0,32.2,118.9,443.3053
2012-04-10,0,0,32.2,118.9,439.47635
2012-04-11,0,0,32.2,118.9,598.61566
2012-04-12,0,0,32.2,118.9,426.88202
2012-04-13,0,0,32.2,118.9,420.8219
2012-04-14,0,0,32.2,118.9,405.38788
2012-04-15,0,0,32.2,118.9,460.20087
2012-04-16,0,0,32.2,118.9,485.48325
2012-04-17,0,0,32.2,118.9,580.30255
2012-04-18,0,0,32.2,118.9,454.25775
2012-04-19,0,0,32.2,118.9,561.29297
2012-04-20,0,0,32.2,118.9,506.59558
2012-04-21,0,0,32.2,118.9,534.75494
2012-04-22,0,0,32.2,118.9,408.14404
2012-04-23,0,0,32.2,118.9,573.62646
2012-04-24,0,0,32.2,118.9,497.23596
2012-04-25,0,0,32.2,118.9,776.1251
2012-04-26,0,0,32.2,118.9,532.3043
2012-04-27,0,0,32.2,118.9,364.57687
2012-04-28,0,0,32.2,118.9,540.60565
2012-04-29,0,0,32.2,118.9,437.57034
2012-04-30,0,0,32.2,118.9,580.2044
2012-05-01,0,0,32.2,118.9,303.06302
2012-05-02,0,0,32.2,118.9,472.05643
2012-05-03,0,0,32.2,118.9,356.1459
2012-05-04,0,0,32.2,118.9,582.0351
2012-05-05,0,0,32.2,118.9,561.43616
2012-05-06,0,0,32.2,118.9,506.2077
2012-05-07,0,0,32.2,118.9,578.7977
2012-05-08,0,0,32.2,118.9,370.57587
2012-05-09,0,0,32.2,118.9,426.6795
2012-05-10,0,0,32.2,118.9,558.19214
2012-05-11,0,0,32.2,118.9,535.4333
2012-05-12,0,0,32.2,118.9,512.67664
2012-05-13,0,0,32.2,118.9,295.44144
2012-05-14,0,0,32.2,118.9,212.31105
2012-05-15,0,0,32.2,118.9,409.72928
2012-05-16,0,0,32.2,118.9,520.3287
2012-05-17,0,0,32.2,118.9,669.03845
2012-05-18,0,0,32.2,118.9,581.7657
2012-05-19,0,0,32.2,118.9,599.9812
2012-05-20,0,0,32.2,118.9,570.05383
2012-05-21,0,0,32.2,118.9,641.03973
2012-05-22,0,0,32.2,118.9,596.47974
2012-05-23,0,0,32.2,118.9,497.85806
2012-05-24,0,0,32.2,118.9,490.0266
2012-05-25,0,0,32.2,118.9,500.26126
2012-05-26,0,0,32.2,118.9,542.40894
2012-05-27,0,0,32.2,118.9,499.7854
2012-05-28,0,0,32.2,118.9,736.0628
2012-05-29,0,0,32.2,118.9,663.13666
2012-05-30,0,0,32.2,118.9,388.57352
2012-05-31,0,0,32.2,118.9,716.96515
2012-06-01,0,0,32.2,118.9,595.5597
2012-06-02,0,0,32.2,118.9,687.03925
2012-06-03,0,0,32.2,118.9,776.05304
2012-06-04,0,0,32.2,118.9,446.7821
2012-06-05,0,0,32.2,118.9,602.64343
