date,number,step,surface,latitude,longitude,valid_time,blh
2011-04-01 00:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 00:00:00,841.7234
2011-04-01 03:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 03:00:00,1057.1489
2011-04-01 06:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 06:00:00,978.9153
2011-04-01 09:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 09:00:00,1172.5688
2011-04-01 12:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 12:00:00,1420.0742
2011-04-01 15:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 15:00:00,1523.5889
2011-04-01 18:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 18:00:00,302.71582
2011-04-01 21:00:00,0,0 days,0.0,53.14,13.03,2011-04-01 21:00:00,472.1422
2011-04-02 00:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 00:00:00,229.01443
2011-04-02 03:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 03:00:00,100.68672
2011-04-02 06:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 06:00:00,115.07236
2011-04-02 09:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 09:00:00,332.40668
2011-04-02 12:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 12:00:00,1048.8643
2011-04-02 15:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 15:00:00,1129.0177
2011-04-02 18:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 18:00:00,277.98676
2011-04-02 21:00:00,0,0 days,0.0,53.14,13.03,2011-04-02 21:00:00,305.30313
2011-04-03 00:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 00:00:00,293.7981
2011-04-03 03:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 03:00:00,213.94502
2011-04-03 06:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 06:00:00,180.80614
2011-04-03 09:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 09:00:00,332.30884
2011-04-03 12:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 12:00:00,754.3879
2011-04-03 15:00:00,0,0 days,0.0,53.14,13.03,2011-04-03 15:00:00,692.7134
