date,number,step,surface,latitude,longitude,valid_time,blh
2009-04-01 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 00:00:00,424.3772
2009-04-01 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 03:00:00,450.03027
2009-04-01 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 06:00:00,551.41724
2009-04-01 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 09:00:00,574.1594
2009-04-01 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 12:00:00,1362.7659
2009-04-01 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 15:00:00,1016.4104
2009-04-01 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 18:00:00,671.4856
2009-04-01 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-01 21:00:00,253.18509
2009-04-02 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 00:00:00,162.5526
2009-04-02 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 03:00:00,158.80722
2009-04-02 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 06:00:00,177.61728
2009-04-02 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 09:00:00,584.92993
2009-04-02 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 12:00:00,865.2942
2009-04-02 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 15:00:00,609.25415
2009-04-02 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 18:00:00,153.38937
2009-04-02 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-02 21:00:00,112.23035
2009-04-03 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 00:00:00,153.89682
2009-04-03 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 03:00:00,178.123
2009-04-03 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 06:00:00,261.8921
2009-04-03 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 09:00:00,566.2224
2009-04-03 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 12:00:00,727.5598
2009-04-03 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 15:00:00,545.7915
2009-04-03 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 18:00:00,150.16187
2009-04-03 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-03 21:00:00,92.64627
2009-04-04 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 00:00:00,69.35045
2009-04-04 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 03:00:00,27.144348
2009-04-04 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 06:00:00,36.402695
2009-04-04 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 09:00:00,351.94775
2009-04-04 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 12:00:00,758.80566
2009-04-04 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 15:00:00,440.68628
2009-04-04 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 18:00:00,50.519897
2009-04-04 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-04 21:00:00,26.80371
2009-04-05 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 00:00:00,46.789505
2009-04-05 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 03:00:00,41.160202
2009-04-05 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 06:00:00,50.713654
2009-04-05 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 09:00:00,369.60913
2009-04-05 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 12:00:00,497.34302
2009-04-05 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 15:00:00,490.8286
2009-04-05 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 18:00:00,472.7942
2009-04-05 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-05 21:00:00,469.96216
2009-04-06 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 00:00:00,360.1787
2009-04-06 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 03:00:00,326.84985
2009-04-06 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 06:00:00,427.0039
2009-04-06 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 09:00:00,686.15845
2009-04-06 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 12:00:00,693.82886
2009-04-06 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 15:00:00,508.49658
2009-04-06 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 18:00:00,267.67944
2009-04-06 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-06 21:00:00,114.36131
2009-04-07 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 00:00:00,68.04141
2009-04-07 03:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 03:00:00,54.036575
2009-04-07 06:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 06:00:00,89.97565
2009-04-07 09:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 09:00:00,415.0105
2009-04-07 12:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 12:00:00,1043.9636
2009-04-07 15:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 15:00:00,950.8384
2009-04-07 18:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 18:00:00,46.86412
2009-04-07 21:00:00,0,0 days,0.0,55.55,22.0,2009-04-07 21:00:00,65.15642
2009-04-08 00:00:00,0,0 days,0.0,55.55,22.0,2009-04-08 00:00:00,92.37756
