date,number,step,surface,latitude,longitude,valid_time,blh
2010-10-01 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 00:00:00,138.49374
2010-10-01 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 03:00:00,198.53638
2010-10-01 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 06:00:00,190.28424
2010-10-01 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 09:00:00,226.7866
2010-10-01 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 12:00:00,487.52246
2010-10-01 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 15:00:00,665.03516
2010-10-01 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 18:00:00,415.6306
2010-10-01 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-01 21:00:00,135.422
2010-10-02 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 00:00:00,87.29213
2010-10-02 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 03:00:00,47.966232
2010-10-02 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 06:00:00,49.88138
2010-10-02 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 09:00:00,67.124176
2010-10-02 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 12:00:00,808.9297
2010-10-02 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 15:00:00,969.6626
2010-10-02 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 18:00:00,581.3523
2010-10-02 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-02 21:00:00,351.4134
2010-10-03 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 00:00:00,445.09842
2010-10-03 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 03:00:00,506.37146
2010-10-03 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 06:00:00,590.5032
2010-10-03 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 09:00:00,526.57495
2010-10-03 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 12:00:00,607.46045
2010-10-03 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 15:00:00,628.4617
2010-10-03 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 18:00:00,632.30664
2010-10-03 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-03 21:00:00,539.20874
2010-10-04 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 00:00:00,488.3203
2010-10-04 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 03:00:00,431.05444
2010-10-04 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 06:00:00,403.73706
2010-10-04 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 09:00:00,385.90363
2010-10-04 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 12:00:00,433.91284
2010-10-04 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 15:00:00,534.73267
2010-10-04 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 18:00:00,495.31763
2010-10-04 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-04 21:00:00,346.9545
2010-10-05 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 00:00:00,175.37631
2010-10-05 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 03:00:00,179.96388
2010-10-05 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 06:00:00,37.06186
2010-10-05 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 09:00:00,49.52246
2010-10-05 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 12:00:00,459.19067
2010-10-05 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 15:00:00,588.23047
2010-10-05 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 18:00:00,591.71704
2010-10-05 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-05 21:00:00,422.1831
2010-10-06 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 00:00:00,343.91058
2010-10-06 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 03:00:00,298.68
2010-10-06 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 06:00:00,208.26596
2010-10-06 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 09:00:00,172.26077
2010-10-06 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 12:00:00,396.56177
2010-10-06 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 15:00:00,884.3821
2010-10-06 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 18:00:00,1204.5876
2010-10-06 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-06 21:00:00,259.99554
2010-10-07 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 00:00:00,190.87668
2010-10-07 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 03:00:00,213.60501
2010-10-07 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 06:00:00,145.38791
2010-10-07 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 09:00:00,101.40065
2010-10-07 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 12:00:00,881.303
2010-10-07 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 15:00:00,1339.2383
2010-10-07 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 18:00:00,1566.4729
2010-10-07 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-07 21:00:00,712.4778
2010-10-08 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 00:00:00,607.42786
2010-10-08 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 03:00:00,927.4136
2010-10-08 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 06:00:00,898.277
2010-10-08 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 09:00:00,632.14514
2010-10-08 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 12:00:00,945.44653
2010-10-08 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 15:00:00,1506.741
2010-10-08 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 18:00:00,1554.3057
2010-10-08 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-08 21:00:00,780.01025
2010-10-09 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 00:00:00,416.48004
2010-10-09 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 03:00:00,638.5115
2010-10-09 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 06:00:00,528.6599
2010-10-09 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 09:00:00,446.95068
2010-10-09 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 12:00:00,685.8938
2010-10-09 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 15:00:00,899.3406
2010-10-09 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 18:00:00,767.9165
2010-10-09 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-09 21:00:00,636.2988
2010-10-10 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 00:00:00,544.6726
2010-10-10 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 03:00:00,451.09595
2010-10-10 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 06:00:00,369.9463
2010-10-10 09:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 09:00:00,475.81763
2010-10-10 12:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 12:00:00,894.1094
2010-10-10 15:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 15:00:00,1008.2595
2010-10-10 18:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 18:00:00,978.0049
2010-10-10 21:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-10 21:00:00,632.31177
2010-10-11 00:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-11 00:00:00,575.45557
2010-10-11 03:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-11 03:00:00,544.9087
2010-10-11 06:00:00,0,0 days,0.0,-23.6,-46.6,2010-10-11 06:00:00,513.8452
