date,number,step,surface,latitude,longitude,valid_time,blh
2006-01-01 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 00:00:00,425.5157
2006-01-01 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 03:00:00,560.4597
2006-01-01 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 06:00:00,607.3513
2006-01-01 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 09:00:00,750.29663
2006-01-01 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 12:00:00,907.4087
2006-01-01 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 15:00:00,377.8006
2006-01-01 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 18:00:00,78.5551
2006-01-01 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-01 21:00:00,85.397705
2006-01-02 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 00:00:00,15.586415
2006-01-02 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 03:00:00,23.372498
2006-01-02 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 06:00:00,56.493958
2006-01-02 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 09:00:00,142.32904
2006-01-02 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 12:00:00,467.5818
2006-01-02 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 15:00:00,458.08105
2006-01-02 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 18:00:00,85.772125
2006-01-02 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-02 21:00:00,56.93512
2006-01-03 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 00:00:00,53.9162
2006-01-03 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 03:00:00,45.12932
2006-01-03 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 06:00:00,78.06244
2006-01-03 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 09:00:00,132.84235
2006-01-03 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 12:00:00,331.77118
2006-01-03 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 15:00:00,267.13306
2006-01-03 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 18:00:00,71.87714
2006-01-03 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-03 21:00:00,126.01402
2006-01-04 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 00:00:00,89.844315
2006-01-04 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 03:00:00,106.71646
2006-01-04 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 06:00:00,176.37674
2006-01-04 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 09:00:00,764.16675
2006-01-04 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 12:00:00,935.06885
2006-01-04 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 15:00:00,845.03735
2006-01-04 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 18:00:00,721.5437
2006-01-04 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-04 21:00:00,756.9385
2006-01-05 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 00:00:00,707.5654
2006-01-05 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 03:00:00,518.3496
2006-01-05 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 06:00:00,344.02148
2006-01-05 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 09:00:00,359.15894
2006-01-05 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 12:00:00,531.3887
2006-01-05 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 15:00:00,208.75246
2006-01-05 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 18:00:00,86.914185
2006-01-05 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-05 21:00:00,73.56694
2006-01-06 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 00:00:00,56.413162
2006-01-06 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 03:00:00,50.901566
2006-01-06 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 06:00:00,41.80005
2006-01-06 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 09:00:00,68.07216
2006-01-06 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 12:00:00,238.72337
2006-01-06 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 15:00:00,166.03543
2006-01-06 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 18:00:00,46.438965
2006-01-06 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-06 21:00:00,44.288513
2006-01-07 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 00:00:00,41.642197
2006-01-07 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 03:00:00,43.061417
2006-01-07 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 06:00:00,33.419907
2006-01-07 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 09:00:00,37.847397
2006-01-07 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 12:00:00,157.807
2006-01-07 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 15:00:00,75.805405
2006-01-07 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 18:00:00,23.531647
2006-01-07 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-07 21:00:00,33.994583
2006-01-08 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 00:00:00,38.87683
2006-01-08 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 03:00:00,35.08458
2006-01-08 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 06:00:00,38.532806
2006-01-08 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 09:00:00,49.414032
2006-01-08 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 12:00:00,165.69084
2006-01-08 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 15:00:00,64.207504
2006-01-08 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 18:00:00,31.561707
2006-01-08 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-08 21:00:00,32.936035
2006-01-09 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 00:00:00,36.883926
2006-01-09 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 03:00:00,30.36351
2006-01-09 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 06:00:00,21.863537
2006-01-09 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 09:00:00,34.39952
2006-01-09 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 12:00:00,166.36641
2006-01-09 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 15:00:00,61.60263
2006-01-09 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 18:00:00,15.883397
2006-01-09 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-09 21:00:00,14.045927
2006-01-10 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 00:00:00,14.252872
2006-01-10 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 03:00:00,16.751749
2006-01-10 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 06:00:00,16.00944
2006-01-10 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 09:00:00,17.66776
2006-01-10 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 12:00:00,147.07155
2006-01-10 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 15:00:00,54.734344
2006-01-10 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 18:00:00,17.241306
2006-01-10 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-10 21:00:00,18.25869
2006-01-11 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 00:00:00,22.77153
2006-01-11 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 03:00:00,26.247894
2006-01-11 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 06:00:00,34.561234
2006-01-11 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 09:00:00,44.085526
2006-01-11 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 12:00:00,181.59558
2006-01-11 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 15:00:00,80.83417
2006-01-11 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 18:00:00,30.964188
2006-01-11 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-11 21:00:00,22.928955
2006-01-12 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 00:00:00,20.372993
2006-01-12 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 03:00:00,18.73151
2006-01-12 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 06:00:00,16.97461
2006-01-12 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 09:00:00,24.343536
2006-01-12 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 12:00:00,151.58342
2006-01-12 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 15:00:00,102.61954
2006-01-12 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 18:00:00,51.963745
2006-01-12 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-12 21:00:00,58.266937
2006-01-13 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 00:00:00,38.580734
2006-01-13 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 03:00:00,34.55394
2006-01-13 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 06:00:00,36.633713
2006-01-13 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 09:00:00,53.210556
2006-01-13 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 12:00:00,182.10948
2006-01-13 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 15:00:00,76.71608
2006-01-13 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 18:00:00,28.55429
2006-01-13 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-13 21:00:00,27.957108
2006-01-14 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 00:00:00,33.921906
2006-01-14 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 03:00:00,27.169937
2006-01-14 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 06:00:00,21.772099
2006-01-14 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 09:00:00,28.946669
2006-01-14 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 12:00:00,164.77727
2006-01-14 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 15:00:00,45.74774
2006-01-14 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 18:00:00,18.309475
2006-01-14 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-14 21:00:00,16.345772
2006-01-15 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 00:00:00,25.54367
2006-01-15 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 03:00:00,30.986755
2006-01-15 06:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 06:00:00,32.80522
2006-01-15 09:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 09:00:00,45.109238
2006-01-15 12:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 12:00:00,185.35085
2006-01-15 15:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 15:00:00,103.5948
2006-01-15 18:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 18:00:00,38.961
2006-01-15 21:00:00,0,0 days,0.0,47.91,7.91,2006-01-15 21:00:00,31.874481
2006-01-16 00:00:00,0,0 days,0.0,47.91,7.91,2006-01-16 00:00:00,34.487885
2006-01-16 03:00:00,0,0 days,0.0,47.91,7.91,2006-01-16 03:00:00,33.976032
