date,number,step,surface,latitude,longitude,valid_time,blh
2018-02-01 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 00:00:00,51.689255
2018-02-01 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 03:00:00,41.419296
2018-02-01 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 06:00:00,573.5105
2018-02-01 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 09:00:00,1191.1592
2018-02-01 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 12:00:00,1237.2527
2018-02-01 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 15:00:00,606.0
2018-02-01 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 18:00:00,314.31738
2018-02-01 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-01 21:00:00,180.46925
2018-02-02 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 00:00:00,77.20183
2018-02-02 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 03:00:00,47.824814
2018-02-02 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 06:00:00,600.54785
2018-02-02 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 09:00:00,1283.845
2018-02-02 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 12:00:00,1495.7405
2018-02-02 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 15:00:00,540.84064
2018-02-02 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 18:00:00,115.72217
2018-02-02 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-02 21:00:00,48.305817
2018-02-03 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 00:00:00,36.917175
2018-02-03 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 03:00:00,25.7473
2018-02-03 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 06:00:00,480.63092
2018-02-03 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 09:00:00,1623.7783
2018-02-03 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 12:00:00,1830.8551
2018-02-03 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 15:00:00,343.82886
2018-02-03 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 18:00:00,31.414215
2018-02-03 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-03 21:00:00,14.405631
2018-02-04 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 00:00:00,12.803849
2018-02-04 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 03:00:00,16.469559
2018-02-04 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 06:00:00,280.07965
2018-02-04 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 09:00:00,2052.409
2018-02-04 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 12:00:00,1967.1566
2018-02-04 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 15:00:00,444.30557
2018-02-04 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 18:00:00,108.83156
2018-02-04 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-04 21:00:00,36.06392
2018-02-05 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 00:00:00,33.87532
2018-02-05 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 03:00:00,29.156143
2018-02-05 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 06:00:00,339.13184
2018-02-05 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 09:00:00,1478.4414
2018-02-05 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 12:00:00,1617.2081
2018-02-05 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 15:00:00,441.91217
2018-02-05 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 18:00:00,143.70897
2018-02-05 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-05 21:00:00,32.130737
2018-02-06 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 00:00:00,28.976501
2018-02-06 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 03:00:00,27.555618
2018-02-06 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 06:00:00,207.1555
2018-02-06 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 09:00:00,1108.1827
2018-02-06 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 12:00:00,1210.5312
2018-02-06 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 15:00:00,360.6246
2018-02-06 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 18:00:00,67.4803
2018-02-06 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-06 21:00:00,23.712952
2018-02-07 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 00:00:00,19.22734
2018-02-07 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 03:00:00,17.41594
2018-02-07 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 06:00:00,241.0448
2018-02-07 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 09:00:00,896.5125
2018-02-07 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 12:00:00,870.0142
2018-02-07 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 15:00:00,251.05827
2018-02-07 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 18:00:00,140.45134
2018-02-07 21:00:00,0,0 days,0.0,25.23,55.98,2018-02-07 21:00:00,94.881424
2018-02-08 00:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 00:00:00,57.453186
2018-02-08 03:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 03:00:00,67.76341
2018-02-08 06:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 06:00:00,336.51074
2018-02-08 09:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 09:00:00,917.7666
2018-02-08 12:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 12:00:00,1005.8699
2018-02-08 15:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 15:00:00,491.09085
2018-02-08 18:00:00,0,0 days,0.0,25.23,55.98,2018-02-08 18:00:00,132.6222
