date,number,step,surface,latitude,longitude,valid_time,blh
2003-01-01 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 00:00:00,815.5503
2003-01-01 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 03:00:00,520.86255
2003-01-01 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 06:00:00,331.80933
2003-01-01 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 09:00:00,545.14014
2003-01-01 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 12:00:00,557.6516
2003-01-01 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 15:00:00,618.322
2003-01-01 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 18:00:00,534.99
2003-01-01 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-01 21:00:00,430.52368
2003-01-02 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 00:00:00,304.1793
2003-01-02 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 03:00:00,227.02411
2003-01-02 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 06:00:00,211.30132
2003-01-02 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 09:00:00,251.02643
2003-01-02 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 12:00:00,201.12819
2003-01-02 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 15:00:00,328.67987
2003-01-02 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 18:00:00,296.77118
2003-01-02 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-02 21:00:00,167.2452
2003-01-03 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 00:00:00,92.07201
2003-01-03 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 03:00:00,65.720215
2003-01-03 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 06:00:00,70.96922
2003-01-03 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 09:00:00,58.71579
2003-01-03 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 12:00:00,56.061066
2003-01-03 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 15:00:00,101.40277
2003-01-03 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 18:00:00,116.31171
2003-01-03 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-03 21:00:00,123.53685
2003-01-04 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 00:00:00,100.09572
2003-01-04 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 03:00:00,107.76189
2003-01-04 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 06:00:00,82.00354
2003-01-04 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 09:00:00,75.5874
2003-01-04 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 12:00:00,53.914825
2003-01-04 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 15:00:00,46.05748
2003-01-04 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 18:00:00,36.336685
2003-01-04 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-04 21:00:00,31.132965
2003-01-05 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 00:00:00,37.21579
2003-01-05 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 03:00:00,60.833588
2003-01-05 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 06:00:00,53.174774
2003-01-05 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 09:00:00,37.286232
2003-01-05 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 12:00:00,20.191473
2003-01-05 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 15:00:00,27.450485
2003-01-05 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 18:00:00,31.123627
2003-01-05 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-05 21:00:00,15.87339
2003-01-06 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 00:00:00,24.172043
2003-01-06 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 03:00:00,17.380806
2003-01-06 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 06:00:00,24.112015
2003-01-06 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 09:00:00,22.588491
2003-01-06 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 12:00:00,15.287949
2003-01-06 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 15:00:00,19.125
2003-01-06 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 18:00:00,40.698105
2003-01-06 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-06 21:00:00,80.469986
2003-01-07 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 00:00:00,84.57538
2003-01-07 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 03:00:00,103.27489
2003-01-07 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 06:00:00,139.05579
2003-01-07 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 09:00:00,152.15988
2003-01-07 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 12:00:00,105.41803
2003-01-07 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 15:00:00,63.30954
2003-01-07 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 18:00:00,38.033722
2003-01-07 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-07 21:00:00,54.176804
2003-01-08 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 00:00:00,65.57057
2003-01-08 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 03:00:00,89.31294
2003-01-08 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 06:00:00,128.47693
2003-01-08 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 09:00:00,143.12424
2003-01-08 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 12:00:00,98.979416
2003-01-08 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 15:00:00,68.20925
2003-01-08 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 18:00:00,85.794754
2003-01-08 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-08 21:00:00,35.10691
2003-01-09 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 00:00:00,37.428543
2003-01-09 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 03:00:00,51.26602
2003-01-09 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 06:00:00,85.18129
2003-01-09 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 09:00:00,108.980515
2003-01-09 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 12:00:00,104.5612
2003-01-09 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 15:00:00,143.68147
2003-01-09 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 18:00:00,132.84824
2003-01-09 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-09 21:00:00,134.40747
2003-01-10 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 00:00:00,112.206955
2003-01-10 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 03:00:00,88.854645
2003-01-10 06:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 06:00:00,94.55153
2003-01-10 09:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 09:00:00,56.91751
2003-01-10 12:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 12:00:00,41.184372
2003-01-10 15:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 15:00:00,52.15515
2003-01-10 18:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 18:00:00,77.433624
2003-01-10 21:00:00,0,0 days,0.0,67.76,29.61,2003-01-10 21:00:00,171.17474
2003-01-11 00:00:00,0,0 days,0.0,67.76,29.61,2003-01-11 00:00:00,427.02423
2003-01-11 03:00:00,0,0 days,0.0,67.76,29.61,2003-01-11 03:00:00,672.4475
